feature,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_bh_q,spearman_bh_q
occurrences_per_row,406,-0.34751376050464705,5.743321013545407e-13,-0.3866781258112875,6.27187248267528e-16,3.216259767585428e-11,3.512248590298157e-14
childes_enrichment,406,-0.3236608484097061,2.3540573062809018e-11,-0.30103632083086085,5.970529645263657e-10,6.591360457586525e-10,8.660934009530894e-09
child_speaker_fraction,406,-0.32086758396652393,3.561741117273719e-11,-0.33567903004433514,3.7729327257574795e-12,6.648583418910942e-10,1.0564211632120942e-10
childes_occurrence_fraction,406,-0.3034862261395809,4.262577652937871e-10,-0.30077676881226567,6.18638143537921e-10,5.967608714113019e-09,8.660934009530894e-09
speaker_tagged_fraction,406,-0.30168848767393125,5.459971505354071e-10,-0.29872915878914535,8.176731048149461e-10,6.11516808599656e-09,9.157938773927396e-09
spoken_enrichment,406,-0.2998363836820285,7.033813227168424e-10,-0.2864566698077395,4.158299843115217e-09,6.564892345357195e-09,3.326639874492174e-08
spoken_occurrence_fraction,406,-0.2910495746128008,2.28302564887808e-09,-0.2866626211204197,4.048918050998107e-09,1.826420519102464e-08,3.326639874492174e-08
mean_clause_words,406,0.2671740766153258,4.59019353420879e-08,0.25215095310944435,2.626341227527843e-07,3.213135473946153e-07,1.6341678749062135e-06
clause_le8_fraction,406,-0.26013482712458236,1.053606868951729e-07,-0.2459260402862798,5.241525102329402e-07,6.555776073477425e-07,2.6684127793676953e-06
clause_le3_fraction,406,-0.22032206171612517,7.434346103162851e-06,-0.27292263986027787,2.2873223576419262e-08,4.1632338177711966e-05,1.6011256503493482e-07
prev_possessive_fraction,406,-0.21884002307552586,8.588539025373373e-06,-0.24609700274528554,5.14424843824575e-07,4.3723471401900806e-05,2.6684127793676953e-06
source_entropy,406,0.21200007178561936,1.6505569856464827e-05,0.22277227722772275,5.843532134373248e-06,7.702599266350253e-05,2.5520426897103418e-05
childes_logfreq,406,-0.20518349648308792,3.099996995603129e-05,-0.2218814909304581,6.3801067242758544e-06,0.00012399987982412517,2.5520426897103418e-05
logfreq_src__childes,406,-0.20518349648308792,3.099996995603129e-05,-0.2218814909304581,6.3801067242758544e-06,0.00012399987982412517,2.5520426897103418e-05
prev_pronoun_fraction,406,0.1835834064024174,0.0001997308857482269,0.14283743776696828,0.00392630305803687,0.0007456619734600471,0.010993648562503237
spoken_logfreq,406,-0.18134470630506616,0.00023950451362447797,-0.20101637242541523,4.511396253124817e-05,0.0008382657976856729,0.00016842546011665985
qwen_occurrence_fraction,406,0.17549146208404992,0.0003812091639242115,0.17830400939594637,0.00030546190787858815,0.001255747834103285,0.0010691166775750585
mean_occurrence_row_words,406,-0.16523817901907653,0.0008311883645709192,-0.16011538303138287,0.0012070960290560585,0.0025859193564428595,0.0035577567172178563
prev_to_fraction,406,0.15942830295920196,0.0012679979395086006,0.09282405019487804,0.06167538316718824,0.0036057341131638145,0.11991303077510777
logfreq_src__switchboard,406,0.15921184466580468,0.0012877621832727908,0.16359936651246343,0.0009376680469435361,0.0036057341131638145,0.00291718947937989
prev_copula_fraction,406,0.13637407476118574,0.0059185762372021816,0.06339731658870813,0.20239255151929844,0.015782869965872484,0.3434540268206277
char_len,406,0.11188845495824522,0.024157021313303054,0.12808242112849477,0.00978088175835766,0.06149059970658959,0.02489678993036495
single_piece,406,-0.11029562452522093,0.026261184352468252,-0.10958694990091697,0.027246951634803458,0.0639402749451401,0.06357622048120808
sd_occurrence_row_words,406,0.10872373665453544,0.028490510815611027,0.11804024034342012,0.017339160046352567,0.06647785856975906,0.042217085330249725
vowel_group_count,406,0.10526949534130939,0.03396586784861252,0.1299706472807566,0.00874432776182629,0.07608354398089204,0.023318207364870103
next_copula_fraction,406,-0.09790861376916773,0.04867125153360899,-0.17344660310527915,0.00044689181645369235,0.10483038791854245,0.0014721142189062805
subword_len,406,0.08152818737128839,0.10091905033716486,0.10795185573131419,0.029643437202337433,0.2093135858844901,0.06640129933323585
whole_logfreq,406,-0.07167957934910951,0.14938548114466188,-0.09267439906312731,0.06209781950853796,0.2987709622893237,0.11991303077510777
suffix_y,406,0.062030975777945314,0.21231050975733,0.0516023210540953,0.29962245480423644,0.4051804853197679,0.4793959276867783
prev_determiner_fraction,406,-0.06060304852311835,0.2230443292957129,-0.10716846655798269,0.03085419549676714,0.4051804853197679,0.06645519030072923
