BLiMP_clean_spread_mean,BLiMP_max,BLiMP_mean,BLiMP_min,COMPS_clean_spread_mean,COMPS_max,COMPS_mean,COMPS_min,EWoK_clean_spread_mean,EWoK_max,EWoK_mean,EWoK_min,Entity_clean_spread_mean,Entity_max,Entity_mean,Entity_min,Reading_clean_spread_mean,Reading_max,Reading_mean,Reading_min,Supplement_clean_spread_mean,Supplement_max,Supplement_mean,Supplement_min,cheap5_clean_spread_mean,cheap5_max,cheap5_mean,cheap5_min,cheap6_clean_spread_mean,cheap6_max,cheap6_mean,cheap6_min,complete_checkpoint_count,complete_checkpoints,contrast,exEntity5_clean_spread_mean,exEntity5_max,exEntity5_mean,exEntity5_min
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,[],adult_minus_clean_mean,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,[],adult_minus_view,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,[],child_minus_adult,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,[],child_minus_clean_mean,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,[],child_minus_view,,,,
,2.729999999999997,0.7166666666666673,-0.6799999999999997,,0.7100000000000009,0.0550000000000009,-0.490000000000002,,1.230000000000004,0.5650000000000001,-0.18999999999999773,,3.9299999999999997,1.8800000000000008,-0.7300000000000004,,1.040000000000001,0.34666666666666623,0.03999999999999915,,3.280000000000001,1.1566666666666674,-2.6399999999999935,,1.7600000000000051,0.8746666666666686,-0.08599999999999852,,1.4774999999999991,0.7866666666666676,0.10166666666667368,6,"['chck_10M', 'chck_20M', 'chck_30M', 'chck_40M', 'chck_60M', 'chck_80M']",view_minus_clean_mean,,1.240000000000002,0.5680000000000002,-0.4379999999999953
