BLiMP,COMPS,EWoK,Entity,Reading,Supplement,cheap5,cheap6,checkpoint,complete_stable6,exEntity5,exists,kind,label,path
,,,,,,,,chck_10M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_10M.json
,,,,,,,,chck_10M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_10M.json
56.09,50.14,49.57,17.42,8.125,52.04,45.052,38.8975,chck_10M,True,43.193,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_10M.json
56.0,49.93,49.76,17.47,7.945,51.55,44.942,38.77583333333333,chck_10M,True,43.037,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_10M.json
,,,,,,,,chck_10M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_10M.json
,,,,,,,,chck_20M,False,,False,register_arm,regmax_childspeech_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_childspeech_samefw_seed43022_chck_20M.json
,,,,,,,,chck_20M,False,,False,register_arm,regmax_adultprose_removed,experiments/archive/frontier_consolidation/data/register_max_commonwindow_eval/eval/per_target/regmax_adultprose_samefw_seed43022_chck_20M.json
59.99,50.27,50.2,17.99,8.305,57.9,47.27,40.77583333333333,chck_20M,True,45.333,True,view_midpoint,proportional_max_view,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json
58.91,50.14,48.97,18.72,8.07,56.74,46.696,40.25833333333333,chck_20M,True,44.566,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_20M.json
,,,,,,,,chck_20M,False,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/per_target/missing_seed43122_chck_20M.json
