model,global_index,domain,local_index,ContextType,ContextDiff,TargetDiff,ConceptA,ConceptB,legal40_depth_both_wrong_flag,all_legal_wrong_flag,legal40_correct_flag,depth_correct_flag,s11_sum,s21_sum,s12_sum,s22_sum,s11_mean,s21_mean,s12_mean,s22_mean,p1_sum,p2_sum,p1_mean,p2_mean,t1_tokens,t2_tokens,official_margin_t1_sum,official_margin_t2_sum,within_context_margin_c1_sum,within_context_margin_c2_sum,interaction_sum,official_margin_t1_mean,official_margin_t2_mean,within_context_margin_c1_mean,within_context_margin_c2_mean,interaction_mean,pmi_official_margin_t1_sum,pmi_official_margin_t2_sum,pmi_within_context_margin_c1_sum,pmi_within_context_margin_c2_sum,pmi_interaction_sum,saved_depth_correct_flag,official_t1_sign_matches_saved,saved_legal40_correct_flag
legal40_depth_12x384_43022,1,agent-properties,1,direct,antonym,concept swap,believe,doubt,True,False,False,False,-36.998103463090956,-33.32315760757774,-25.783744900021702,-22.058322147931904,-3.6998103463090954,-3.332315760757774,-2.57837449000217,-2.2058322147931904,-86.55640392005444,-82.79760652780533,-7.213033660004537,-6.899800543983777,10,10,-3.674945855513215,3.7254227520897985,-11.214358563069254,11.264835459645838,0.050476896576583385,-0.3674945855513214,0.37254227520897976,-1.1214358563069253,1.1264835459645837,0.0050476896576583385,-3.674945855513215,3.7254227520897985,-7.455561170820147,7.50603806739673,0.050476896576583385,False,True,
legal40_depth_12x384_43022,3,agent-properties,3,direct,antonym,concept swap,believe,doubt,True,False,False,False,-23.202302044723183,-21.08470784733072,-15.391849500127137,-12.757305277744308,-2.1093001858839258,-1.9167916224846109,-1.3992590454661034,-1.1597550252494826,-87.77876345813274,-80.57631608843803,-6.7522125737025185,-6.198178160649079,11,11,-2.1175941973924637,2.6345442223828286,-7.810452544596046,8.327402569586411,0.5169500249903649,-0.19250856339931488,0.23950402021662076,-0.7100411404178224,0.7570365972351283,0.04699545681730566,-2.1175941973924637,2.6345442223828286,-0.6080051749013364,1.1249551998917013,0.5169500249903649,False,True,
legal40_depth_12x384_43022,5,agent-properties,5,direct,antonym,concept swap,believe,doubt,True,False,False,False,-28.121155025437474,-26.092111912555993,-15.361036350019276,-13.412593884393573,-2.8121155025437474,-2.609211191255599,-1.5361036350019277,-1.3412593884393573,-88.44489240646362,-80.71761786937714,-7.370407700538635,-6.726468155781428,10,10,-2.0290431128814816,1.9484424656257033,-12.760118675418198,12.67951802816242,-0.08060064725577831,-0.20290431128814834,0.19484424656257038,-1.2760118675418197,1.2679518028162418,-0.008060064725577298,-2.0290431128814816,1.9484424656257033,-5.032844138331711,4.952243491075933,-0.08060064725577831,False,True,
legal40_depth_12x384_43022,7,agent-properties,7,direct,antonym,concept swap,believe,doubt,True,False,False,False,-29.13728200783953,-26.26887891255319,-17.600072998553514,-14.803048287983984,-2.913728200783953,-2.6268878912553193,-1.7600072998553515,-1.4803048287983984,-86.28968929499388,-81.68665993958712,-7.19080744124949,-6.807221661632259,10,10,-2.8684030952863395,2.7970247105695307,-11.537209009286016,11.465830624569207,-0.0713783847168088,-0.2868403095286336,0.2797024710569531,-1.1537209009286014,1.1465830624569209,-0.007137838471679814,-2.8684030952863395,2.7970247105695307,-6.934179653879255,6.862801269162446,-0.0713783847168088,False,True,
legal40_depth_12x384_43022,9,agent-properties,9,direct,antonym,concept swap,believe,doubt,True,True,False,False,-27.256105619482696,-23.642338703386486,-15.478760517202318,-12.538572316523641,-2.72561056194827,-2.3642338703386487,-1.5478760517202317,-1.2538572316523642,-85.7900109142065,-80.58523720502853,-7.149167576183875,-6.7154364337523775,10,10,-3.6137669160962105,2.9401882006786764,-11.777345102280378,11.103766386862844,-0.6735787154175341,-0.36137669160962105,0.2940188200678675,-1.177734510228038,1.1103766386862846,-0.06735787154175332,-3.6137669160962105,2.9401882006786764,-6.5725713931024075,5.898992677684873,-0.6735787154175341,False,True,
legal40_depth_12x384_43022,11,agent-properties,11,indirect,antonym,concept swap,believe,doubt,True,True,False,False,-26.00738099589944,-24.274423183407634,-19.723521465901285,-18.19875629991293,-2.600738099589944,-2.4274423183407636,-1.9723521465901286,-1.819875629991293,-88.44489240646362,-80.71761786937714,-7.370407700538635,-6.726468155781428,10,10,-1.7329578124918044,1.5247651659883559,-6.2838595299981534,6.075666883494705,-0.2081926465034485,-0.17329578124918044,0.15247651659883554,-0.6283859529998155,0.6075666883494706,-0.02081926465034556,-1.7329578124918044,1.5247651659883559,1.4434150070883334,-1.6516076535917819,-0.2081926465034485,False,True,
legal40_depth_12x384_43022,0,agent-properties,0,direct,antonym,concept swap,believe,doubt,False,False,True,True,-22.058322147931904,-25.783744900021702,-33.32315760757774,-36.998103463090956,-2.2058322147931904,-2.57837449000217,-3.332315760757774,-3.6998103463090954,-82.79760652780533,-86.55640392005444,-6.899800543983777,-7.213033660004537,10,10,3.7254227520897985,-3.674945855513215,11.264835459645838,-11.214358563069254,0.050476896576583385,0.37254227520897976,-0.3674945855513214,1.1264835459645837,-1.1214358563069253,0.0050476896576583385,3.7254227520897985,-3.674945855513215,7.50603806739673,-7.455561170820147,0.050476896576583385,True,True,
legal40_depth_12x384_43022,6,agent-properties,6,direct,antonym,concept swap,believe,doubt,False,False,True,True,-14.803048287983984,-17.600072998553514,-26.26887891255319,-29.13728200783953,-1.4803048287983984,-1.7600072998553515,-2.6268878912553193,-2.913728200783953,-81.68665993958712,-86.28968929499388,-6.807221661632259,-7.19080744124949,10,10,2.7970247105695307,-2.8684030952863395,11.465830624569207,-11.537209009286016,-0.0713783847168088,0.2797024710569531,-0.2868403095286336,1.1465830624569209,-1.1537209009286014,-0.007137838471679814,2.7970247105695307,-2.8684030952863395,6.862801269162446,-6.934179653879255,-0.0713783847168088,True,True,
legal40_depth_12x384_43022,17,agent-properties,17,indirect,antonym,concept swap,believe,doubt,False,False,True,False,-38.44596469309181,-38.060429913923144,-26.047723663970828,-25.98397092241794,-3.844596469309181,-3.8060429913923146,-2.604772366397083,-2.598397092241794,-86.55640392005444,-82.79760652780533,-7.213033660004537,-6.899800543983777,10,10,-0.3855347791686654,0.06375274155288935,-12.398241029120982,12.076458991505206,-0.32178203761577606,-0.03855347791686636,0.006375274155288935,-1.239824102912098,1.2076458991505206,-0.03217820376157743,-0.3855347791686654,0.06375274155288935,-8.639443636871874,8.317661599256098,-0.32178203761577606,False,True,
legal40_depth_12x384_43022,49,agent-properties,49,indirect,antonym,concept swap,believe,doubt,False,False,True,False,-30.53410876588896,-30.313946586102247,-23.729646580759436,-22.74546083295718,-3.053410876588896,-3.0313946586102247,-2.3729646580759436,-2.274546083295718,-86.28968929499388,-81.68665993958712,-7.19080744124949,-6.807221661632259,10,10,-0.22016217978671193,0.9841857478022575,-6.804462185129523,7.568485753145069,0.7640235680155456,-0.02201621797867137,0.09841857478022575,-0.6804462185129525,0.7568485753145069,0.07640235680155438,-0.22016217978671193,0.9841857478022575,-2.201432829722762,2.9654563977383077,0.7640235680155456,False,True,
legal40_depth_12x384_43022,2,agent-properties,2,direct,antonym,concept swap,believe,doubt,False,False,False,True,-12.757305277744308,-15.391849500127137,-21.08470784733072,-23.202302044723183,-1.1597550252494826,-1.3992590454661034,-1.9167916224846109,-2.1093001858839258,-80.57631608843803,-87.77876345813274,-6.198178160649079,-6.7522125737025185,11,11,2.6345442223828286,-2.1175941973924637,8.327402569586411,-7.810452544596046,0.5169500249903649,0.23950402021662076,-0.19250856339931488,0.7570365972351283,-0.7100411404178224,0.04699545681730566,2.6345442223828286,-2.1175941973924637,1.1249551998917013,-0.6080051749013364,0.5169500249903649,True,True,
legal40_depth_12x384_43022,4,agent-properties,4,direct,antonym,concept swap,believe,doubt,False,False,False,True,-13.412593884393573,-15.361036350019276,-26.092111912555993,-28.121155025437474,-1.3412593884393573,-1.5361036350019277,-2.609211191255599,-2.8121155025437474,-80.71761786937714,-88.44489240646362,-6.726468155781428,-7.370407700538635,10,10,1.9484424656257033,-2.0290431128814816,12.67951802816242,-12.760118675418198,-0.08060064725577831,0.19484424656257038,-0.20290431128814834,1.2679518028162418,-1.2760118675418197,-0.008060064725577298,1.9484424656257033,-2.0290431128814816,4.952243491075933,-5.032844138331711,-0.08060064725577831,True,True,
legal40_depth_12x384_43022,2210,material-dynamics,0,direct,material,concept swap,break,drip,True,True,False,False,-18.44538164138794,-15.588927745819092,-36.37766885757446,-33.77844047546387,-6.1484605471293134,-5.196309248606364,-9.094417214393616,-8.444610118865967,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-2.8564538955688477,2.5992283821105957,17.932287216186523,-18.189512729644775,-0.25722551345825195,-0.9521512985229492,0.6498070955276489,2.9459566672643023,-3.2483008702596026,-0.3023442029953003,-2.8564538955688477,2.5992283821105957,1.191215991973877,-1.448441505432129,-0.25722551345825195,False,True,
legal40_depth_12x384_43022,2212,material-dynamics,2,direct,material,concept swap,break,drip,True,True,False,False,-17.173223733901978,-14.982493162155151,-34.219597816467285,-31.709284782409668,-5.724407911300659,-4.994164387385051,-8.554899454116821,-7.927321195602417,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-2.190730571746826,2.510313034057617,17.046374082565308,-16.726791620254517,0.319582462310791,-0.7302435239156084,0.6275782585144043,2.830491542816162,-2.9331568082173662,-0.10266526540120324,-2.190730571746826,2.510313034057617,0.30530285835266113,0.014279603958129883,0.319582462310791,False,True,
legal40_depth_12x384_43022,2214,material-dynamics,4,direct,material,concept swap,break,drip,True,True,False,False,-18.834104537963867,-15.389940023422241,-36.833980083465576,-33.84519100189209,-6.278034845987956,-5.129980007807414,-9.208495020866394,-8.461297750473022,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-3.444164514541626,2.9887890815734863,17.99987554550171,-18.45525097846985,-0.45537543296813965,-1.148054838180542,0.7471972703933716,2.930460174878438,-3.3313177426656084,-0.4008575677871704,-3.444164514541626,2.9887890815734863,1.2588043212890625,-1.7141797542572021,-0.45537543296813965,False,True,
legal40_depth_12x384_43022,2216,material-dynamics,6,direct,material,concept swap,break,drip,True,True,False,False,-18.158474922180176,-15.628227710723877,-36.001150131225586,-33.50864839553833,-6.052824974060059,-5.209409236907959,-9.000287532806396,-8.377162098884583,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-2.530247211456299,2.492501735687256,17.84267520904541,-17.880420684814453,-0.03774547576904297,-0.8434157371520996,0.623125433921814,2.947462558746338,-3.1677528619766235,-0.22029030323028564,-2.530247211456299,2.492501735687256,1.1016039848327637,-1.1393494606018066,-0.03774547576904297,False,True,
legal40_depth_12x384_43022,2218,material-dynamics,8,direct,material,concept swap,break,drip,True,True,False,False,-19.052932739257812,-16.004026889801025,-36.46402168273926,-34.030394554138184,-6.3509775797526045,-5.334675629933675,-9.116005420684814,-8.507598638534546,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-3.048905849456787,2.433627128601074,17.411088943481445,-18.026367664337158,-0.6152787208557129,-1.0163019498189296,0.6084067821502686,2.76502784093221,-3.172923008600871,-0.40789516766866285,-3.048905849456787,2.433627128601074,0.6700177192687988,-1.2852964401245117,-0.6152787208557129,False,True,
legal40_depth_12x384_43022,2220,material-dynamics,10,indirect,material,concept swap,break,drip,True,True,False,False,-14.528608798980713,-14.192860126495361,-30.761581897735596,-30.435709953308105,-4.842869599660237,-4.730953375498454,-7.690395474433899,-7.608927488327026,-59.10576105117798,-75.84683227539062,-11.821152210235596,-12.641138712565104,3,4,-0.33574867248535156,0.32587194442749023,16.232973098754883,-16.242849826812744,-0.009876728057861328,-0.11191622416178326,0.08146798610687256,2.8475258747736616,-2.8779741128285723,-0.030448238054908927,-0.33574867248535156,0.32587194442749023,-0.5080981254577637,0.49822139739990234,-0.009876728057861328,False,True,
