seed,arm,checkpoint,probe_set,slot_mode,packet_type,condition,grouping,n_packets,mean_full_m_orig_new_minus_source,se_full_m_orig_new_minus_source,fraction_positive_full_m_orig_new_minus_source,mean_full_m_source_minus_orig_new,se_full_m_source_minus_orig_new,fraction_positive_full_m_source_minus_orig_new,mean_full_m_source_minus_swapped_new,se_full_m_source_minus_swapped_new,fraction_positive_full_m_source_minus_swapped_new,mean_full_m_orig_new_minus_swapped_new,se_full_m_orig_new_minus_swapped_new,fraction_positive_full_m_orig_new_minus_swapped_new,mean_full_gold_margin_vs_original_competitor,se_full_gold_margin_vs_original_competitor,fraction_positive_full_gold_margin_vs_original_competitor,mean_full_retention_margin_vs_swapped_new,se_full_retention_margin_vs_swapped_new,fraction_positive_full_retention_margin_vs_swapped_new,mean_content_m_orig_new_minus_source,se_content_m_orig_new_minus_source,fraction_positive_content_m_orig_new_minus_source,mean_content_m_source_minus_orig_new,se_content_m_source_minus_orig_new,fraction_positive_content_m_source_minus_orig_new,mean_content_m_source_minus_swapped_new,se_content_m_source_minus_swapped_new,fraction_positive_content_m_source_minus_swapped_new,mean_content_m_orig_new_minus_swapped_new,se_content_m_orig_new_minus_swapped_new,fraction_positive_content_m_orig_new_minus_swapped_new,mean_content_gold_margin_vs_original_competitor,se_content_gold_margin_vs_original_competitor,fraction_positive_content_gold_margin_vs_original_competitor,mean_content_retention_margin_vs_swapped_new,se_content_retention_margin_vs_swapped_new,fraction_positive_content_retention_margin_vs_swapped_new,updated_conflict_heuristic,gold_state_type
43022,base,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.6082467522272131,0.15872072338669,0.64,-0.6082467522272131,0.15872072338669,0.36,4.576155777857928,0.20512949166797476,0.92,5.1844025300851415,0.19452675275307213,0.95,-0.6082467522272131,0.15872072338669,0.36,4.576155777857928,0.20512949166797476,0.92,0.7779752780008845,0.19360970010680464,0.605,-0.7779752780008845,0.19360970010680464,0.395,5.303348151380042,0.20704105621054586,0.945,6.081323429380926,0.1931795785125243,0.955,-0.7779752780008845,0.19360970010680464,0.395,5.303348151380042,0.20704105621054586,0.945,,
43022,base,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.6796573135789314,0.21739586266490135,0.1,3.6796573135789314,0.21739586266490135,0.9,-0.5352217523173659,0.1777514261138449,0.405,-4.214879065896297,0.20407326021541658,0.085,3.6796573135789314,0.21739586266490135,0.9,-0.5352217523173659,0.1777514261138449,0.405,-4.210918795943683,0.2309046778751358,0.115,4.210918795943683,0.2309046778751358,0.885,-0.6970989812803554,0.21450883647743196,0.41,-4.908017777224038,0.21991806393583851,0.085,4.210918795943683,0.2309046778751358,0.885,-0.6970989812803554,0.21450883647743196,0.41,,
43022,base,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.815652949919326,0.2128521560342127,0.09,3.815652949919326,0.2128521560342127,0.91,4.723783181483285,0.20695030888647314,0.93,0.9081302315639592,0.20117973703450678,0.58,3.815652949919326,0.2128521560342127,0.91,4.723783181483285,0.20695030888647314,0.93,-4.389072524751154,0.22226870331084042,0.1,4.389072524751154,0.22226870331084042,0.9,5.463834816710081,0.20688415435412125,0.95,1.074762291958927,0.1925028029530629,0.62,4.389072524751154,0.22226870331084042,0.9,5.463834816710081,0.20688415435412125,0.95,,
43022,base,chck_86M,extended_nontrain,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,1.109682177726939,0.09355787486035672,0.6515555555555556,-1.109682177726939,0.09355787486035672,0.34844444444444445,4.612580883246784,0.0950068402845978,0.9182222222222223,5.722263060973722,0.08062167266670618,0.9697777777777777,1.109682177726939,0.09355787486035672,0.6515555555555556,4.612580883246784,0.0950068402845978,0.9182222222222223,1.3417554593156584,0.10151520863726156,0.6471111111111111,-1.3417554593156584,0.10151520863726156,0.35288888888888886,5.1041452565284,0.09349813751143933,0.9208888888888889,6.445900715844059,0.07343865985130887,0.9777777777777777,1.3417554593156584,0.10151520863726156,0.6471111111111111,5.1041452565284,0.09349813751143933,0.9208888888888889,,
43022,base,chck_86M,extended_nontrain,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.2869480861413525,0.10029211211881632,0.112,4.2869480861413525,0.10029211211881632,0.888,-1.1358829954954168,0.0915867727944191,0.38666666666666666,-5.422831081636769,0.08729081571253736,0.041777777777777775,-4.2869480861413525,0.10029211211881632,0.112,-1.1358829954954168,0.0915867727944191,0.38666666666666666,-4.495183408615553,0.10290740807359848,0.12088888888888889,4.495183408615553,0.10290740807359848,0.8791111111111111,-1.2970633098648767,0.1018389759673295,0.3857777777777778,-5.79224671848043,0.08500278528168345,0.04,-4.495183408615553,0.10290740807359848,0.12088888888888889,-1.2970633098648767,0.1018389759673295,0.3857777777777778,,
43022,base,chck_86M,extended_nontrain,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.5368742367233725,0.09828624981002597,0.09422222222222222,4.5368742367233725,0.09828624981002597,0.9057777777777778,4.8913489285099905,0.09540430397441443,0.9253333333333333,0.3544746917866182,0.08070996608130887,0.5537777777777778,-4.5368742367233725,0.09828624981002597,0.09422222222222222,4.8913489285099905,0.09540430397441443,0.9253333333333333,-4.801748178897458,0.0999547878999559,0.09777777777777778,4.801748178897458,0.0999547878999559,0.9022222222222223,5.428217996914251,0.0931207632891945,0.9342222222222222,0.6264698180167929,0.07316935875958337,0.5706666666666667,-4.801748178897458,0.0999547878999559,0.09777777777777778,5.428217996914251,0.0931207632891945,0.9342222222222222,,
43022,base,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.6082467522272131,0.15872072338669,0.64,-0.6082467522272131,0.15872072338669,0.36,4.576155777857928,0.20512949166797476,0.92,5.1844025300851415,0.19452675275307213,0.95,-0.6082467522272131,0.15872072338669,0.36,4.576155777857928,0.20512949166797476,0.92,0.7779752780008845,0.19360970010680464,0.605,-0.7779752780008845,0.19360970010680464,0.395,5.303348151380042,0.20704105621054586,0.945,6.081323429380926,0.1931795785125243,0.955,-0.7779752780008845,0.19360970010680464,0.395,5.303348151380042,0.20704105621054586,0.945,,
43022,base,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.6796573135789314,0.21739586266490135,0.1,3.6796573135789314,0.21739586266490135,0.9,-0.5352217523173659,0.1777514261138449,0.405,-4.214879065896297,0.20407326021541658,0.085,3.6796573135789314,0.21739586266490135,0.9,-0.5352217523173659,0.1777514261138449,0.405,-4.210918795943683,0.2309046778751358,0.115,4.210918795943683,0.2309046778751358,0.885,-0.6970989812803554,0.21450883647743196,0.41,-4.908017777224038,0.21991806393583851,0.085,4.210918795943683,0.2309046778751358,0.885,-0.6970989812803554,0.21450883647743196,0.41,,
43022,base,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.815652949919326,0.2128521560342127,0.09,3.815652949919326,0.2128521560342127,0.91,4.723783181483285,0.20695030888647314,0.93,0.9081302315639592,0.20117973703450678,0.58,3.815652949919326,0.2128521560342127,0.91,4.723783181483285,0.20695030888647314,0.93,-4.389072524751154,0.22226870331084042,0.1,4.389072524751154,0.22226870331084042,0.9,5.463834816710081,0.20688415435412125,0.95,1.074762291958927,0.1925028029530629,0.62,4.389072524751154,0.22226870331084042,0.9,5.463834816710081,0.20688415435412125,0.95,,
43022,base,chck_86M,balanced_heldout,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.9704267305001315,0.21692934085949153,0.6,-0.9704267305001315,0.21692934085949153,0.4,4.797373697698743,0.2301233328837586,0.91,5.767800428198874,0.19550733780682,0.97,0.9704267305001315,0.21692934085949153,0.6,4.797373697698743,0.2301233328837586,0.91,1.0941305294522141,0.23267371130391798,0.6,-1.0941305294522141,0.23267371130391798,0.4,5.491423790620994,0.22501748750288544,0.92,6.585554320073208,0.1808445548630126,0.975,1.0941305294522141,0.23267371130391798,0.6,5.491423790620994,0.22501748750288544,0.92,,
