seed,checkpoint,probe_set,slot_mode,packet_type,condition,grouping,n_packets,mean_delta_full_m_orig_new_minus_source,se_delta_full_m_orig_new_minus_source,fraction_positive_delta_full_m_orig_new_minus_source,mean_delta_full_m_source_minus_orig_new,se_delta_full_m_source_minus_orig_new,fraction_positive_delta_full_m_source_minus_orig_new,mean_delta_full_m_source_minus_swapped_new,se_delta_full_m_source_minus_swapped_new,fraction_positive_delta_full_m_source_minus_swapped_new,mean_delta_full_m_orig_new_minus_swapped_new,se_delta_full_m_orig_new_minus_swapped_new,fraction_positive_delta_full_m_orig_new_minus_swapped_new,mean_delta_full_gold_margin_vs_original_competitor,se_delta_full_gold_margin_vs_original_competitor,fraction_positive_delta_full_gold_margin_vs_original_competitor,mean_delta_full_retention_margin_vs_swapped_new,se_delta_full_retention_margin_vs_swapped_new,fraction_positive_delta_full_retention_margin_vs_swapped_new,mean_delta_content_m_orig_new_minus_source,se_delta_content_m_orig_new_minus_source,fraction_positive_delta_content_m_orig_new_minus_source,mean_delta_content_m_source_minus_orig_new,se_delta_content_m_source_minus_orig_new,fraction_positive_delta_content_m_source_minus_orig_new,mean_delta_content_m_source_minus_swapped_new,se_delta_content_m_source_minus_swapped_new,fraction_positive_delta_content_m_source_minus_swapped_new,mean_delta_content_m_orig_new_minus_swapped_new,se_delta_content_m_orig_new_minus_swapped_new,fraction_positive_delta_content_m_orig_new_minus_swapped_new,mean_delta_content_gold_margin_vs_original_competitor,se_delta_content_gold_margin_vs_original_competitor,fraction_positive_delta_content_gold_margin_vs_original_competitor,mean_delta_content_retention_margin_vs_swapped_new,se_delta_content_retention_margin_vs_swapped_new,fraction_positive_delta_content_retention_margin_vs_swapped_new,updated_conflict_heuristic,gold_state_type
43022,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,-0.06520442362307256,0.046462779774283106,0.44,0.06520442362307256,0.046462779774283106,0.56,0.04187823417236086,0.05851024320472484,0.485,-0.023326189450711722,0.057515002327708634,0.475,0.06520442362307256,0.046462779774283106,0.56,0.04187823417236086,0.05851024320472484,0.485,-0.1151375055955342,0.058514846362893544,0.435,0.1151375055955342,0.058514846362893544,0.565,0.12687580158827214,0.07018581617557636,0.525,0.011738295992737919,0.06626027673077237,0.46,0.1151375055955342,0.058514846362893544,0.565,0.12687580158827214,0.07018581617557636,0.525,,
43022,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.012811160907206326,0.05075691607794588,0.515,-0.012811160907206326,0.05075691607794588,0.485,0.09588338107424213,0.05141778385367189,0.615,0.10869454198144847,0.054845539882026874,0.58,-0.012811160907206326,0.05075691607794588,0.485,0.09588338107424213,0.05141778385367189,0.615,-0.0025834151073565585,0.06204995342949387,0.505,0.0025834151073565585,0.06204995342949387,0.495,0.17317998584320782,0.06231627497923903,0.6,0.1705965707358513,0.06532987408228721,0.595,0.0025834151073565585,0.06204995342949387,0.495,0.17317998584320782,0.06231627497923903,0.6,,
43022,chck_86M,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.07068028618698856,0.05342054492569933,0.58,-0.07068028618698856,0.05342054492569933,0.42,0.012823646140619056,0.059113599808944546,0.485,0.08350393232760757,0.060520908623670114,0.545,-0.07068028618698856,0.05342054492569933,0.42,0.012823646140619056,0.059113599808944546,0.485,0.054090977956924594,0.06441108427481165,0.54,-0.054090977956924594,0.06441108427481165,0.46,0.07885246812016583,0.0711871479438709,0.545,0.13294344607709038,0.07146930180392369,0.555,-0.054090977956924594,0.06441108427481165,0.46,0.07885246812016583,0.0711871479438709,0.545,,
43022,chck_86M,extended_nontrain,template,UPDATED_USE,T,seed+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-0.03082643821865898,0.030313744491462877,0.48977777777777776,0.03082643821865898,0.030313744491462877,0.5102222222222222,-0.12270220381781756,0.03204034502043295,0.4328888888888889,-0.15352864203647654,0.028068089944140874,0.41688888888888886,-0.03082643821865898,0.030313744491462877,0.48977777777777776,-0.12270220381781756,0.03204034502043295,0.4328888888888889,-0.03460843830827864,0.03449061008353043,0.4791111111111111,0.03460843830827864,0.03449061008353043,0.5208888888888888,-0.14007351061423542,0.036512883669674465,0.4391111111111111,-0.17468194892251404,0.030633310085094827,0.41244444444444445,-0.03460843830827864,0.03449061008353043,0.4791111111111111,-0.14007351061423542,0.036512883669674465,0.4391111111111111,,
43022,chck_86M,extended_nontrain,template,UPDATED_USE,U,seed+checkpoint+probe_set+slot_mode+packet_type+condition,1125,0.09073050876784687,0.03118636098605486,0.5484444444444444,-0.09073050876784687,0.03118636098605486,0.45155555555555554,0.04959976411850256,0.02902023660929861,0.4622222222222222,0.14033027288634942,0.029273022121768588,0.5297777777777778,0.09073050876784687,0.03118636098605486,0.5484444444444444,0.04959976411850256,0.02902023660929861,0.4622222222222222,0.09996427771504375,0.036203337618590785,0.544,-0.09996427771504375,0.036203337618590785,0.456,0.016452517211498846,0.03425743176379486,0.4568888888888889,0.11641679492654258,0.032033881184040026,0.5297777777777778,0.09996427771504375,0.036203337618590785,0.544,0.016452517211498846,0.03425743176379486,0.4568888888888889,,
43022,chck_86M,extended_nontrain,template,UPDATED_USE,N,seed+checkpoint+probe_set+slot_mode+packet_type+condition,1125,0.0787237541519291,0.03282151394506394,0.5457777777777778,-0.0787237541519291,0.03282151394506394,0.45422222222222225,-0.1519258858710867,0.03234461104822379,0.4071111111111111,-0.07320213171915758,0.030378450281833287,0.464,0.0787237541519291,0.03282151394506394,0.5457777777777778,-0.1519258858710867,0.03234461104822379,0.4071111111111111,0.07937556625081271,0.03727519589750049,0.5448888888888889,-0.07937556625081271,0.03727519589750049,0.45511111111111113,-0.17847490602703997,0.03668192462014195,0.40355555555555556,-0.09909933977622727,0.03331523430250087,0.4488888888888889,0.07937556625081271,0.03727519589750049,0.5448888888888889,-0.17847490602703997,0.03668192462014195,0.40355555555555556,,
43022,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,-0.06520442362307256,0.046462779774283106,0.44,0.06520442362307256,0.046462779774283106,0.56,0.04187823417236086,0.05851024320472484,0.485,-0.023326189450711722,0.057515002327708634,0.475,0.06520442362307256,0.046462779774283106,0.56,0.04187823417236086,0.05851024320472484,0.485,-0.1151375055955342,0.058514846362893544,0.435,0.1151375055955342,0.058514846362893544,0.565,0.12687580158827214,0.07018581617557636,0.525,0.011738295992737919,0.06626027673077237,0.46,0.1151375055955342,0.058514846362893544,0.565,0.12687580158827214,0.07018581617557636,0.525,,
43022,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.012811160907206326,0.05075691607794588,0.515,-0.012811160907206326,0.05075691607794588,0.485,0.09588338107424213,0.05141778385367189,0.615,0.10869454198144847,0.054845539882026874,0.58,-0.012811160907206326,0.05075691607794588,0.485,0.09588338107424213,0.05141778385367189,0.615,-0.0025834151073565585,0.06204995342949387,0.505,0.0025834151073565585,0.06204995342949387,0.495,0.17317998584320782,0.06231627497923903,0.6,0.1705965707358513,0.06532987408228721,0.595,0.0025834151073565585,0.06204995342949387,0.495,0.17317998584320782,0.06231627497923903,0.6,,
43022,chck_86M,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.07068028618698856,0.05342054492569933,0.58,-0.07068028618698856,0.05342054492569933,0.42,0.012823646140619056,0.059113599808944546,0.485,0.08350393232760757,0.060520908623670114,0.545,-0.07068028618698856,0.05342054492569933,0.42,0.012823646140619056,0.059113599808944546,0.485,0.054090977956924594,0.06441108427481165,0.54,-0.054090977956924594,0.06441108427481165,0.46,0.07885246812016583,0.0711871479438709,0.545,0.13294344607709038,0.07146930180392369,0.555,-0.054090977956924594,0.06441108427481165,0.46,0.07885246812016583,0.0711871479438709,0.545,,
43022,chck_86M,balanced_heldout,template,UPDATED_USE,T,seed+checkpoint+probe_set+slot_mode+packet_type+condition,200,-0.0934966422506213,0.06736768718106853,0.44,0.0934966422506213,0.06736768718106853,0.56,0.13811996755046357,0.07076354136523777,0.545,0.044623325299842295,0.055992993634717346,0.525,-0.0934966422506213,0.06736768718106853,0.44,0.13811996755046357,0.07076354136523777,0.545,-0.09996727331184344,0.07515243512355564,0.45,0.09996727331184344,0.07515243512355564,0.55,0.17667469404427397,0.08171233162085363,0.575,0.07670742073243053,0.06447246609416522,0.54,-0.09996727331184344,0.07515243512355564,0.45,0.17667469404427397,0.08171233162085363,0.575,,
