endpoint,endpoint_path,n_sentence_records,n_scored_mode_rows,elapsed_sec,loaded_class,total_params_loaded,adapter_params_loaded
chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,80,160,12.0,AdapterDebertaV2ForMaskedLM,35463008,995584
coherent86_repaired_alpha075,experiments/archive/functional_learning/data/automodel_repair/repaired_coherent86_alpha075,80,160,10.9,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
sparse_focus_seed62064_u0080,experiments/archive/functional_learning/data/unchanged_focus_weighted_train/correspondence_focus_weighted/checkpoints/update_0080,80,160,10.7,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense_focus_seed62064_u0080,experiments/archive/functional_learning/data/unchanged_dense_focus_train/correspondence_focus_weighted/checkpoints/update_0080,80,160,10.6,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
dense_focus_seed62065_u0080,experiments/archive/functional_learning/data/dense_focus_rep_seed62065_train/correspondence_focus_weighted/checkpoints/update_0080,80,160,10.9,FrozenSlowPrivateDebertaV2ForMaskedLM,36458592,1991168
