sentence_uid,source,row_example_id,axis_row_index,sentence_words,row_words,char_start,char_end,mode,n_target_tokens,n_masked,target_truncated_right,loss,endpoint,endpoint_path,description
r0001_s04,bnc_spoken,920000001,1,23,160,714,837,row_context,26,4,False,3.567826747894287,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0006_s03,bnc_spoken,920000006,6,29,160,475,613,row_context,33,7,False,1.925899624824524,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0008_s06,bnc_spoken,920000008,8,15,160,754,827,row_context,20,5,False,3.944330930709839,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0029_s01,bnc_spoken,920000029,29,10,160,196,240,row_context,11,1,False,2.6905159950256348,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0045_s07,bnc_spoken,920000045,45,10,160,592,645,row_context,14,3,False,1.0249552726745605,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0117_s03,bnc_spoken,920000117,117,41,160,408,621,row_context,55,6,False,5.874128818511963,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0141_s01,bnc_spoken,920000141,141,24,160,114,261,row_context,32,8,False,3.4273226261138916,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0155_s04,bnc_spoken,920000155,155,26,160,802,952,row_context,31,8,False,2.9193243980407715,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0165_s03,bnc_spoken,920000165,165,32,160,567,740,row_context,37,4,False,1.7081942558288574,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0172_s02,bnc_spoken,920000172,172,45,160,144,389,row_context,65,11,False,3.872157096862793,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0179_s06,bnc_spoken,920000179,179,13,160,658,732,row_context,20,4,False,3.376770496368408,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0181_s02,bnc_spoken,920000181,181,17,160,259,349,row_context,20,1,False,7.2146453857421875,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0213_s04,bnc_spoken,920000213,213,25,160,544,666,row_context,32,3,False,5.499359130859375,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0215_s04,bnc_spoken,920000215,215,14,160,789,869,row_context,18,2,False,3.7292075157165527,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0367_s02,childes,920000367,367,18,160,266,369,row_context,24,1,False,0.00023636408150196075,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0451_s00,childes,920000451,451,16,160,15,103,row_context,23,4,False,3.9702916145324707,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0489_s05,childes,920000489,489,9,160,789,834,row_context,5,2,True,0.3006034791469574,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0563_s03,childes,920000563,563,8,160,233,269,row_context,16,1,False,0.02269660495221615,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0617_s02,childes,920000617,617,12,160,461,532,row_context,22,2,False,1.6493617296218872,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0702_s00,childes,920000702,702,10,160,304,357,row_context,24,3,False,0.9128257632255554,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0790_s02,childes,920000790,790,12,160,502,567,row_context,16,3,False,1.4662151336669922,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0823_s08,childes,920000823,823,20,160,714,810,row_context,24,3,False,0.014376589097082615,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0893_s01,childes,920000893,893,9,160,290,336,row_context,14,2,False,2.623086929321289,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0898_s06,childes,920000898,898,8,160,690,725,row_context,11,1,False,0.00012063252506777644,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r0928_s04,childes,920000928,928,8,160,838,882,row_context,0,0,True,nan,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1104_s06,childes,920001104,1104,9,160,732,776,row_context,6,1,True,0.00032181330607272685,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1149_s01,childes,920001149,1149,13,160,232,302,row_context,21,4,False,2.7815868854522705,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1244_s01,gutenberg,920001244,1244,10,160,92,142,row_context,15,2,False,2.765223503112793,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1254_s05,gutenberg,920001254,1254,9,160,356,405,row_context,15,2,False,5.161815166473389,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1317_s04,gutenberg,920001317,1317,37,160,352,541,row_context,39,8,False,4.342427730560303,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1341_s05,gutenberg,920001341,1341,9,160,537,579,row_context,10,1,False,0.04271895810961723,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1385_s02,gutenberg,920001385,1385,10,160,158,200,row_context,14,1,False,0.03697403892874718,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1408_s05,gutenberg,920001408,1408,8,160,590,641,row_context,16,2,False,3.288853883743286,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1437_s02,gutenberg,920001437,1437,16,160,365,447,row_context,22,4,False,2.203026056289673,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1448_s03,gutenberg,920001448,1448,15,160,231,321,row_context,19,1,False,8.871820449829102,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1500_s03,gutenberg,920001500,1500,45,160,271,501,row_context,57,12,False,4.270799160003662,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1555_s05,gutenberg,920001555,1555,10,160,635,685,row_context,12,1,False,6.978109836578369,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
r1667_s00,gutenberg,920001667,1667,10,160,0,53,row_context,21,1,False,5.611821174621582,chck82_slow_scale1p75,experiments/archive/frontier_consolidation/training/runs/adapter128_scale1p75_h100M100M_seed43022_official_ladder/hf_model/chck_82M,protected slow-adapter chck82 reference
