subset,contrast,n_seeds,mean_delta_loss,min_delta_loss,max_delta_loss,seed_values
all6992,ALN-OFF,2,-0.012649145303367249,-0.0128116962592002,-0.012486594347534297,43022:-0.012487;43122:-0.012812
all6992,ALN-OFF_rowpaired,2,-0.012649145303367321,-0.012811696259200098,-0.012486594347534546,43022:-0.012487;43122:-0.012812
inherited_aln_pair_text_hit_rows2354,ALN-OFF,2,-0.019075327978821166,-0.021533491308857844,-0.016617164648784488,43022:-0.016617;43122:-0.021533
inherited_aln_pair_text_hit_rows2354,ALN-OFF_rowpaired,2,-0.019075327978821017,-0.021533491308857584,-0.01661716464878445,43022:-0.016617;43122:-0.021533
no_inherited_aln_pair_text_hits4638,ALN-OFF,2,-0.009387559702242365,-0.010390138442156971,-0.00838498096232776,43022:-0.010390;43122:-0.008385
no_inherited_aln_pair_text_hits4638,ALN-OFF_rowpaired,2,-0.009387559702242268,-0.010390138442156737,-0.0083849809623278,43022:-0.010390;43122:-0.008385
no_inherited_pair_or_base_dose_stream_hits1743,ALN-OFF,2,-0.010171175142064559,-0.01246003715026145,-0.007882313133867669,43022:-0.007882;43122:-0.012460
no_inherited_pair_or_base_dose_stream_hits1743,ALN-OFF_rowpaired,2,-0.01017117514206443,-0.012460037150261194,-0.007882313133867667,43022:-0.007882;43122:-0.012460
