subset,seed,role,checkpoint,n,mean_loss,sd_loss,mean_masked
no_inherited_aln_pair_text_hits4638,43122,ALN,chck_90M,4638,2.335813822877144,1.0806492495566362,35.17011642949547
no_inherited_aln_pair_text_hits4638,43122,OFF,chck_100M,4638,2.3378424625159027,1.0765279684469633,35.17011642949547
no_inherited_aln_pair_text_hits4638,43122,OFF,chck_80M,4638,2.3785586773657648,1.085242109926517,35.17011642949547
no_inherited_aln_pair_text_hits4638,43122,OFF,chck_90M,4638,2.3418659783183724,1.0749424253969093,35.17011642949547
inherited_aln_pair_text_hit_rows2354,43122,ALN,chck_100M,2354,2.817862616654109,0.9974738955791681,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,ALN,chck_80M,2354,2.855870347702678,0.9992745322021815,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,ALN,chck_90M,2354,2.8211274801618154,0.9975733835039455,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,OFF,chck_100M,2354,2.8350834768683275,0.9972356894620842,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,OFF,chck_80M,2354,2.885321377501993,1.0029714852434017,33.749787595581985
inherited_aln_pair_text_hit_rows2354,43122,OFF,chck_90M,2354,2.839056064074854,0.9963346833076018,33.749787595581985
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN,chck_100M,1743,2.3195540549274165,1.0812179925760994,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN,chck_80M,1743,2.3524894590809624,1.0874614458189,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN,chck_90M,1743,2.323872056603218,1.0810893450818275,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,OFF,chck_100M,1743,2.329651527384609,1.0804142001065467,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,OFF,chck_80M,1743,2.3693712120870374,1.089295054332277,35.27596098680436
no_inherited_pair_or_base_dose_stream_hits1743,43122,OFF,chck_90M,1743,2.334272942590734,1.0788550071929932,35.27596098680436
