subset,seed,contrast,delta_loss_late_mean,loss_ALN,loss_OFF,n_examples_per_checkpoint,median_delta_loss,se_delta_loss
all6992,43022,ALN-OFF,-0.012486594347534297,2.4967900736341218,2.509276667981656,6992,,
all6992,43022,ALN-OFF_rowpaired,-0.012486594347534546,,,6992,-0.006048997243245369,0.002215881115176444
no_inherited_aln_pair_text_hits4638,43022,ALN-OFF,-0.010390138442156971,2.332352159534752,2.342742297976909,4638,,
no_inherited_aln_pair_text_hits4638,43022,ALN-OFF_rowpaired,-0.010390138442156737,,,4638,-0.007421394189198738,0.002563296585066108
inherited_aln_pair_text_hit_rows2354,43022,ALN-OFF,-0.016617164648784488,2.8207760743107895,2.837393238959574,2354,,
inherited_aln_pair_text_hit_rows2354,43022,ALN-OFF_rowpaired,-0.01661716464878445,,,2354,-0.003943641980489132,0.004220089072373816
no_inherited_pair_or_base_dose_stream_hits1743,43022,ALN-OFF,-0.007882313133867669,2.3213654449499885,2.329247758083856,1743,,
no_inherited_pair_or_base_dose_stream_hits1743,43022,ALN-OFF_rowpaired,-0.007882313133867667,,,1743,-0.008611241976419937,0.004256583425187604
all6992,43122,ALN-OFF,-0.0128116962592002,2.508413222516149,2.5212249187753493,6992,,
all6992,43122,ALN-OFF_rowpaired,-0.012811696259200098,,,6992,-0.003901243209838867,0.0022962283132971443
no_inherited_aln_pair_text_hits4638,43122,ALN-OFF,-0.00838498096232776,2.344370725104352,2.35275570606668,4638,,
no_inherited_aln_pair_text_hits4638,43122,ALN-OFF_rowpaired,-0.0083849809623278,,,4638,-0.002663850784301758,0.0027407645167082024
inherited_aln_pair_text_hit_rows2354,43122,ALN-OFF,-0.021533491308857844,2.8316201481728673,2.853153639481725,2354,,
inherited_aln_pair_text_hit_rows2354,43122,ALN-OFF_rowpaired,-0.021533491308857584,,,2354,-0.008029103279113992,0.004161233836146034
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN-OFF,-0.01246003715026145,2.331971856870532,2.3444318940207935,1743,,
no_inherited_pair_or_base_dose_stream_hits1743,43122,ALN-OFF_rowpaired,-0.012460037150261194,,,1743,-0.005407730738322014,0.004530387116895037
