eval_set,window,mean_imp_V43022,mean_imp_V43122,mean_imp_C43022,mean_imp_C43122,avg_partial_same_data_cross_seed,avg_partial_same_seed_cross_data,same_seed_minus_same_data,raw_data_effect_corr_across_seeds,resid_data_effect_corr_across_seeds,raw_seed_effect_corr_across_data,resid_seed_effect_corr_across_data,raw_data_main_sd,raw_seed_main_sd,raw_interaction_sd,resid_data_main_sd,resid_seed_main_sd,resid_interaction_sd,shared_arm_obs_raw,shared_arm_perm_mean_raw,shared_arm_obs_minus_null_raw
heldout,60to100,0.16729997096361338,0.15740194013693906,0.17116545611545997,0.17666375888339714,0.3810414474159934,0.3685444159416503,-0.012497031474343057,0.024655484337554316,0.056662026491187095,0.014352927648533504,0.03577831746961506,0.05736586660599119,0.05677772692164029,0.05596859572837011,0.04699062216432913,0.0460174879954898,0.04439948780128625,0.4937025629239985,0.5008811514746105,-0.007178588550612042
heldout,80to100,0.03554084265221803,0.02723503371250967,0.03810210674532286,0.02923897223700812,0.11487157225439154,0.11173838913128352,-0.0031331831231080215,0.03135060138933625,0.032914310778249994,0.03318799879317531,0.028970387747990628,0.02483824358123746,0.024884047260321826,0.024071456886649797,0.02360812757832674,0.023515162238616914,0.022843516074138835,0.49824136711590616,0.5071650890304189,-0.008923721914512739
heldout,60to70,0.0842416582029559,0.06456174819412677,0.07240230249437063,0.07490136530860358,0.19695528645595373,0.17539354121281087,-0.02156174524314286,0.032266201298054124,0.043036191404302745,0.013242642525231454,0.017375721894444515,0.06302364570578516,0.06183567881413799,0.06102216480666768,0.055009632863418846,0.05361568119757708,0.052692040215654774,0.48301595236849615,0.5027244768568705,-0.019708524488374346
heldout,70to80,0.04751747010843946,0.06560515823030261,0.06066104687576649,0.07252342133778542,0.1517774326548565,0.15532454202074655,0.003547109365890061,0.014218455467961945,0.03844283125460751,0.020751514976389926,0.04148169126271822,0.04415987324255675,0.04444932603977396,0.04353645026073986,0.03998447332910448,0.040106420548210155,0.03847589844473031,0.4801162675952356,0.4829690046893466,-0.002852737094110991
heldout,80to90,0.029794210106804667,0.020371365350659393,0.03247851803187533,0.02224753562492069,0.10309376422051042,0.10621491249488359,0.0031211482743731672,0.0345286184072222,0.0326768303032394,0.04105261686555966,0.03761344046856008,0.025656617817527982,0.025824795157546772,0.024785528643942775,0.0244937333148172,0.024615093011195386,0.02370601891400781,0.485051806789083,0.5020061394619253,-0.0169543326728423
heldout,90to100,0.005746632545413364,0.006863668361850279,0.00562358871344754,0.006991436612087428,0.07152417489985727,0.06769522658611292,-0.0038289483137443486,0.04725991304994433,0.05492804904707281,0.04574685630197006,0.045196238573650876,0.008548606949638934,0.00853582669608307,0.008153911546831026,0.008483615473454182,0.008401485527758157,0.00803000474723044,0.4901898589484587,0.47981354808208343,0.010376310866375249
filler,60to100,0.1877518279969692,0.17332656493261456,0.1714172008574009,0.1761951690979302,0.4150630322002642,0.3960390297756514,-0.019024002424612774,0.06166208955062526,0.07229524711946025,0.03721624879928838,0.047331683946328376,0.06326734429087816,0.061732579765256104,0.05947933847769612,0.05120927151635453,0.049943104482944665,0.0476326485969675,0.4793050674037241,0.5047704969436414,-0.025465429539917317
filler,80to100,0.037558399165421724,0.030909657991304993,0.03291124474257231,0.027200534131377935,0.14267929311198946,0.1263161643617292,-0.016363128750260247,0.04226907504419721,0.04582422162647207,0.027256854756828805,0.027092360448553492,0.026463787156270957,0.026068615019400446,0.02536796771950515,0.025136282292980816,0.02466922960033389,0.02400982860796669,0.5023472693604094,0.5117889041856628,-0.009441634825253398
filler,60to70,0.09556559950374066,0.07133218171671032,0.07807348995432258,0.07854963183254003,0.20470548793310067,0.20637398538399482,0.0016684974508941464,0.03766685283324195,0.018699284540732764,0.03150937806437311,0.025360297222679226,0.06721220671779034,0.06679799411539501,0.0647265475306187,0.05772065508342503,0.05810663161951895,0.05665126180526634,0.4814340640594099,0.5125162904422644,-0.031082226382854516
filler,70to80,0.05462782932780683,0.07108472522459924,0.06043246616050601,0.07044500313401222,0.162637772045217,0.1283032288529254,-0.03433454319229162,0.02469024490017141,0.07065783081539603,0.0038116668675837566,0.026848487208865617,0.04766489855122696,0.04667981551867597,0.04650222545013828,0.04399969231510528,0.042110005969212695,0.04099426646081893,0.48634855568334784,0.49841900006009837,-0.012070444376750533
filler,80to90,0.031582585352286696,0.023535083635523917,0.028673607466369867,0.021568262423574923,0.12369664219668773,0.11508132291726782,-0.008615319279419914,0.04537822124652249,0.05037363680466207,0.0383318205201722,0.040263066045555275,0.027323995057086648,0.027131552750717877,0.026111317598115927,0.02614160524886597,0.025878440848781114,0.02485673529750185,0.5003148861948539,0.5128555530905787,-0.012540666895724861
filler,90to100,0.005975813813135028,0.007374574355781078,0.00423763727620244,0.005632271707803011,0.054023556688451525,0.06089014518827793,0.006866588499826402,0.04432466789732251,0.04332127390462766,0.04859640999962593,0.04674512126115604,0.008896046554986863,0.008934178119821421,0.008510117952691595,0.008797522482551322,0.008827755532171563,0.008424326774838953,0.49367865633926705,0.5007512902813809,-0.007072633942113826
