eval_set,window,target,feature,raw_r,raw_p,partial_startloss_r,partial_startloss_p,n
heldout,60to100,data_main_raw,words_meta,,,-0.0020614226963852605,0.8631688413525515,6992
heldout,60to100,data_main_raw,char_len,-0.004689344787560135,0.6950238380151877,0.02051404240717994,0.08630477542752175,6992
heldout,60to100,data_main_raw,n_commas,0.007321643044055389,0.5404575662589699,0.02153940536441509,0.07170717136180157,6992
heldout,60to100,data_main_raw,n_colons,0.0171726144051378,0.15106156808744256,-0.02031705459860527,0.089366918465376,6992
heldout,60to100,data_main_raw,n_semicolons,-0.02545838181990584,0.03327512031363554,-0.020930073612398924,0.0801159954748104,6992
heldout,60to100,data_main_raw,n_periods,0.031167667433660045,0.009151267931356136,0.02761503289008243,0.02093546568264589,6992
heldout,60to100,data_main_raw,n_qmarks,0.024165070619751372,0.043323988080127475,0.009744775660161308,0.41523600328665966,6992
heldout,60to100,data_main_raw,n_exclaims,0.014143877486806254,0.23699428590306768,0.014637905917729992,0.2210119223725845,6992
heldout,60to100,data_main_raw,n_quotes,-0.008484556940701507,0.4781078476587569,-0.006946803855963294,0.5613872224724911,6992
heldout,60to100,data_main_raw,n_parens,0.028116743939345674,0.0187172287315127,-0.0006939598722292169,0.9537348534341162,6992
heldout,60to100,data_main_raw,n_digits,0.04226799140895065,0.000407280887095181,0.009286321302569204,0.4375227660492635,6992
heldout,60to100,data_main_raw,n_capitals,-0.028764142541663165,0.01616039459465006,-0.05812537374869404,1.152807870907497e-06,6992
heldout,60to100,data_main_raw,n_sentences_rough,0.03409606241303182,0.004353129098055991,0.02786748653869673,0.01979218081062995,6992
heldout,60to100,data_main_raw,whitespace_tokens,,,-0.0020614226963852605,0.8631688413525515,6992
heldout,60to100,data_main_raw,type_token_ratio,-0.007910779459239473,0.5083705336972536,0.039504702332968954,0.0009531230187847711,6992
heldout,60to100,data_main_raw,avg_word_len,-0.004689344787560133,0.6950238380151877,0.020514042407179994,0.08630477542752175,6992
heldout,60to100,seed_main_raw,words_meta,,,-0.0010561690679888568,0.9296388987613265,6992
heldout,60to100,seed_main_raw,char_len,-0.013830204540195934,0.24755639782204927,-0.007395319644096912,0.5363900840823723,6992
heldout,60to100,seed_main_raw,n_commas,-0.028496773824246598,0.01717656952677617,-0.0003579484242121605,0.9761263530203256,6992
