eval_set,window,source,n,data_main_raw_mean,data_main_raw_sd,seed_main_raw_mean,seed_main_raw_sd,interaction_raw_mean,interaction_raw_sd,data_main_residualized_mean,data_main_residualized_sd,seed_main_residualized_mean,seed_main_residualized_sd,interaction_residualized_mean,interaction_residualized_sd
heldout,60to100,bnc_spoken,508,-0.0036286836651366525,0.06394278938733837,0.004033319241418613,0.060935304854702575,-0.00031063119022864996,0.05887246770075873,0.005875040522767584,0.05082606476144391,0.004381075423390738,0.04884958025333874,-0.001953118540545338,0.0488927134693204
heldout,60to100,childes,2273,-0.003871079664996973,0.043809310306063456,0.0019355634878050689,0.043544357237882705,0.003053058876692462,0.042663871098773294,-0.0006823225599120608,0.03573426373919687,0.0002968890995651177,0.035049398874635034,0.0001936403971070495,0.032684459487385485
heldout,60to100,gutenberg,1642,-0.010607314186032304,0.06118690293575927,-0.0018856078749307035,0.06332472452904239,0.002010978876310202,0.06122276657345743,-0.0041463744617424,0.04989048363585798,-0.0014389455631669606,0.051845312532580866,-0.0004519460929105233,0.04917116742053979
heldout,60to100,open_subtitles,1615,-0.003655957682029382,0.05799648422765237,0.0022900931283416394,0.056313065103764263,0.004638102867470437,0.058081091730027685,0.0043874834374573145,0.047918176952215744,-0.00025446262405749503,0.04600732299557009,0.0006808773435991436,0.045799972800127084
heldout,60to100,simple_wiki,935,-0.006758789783891509,0.07237602760919548,0.00048343867043601003,0.06996322060135791,0.010086414210727429,0.06760290204723599,-0.0017704952088751346,0.059580710202596546,-0.0003862147822525189,0.05582576952187869,0.0004459815916172889,0.054128765198707726
heldout,60to100,switchboard,19,-0.007533780838313855,0.053018229082122045,0.009890275566201461,0.05335988784010186,-0.004861673242167423,0.06983618359761831,-0.0029277511526695,0.04649688567647483,0.012336912399225922,0.0520529460424044,-0.011709190396994093,0.050941173381912876
heldout,80to100,bnc_spoken,508,-0.0037945727487718028,0.02716574412879206,0.0062590171326333145,0.027029855901350992,0.0002907496092357035,0.0260083588564528,-0.0013107391411010959,0.025448999121510045,0.0012574896032437808,0.02596954106798984,0.00035314988012222925,0.02524588353505319
heldout,80to100,childes,2273,-0.0011509855667492183,0.019591607437877967,0.001184854452410984,0.020041664734929934,-0.00023019302585578101,0.019104306298197676,-0.0001256709973442486,0.01854995710785175,-0.0008722868505386942,0.018661261450135205,0.00032112335260850883,0.017948689718491256
heldout,80to100,gutenberg,1642,-1.4387225407775805e-05,0.026312417337317835,0.006244565225257363,0.026155597321149197,4.781664652017089e-05,0.025789560560548555,0.0003722199500177939,0.025096285335837687,0.0005731950601472974,0.024845013565641127,7.054773742559364e-05,0.024778400920100554
heldout,80to100,open_subtitles,1615,-0.00254523482392816,0.024522818093931576,0.0048688805463144285,0.025148690341228002,-0.001200090182639497,0.02429668782772999,-0.0005049284653172597,0.023467568421428494,-0.0004898011661103367,0.024109137105223673,-0.0008950158796275584,0.023225014461713784
heldout,80to100,simple_wiki,935,0.0010268716363206426,0.0315569080100415,0.006479475536896663,0.030301406952690936,0.001407504037401096,0.02974592778868253,0.0014727887932134854,0.03007663113615582,0.0013441847157502095,0.028667818473165928,0.0005332366174326414,0.027539454907211713
heldout,80to100,switchboard,19,-0.013794102166828356,0.02754550228205059,-0.0019247124069615414,0.022381516398955817,-0.0028980374336242676,0.014224374960956606,-0.01164618670811344,0.026631994453711616,-0.003319306415453405,0.02183252667083717,-0.004119920849221167,0.015528350043531628
