domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5063348416289593,771,0.34886877828054297,0.7066911090742438,1091,-0.04417489841580391
social-relations,1548,0.5213178294573644,475,0.30684754521963825,0.6410256410256411,741,0.23078721947968006
physical-relations,818,0.4877750611246944,306,0.3740831295843521,0.7303102625298329,419,-0.026530759409070015
physical-interactions,556,0.48381294964028776,198,0.35611510791366907,0.6898954703832753,287,-0.12327080080285668
spatial-relations,490,0.5081632653061224,177,0.36122448979591837,0.7344398340248963,241,0.18555549532175064
material-dynamics,770,0.5194805194805194,174,0.22597402597402597,0.4702702702702703,370,0.28655314445495605
social-properties,328,0.43597560975609756,124,0.3780487804878049,0.6702702702702703,185,-0.2781582847237587
quantitative-properties,314,0.5286624203821656,94,0.29936305732484075,0.6351351351351351,148,0.010409239679574966
social-interactions,294,0.5952380952380952,66,0.22448979591836735,0.5546218487394958,119,1.0712026432156563
physical-dynamics,120,0.44166666666666665,56,0.4666666666666667,0.835820895522388,67,-0.6085839327424765
material-properties,170,0.5823529411764706,43,0.2529411764705882,0.6056338028169014,71,0.13822941854596138
