seed,arm,checkpoint,uid,entity_type,numops,n_items,accuracy,report
43022,V,chck_90M,ambiref_0_ops,ambiref,0,508,29.92,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,ambiref_1_ops,ambiref,1,428,15.19,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,ambiref_2_ops,ambiref,2,413,23.73,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,ambiref_3_ops,ambiref,3,409,27.38,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,ambiref_4_ops,ambiref,4,434,36.41,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,ambiref_5_ops,ambiref,5,123,30.08,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_0_ops,move_contents,0,516,44.96,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_1_ops,move_contents,1,437,16.7,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_2_ops,move_contents,2,399,20.55,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_3_ops,move_contents,3,406,26.11,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_4_ops,move_contents,4,353,28.9,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,move_contents_5_ops,move_contents,5,116,37.07,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_0_ops,regular,0,517,40.23,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_1_ops,regular,1,409,14.91,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_2_ops,regular,2,405,23.21,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_3_ops,regular,3,425,26.59,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_4_ops,regular,4,388,31.44,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_90M,regular_5_ops,regular,5,94,34.04,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_90M/Entity/chck_90M/full_dose_max_view_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_0_ops,ambiref,0,508,30.31,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_1_ops,ambiref,1,428,15.65,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_2_ops,ambiref,2,413,24.21,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_3_ops,ambiref,3,409,26.89,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_4_ops,ambiref,4,434,36.41,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,ambiref_5_ops,ambiref,5,123,29.27,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,move_contents_0_ops,move_contents,0,516,44.96,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,V,chck_100M,move_contents_1_ops,move_contents,1,437,16.25,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
