seed,checkpoint,contrast,group,numops,n_items,weighted_delta
43022,chck_90M,VminusR,ALL_TYPES,1,1274,2.03787284144427
43022,chck_90M,VminusR,regular,1,409,3.66
43022,chck_90M,VminusR,ambiref,1,428,0.6999999999999993
43022,chck_90M,VminusR,move_contents,1,437,1.83
43022,chck_90M,VminusR,ALL_TYPES,2,1217,3.698274445357437
43022,chck_90M,VminusR,regular,2,405,3.6999999999999993
43022,chck_90M,VminusR,ambiref,2,413,4.120000000000001
43022,chck_90M,VminusR,move_contents,2,399,3.2600000000000016
43022,chck_90M,VminusR,ALL_TYPES,3,1240,7.820249999999999
43022,chck_90M,VminusR,regular,3,425,11.06
43022,chck_90M,VminusR,ambiref,3,409,6.349999999999998
43022,chck_90M,VminusR,move_contents,3,406,5.91
43022,chck_90M,VminusR,ALL_TYPES,4,1175,8.256663829787232
43022,chck_90M,VminusR,regular,4,388,10.560000000000002
43022,chck_90M,VminusR,ambiref,4,434,7.609999999999997
43022,chck_90M,VminusR,move_contents,4,353,6.52
43022,chck_90M,VminusR,ALL_TYPES,5,333,10.51156156156156
43022,chck_90M,VminusR,regular,5,94,10.64
43022,chck_90M,VminusR,ambiref,5,123,5.689999999999997
43022,chck_90M,VminusR,move_contents,5,116,15.52
43022,chck_90M,CminusR,ALL_TYPES,0,1541,-9.60711875405581
43022,chck_90M,CminusR,regular,0,517,-12.57
43022,chck_90M,CminusR,ambiref,0,508,-4.730000000000004
43022,chck_90M,CminusR,move_contents,0,516,-11.439999999999998
43022,chck_90M,CminusR,ALL_TYPES,1,1274,1.2545447409733124
43022,chck_90M,CminusR,regular,1,409,1.2200000000000006
43022,chck_90M,CminusR,ambiref,1,428,0.6999999999999993
43022,chck_90M,CminusR,move_contents,1,437,1.83
43022,chck_90M,CminusR,ALL_TYPES,2,1217,0.6603122432210354
43022,chck_90M,CminusR,regular,2,405,0.0
43022,chck_90M,CminusR,ambiref,2,413,0.969999999999999
43022,chck_90M,CminusR,move_contents,2,399,1.0100000000000016
43022,chck_90M,CminusR,ALL_TYPES,3,1240,4.594612903225806
43022,chck_90M,CminusR,regular,3,425,7.290000000000001
43022,chck_90M,CminusR,ambiref,3,409,2.9299999999999997
43022,chck_90M,CminusR,move_contents,3,406,3.4499999999999997
43022,chck_90M,CminusR,ALL_TYPES,4,1175,0.762663829787234
43022,chck_90M,CminusR,regular,4,388,3.6000000000000014
43022,chck_90M,CminusR,ambiref,4,434,-0.6900000000000013
43022,chck_90M,CminusR,move_contents,4,353,-0.5700000000000003
43022,chck_90M,CminusR,ALL_TYPES,5,333,4.804054054054054
43022,chck_90M,CminusR,regular,5,94,4.260000000000002
43022,chck_90M,CminusR,ambiref,5,123,0.8099999999999987
43022,chck_90M,CminusR,move_contents,5,116,9.48
43022,chck_100M,VminusC,ALL_TYPES,0,1541,-0.9752498377676846
43022,chck_100M,VminusC,regular,0,517,-2.8999999999999986
43022,chck_100M,VminusC,ambiref,0,508,-0.20000000000000284
43022,chck_100M,VminusC,move_contents,0,516,0.18999999999999773
43022,chck_100M,VminusC,ALL_TYPES,1,1274,0.7064599686028261
43022,chck_100M,VminusC,regular,1,409,2.1999999999999993
43022,chck_100M,VminusC,ambiref,1,428,0.46000000000000085
43022,chck_100M,VminusC,move_contents,1,437,-0.4499999999999993
43022,chck_100M,VminusC,ALL_TYPES,2,1217,2.9553081347576002
43022,chck_100M,VminusC,regular,2,405,3.2099999999999973
43022,chck_100M,VminusC,ambiref,2,413,3.870000000000001
43022,chck_100M,VminusC,move_contents,2,399,1.75
43022,chck_100M,VminusC,ALL_TYPES,3,1240,2.334500000000001
43022,chck_100M,VminusC,regular,3,425,2.8200000000000007
