seed,checkpoint,contrast,uid,entity_type,numops,n_items,score_a,score_b,delta
43022,chck_80M,VminusC,ambiref_0_ops,ambiref,0,508,28.94,28.94,0.0
43022,chck_80M,VminusC,ambiref_1_ops,ambiref,1,428,15.19,16.12,-0.9300000000000015
43022,chck_80M,VminusC,ambiref_2_ops,ambiref,2,413,25.18,17.92,7.259999999999998
43022,chck_80M,VminusC,ambiref_3_ops,ambiref,3,409,27.38,24.94,2.4399999999999977
43022,chck_80M,VminusC,ambiref_4_ops,ambiref,4,434,37.33,26.96,10.369999999999997
43022,chck_80M,VminusC,ambiref_5_ops,ambiref,5,123,30.89,21.95,8.940000000000001
43022,chck_80M,VminusC,move_contents_0_ops,move_contents,0,516,45.93,46.51,-0.5799999999999983
43022,chck_80M,VminusC,move_contents_1_ops,move_contents,1,437,15.1,16.7,-1.5999999999999996
43022,chck_80M,VminusC,move_contents_2_ops,move_contents,2,399,20.8,18.55,2.25
43022,chck_80M,VminusC,move_contents_3_ops,move_contents,3,406,25.37,21.67,3.6999999999999993
43022,chck_80M,VminusC,move_contents_4_ops,move_contents,4,353,28.05,22.1,5.949999999999999
43022,chck_80M,VminusC,move_contents_5_ops,move_contents,5,116,37.93,30.17,7.759999999999998
43022,chck_80M,VminusC,regular_0_ops,regular,0,517,40.81,42.94,-2.1299999999999955
43022,chck_80M,VminusC,regular_1_ops,regular,1,409,13.69,12.22,1.4699999999999989
43022,chck_80M,VminusC,regular_2_ops,regular,2,405,21.98,17.78,4.199999999999999
43022,chck_80M,VminusC,regular_3_ops,regular,3,425,26.59,23.53,3.0599999999999987
43022,chck_80M,VminusC,regular_4_ops,regular,4,388,31.7,22.68,9.02
43022,chck_80M,VminusC,regular_5_ops,regular,5,94,30.85,21.28,9.57
43022,chck_80M,VminusR,ambiref_0_ops,ambiref,0,508,28.94,34.45,-5.510000000000002
43022,chck_80M,VminusR,ambiref_1_ops,ambiref,1,428,15.19,15.65,-0.46000000000000085
43022,chck_80M,VminusR,ambiref_2_ops,ambiref,2,413,25.18,19.85,5.329999999999998
43022,chck_80M,VminusR,ambiref_3_ops,ambiref,3,409,27.38,19.32,8.059999999999999
43022,chck_80M,VminusR,ambiref_4_ops,ambiref,4,434,37.33,26.96,10.369999999999997
43022,chck_80M,VminusR,ambiref_5_ops,ambiref,5,123,30.89,24.39,6.5
43022,chck_80M,VminusR,move_contents_0_ops,move_contents,0,516,45.93,54.65,-8.719999999999999
43022,chck_80M,VminusR,move_contents_1_ops,move_contents,1,437,15.1,13.04,2.0600000000000005
43022,chck_80M,VminusR,move_contents_2_ops,move_contents,2,399,20.8,17.04,3.7600000000000016
43022,chck_80M,VminusR,move_contents_3_ops,move_contents,3,406,25.37,16.75,8.620000000000001
43022,chck_80M,VminusR,move_contents_4_ops,move_contents,4,353,28.05,21.81,6.240000000000002
43022,chck_80M,VminusR,move_contents_5_ops,move_contents,5,116,37.93,22.41,15.52
43022,chck_80M,VminusR,regular_0_ops,regular,0,517,40.81,53.58,-12.769999999999996
43022,chck_80M,VminusR,regular_1_ops,regular,1,409,13.69,9.54,4.15
43022,chck_80M,VminusR,regular_2_ops,regular,2,405,21.98,18.27,3.710000000000001
43022,chck_80M,VminusR,regular_3_ops,regular,3,425,26.59,16.94,9.649999999999999
43022,chck_80M,VminusR,regular_4_ops,regular,4,388,31.7,16.75,14.95
43022,chck_80M,VminusR,regular_5_ops,regular,5,94,30.85,21.28,9.57
43022,chck_80M,CminusR,ambiref_0_ops,ambiref,0,508,28.94,34.45,-5.510000000000002
43022,chck_80M,CminusR,ambiref_1_ops,ambiref,1,428,16.12,15.65,0.47000000000000064
43022,chck_80M,CminusR,ambiref_2_ops,ambiref,2,413,17.92,19.85,-1.9299999999999997
43022,chck_80M,CminusR,ambiref_3_ops,ambiref,3,409,24.94,19.32,5.620000000000001
43022,chck_80M,CminusR,ambiref_4_ops,ambiref,4,434,26.96,26.96,0.0
43022,chck_80M,CminusR,ambiref_5_ops,ambiref,5,123,21.95,24.39,-2.4400000000000013
43022,chck_80M,CminusR,move_contents_0_ops,move_contents,0,516,46.51,54.65,-8.14
43022,chck_80M,CminusR,move_contents_1_ops,move_contents,1,437,16.7,13.04,3.66
43022,chck_80M,CminusR,move_contents_2_ops,move_contents,2,399,18.55,17.04,1.5100000000000016
43022,chck_80M,CminusR,move_contents_3_ops,move_contents,3,406,21.67,16.75,4.920000000000002
43022,chck_80M,CminusR,move_contents_4_ops,move_contents,4,353,22.1,21.81,0.2900000000000027
43022,chck_80M,CminusR,move_contents_5_ops,move_contents,5,116,30.17,22.41,7.760000000000002
