seed,contrast,group,numops,n_items_per_checkpoint,late_mean_delta,late_sd_delta
43022,VminusC,ALL_TYPES,0,1541,-0.9091953277092792,0.05378028406655434
43022,VminusC,ALL_TYPES,1,1274,0.3668184196755624,0.5355997816047233
43022,VminusC,ALL_TYPES,2,1217,3.530797041906327,0.7561722223965894
43022,VminusC,ALL_TYPES,3,1240,2.875061827956989,0.38781653807104444
43022,VminusC,ALL_TYPES,4,1175,8.00247659574468,0.45405657316819203
43022,VminusC,ALL_TYPES,5,333,7.0067267267267255,1.256827774874241
43022,VminusC,regular,0,517,-2.7099999999999986,0.41817061908588055
43022,VminusC,regular,1,409,2.0366666666666657,0.4124991582482997
43022,VminusC,regular,2,405,3.703333333333332,0.4041726803676322
43022,VminusC,regular,3,425,3.2166666666666663,0.40334710720282685
43022,VminusC,regular,4,388,7.646666666666667,0.9710933128295247
43022,VminusC,regular,5,94,7.796666666666666,1.3265075281438188
43022,VminusC,ambiref,0,508,0.0,0.16329931618554752
43022,VminusC,ambiref,1,428,-0.15666666666666687,0.5781772123569814
43022,VminusC,ambiref,2,413,4.760000000000001,1.7920379460268117
43022,VminusC,ambiref,3,409,2.7666666666666657,0.4619764303752104
43022,VminusC,ambiref,4,434,9.219999999999997,0.8605811989580069
43022,VminusC,ambiref,5,123,6.233333333333333,1.9139023544115896
43022,VminusC,move_contents,0,516,0.0,0.41817061908587727
43022,VminusC,move_contents,1,437,-0.683333333333333,0.6737127643802578
43022,VminusC,move_contents,2,399,2.0833333333333335,0.23570226039551584
43022,VminusC,move_contents,3,406,2.626666666666668,0.8168775237995517
43022,VminusC,move_contents,4,353,6.896666666666667,0.7073581522507226
43022,VminusC,move_contents,5,116,7.186666666666665,0.810815775760574
43022,VminusR,ALL_TYPES,0,1541,-9.691968418775685,0.5870759474743906
43022,VminusR,ALL_TYPES,1,1274,1.9351308215593932,0.0726512988245147
43022,VminusR,ALL_TYPES,2,1217,3.86368118323747,0.2935617434516558
43022,VminusR,ALL_TYPES,3,1240,8.062720430107525,0.522394217058854
43022,VminusR,ALL_TYPES,4,1175,9.39257588652482,0.9769336629195381
