contrast,group,numops,cross_seed_mean_delta,cross_seed_spread,seed43022_delta,seed43122_delta
VminusC,ALL_TYPES,0,-0.4859398658879515,0.8465109236426555,-0.9091953277092792,-0.06268440406662375
VminusC,ALL_TYPES,1,-0.1825798011512298,1.0987964416535845,0.3668184196755624,-0.731978021978022
VminusC,ALL_TYPES,2,2.216794029033142,2.6280060257463704,3.530797041906327,0.9027910161599566
VminusC,ALL_TYPES,3,3.2516612903225806,0.7531989247311839,2.875061827956989,3.6282607526881727
VminusC,ALL_TYPES,4,7.829817021276595,0.3453191489361691,8.00247659574468,7.657157446808511
VminusC,ALL_TYPES,5,6.656236236236236,0.7009809809809795,7.0067267267267255,6.305745745745746
VminusC,regular,0,-1.0,3.4199999999999973,-2.7099999999999986,0.7099999999999985
VminusC,regular,1,1.8733333333333326,0.326666666666666,2.0366666666666657,1.7099999999999997
VminusC,regular,2,1.7699999999999996,3.8666666666666645,3.703333333333332,-0.1633333333333328
VminusC,regular,3,5.373333333333333,4.313333333333334,3.2166666666666663,7.53
VminusC,regular,4,5.368333333333334,4.556666666666667,7.646666666666667,3.090000000000001
VminusC,regular,5,6.203333333333333,3.1866666666666656,7.796666666666666,4.61
VminusC,ambiref,0,0.491666666666666,0.983333333333332,0.0,0.983333333333332
VminusC,ambiref,1,-0.7000000000000005,1.0866666666666671,-0.15666666666666687,-1.243333333333334
VminusC,ambiref,2,3.2266666666666675,3.0666666666666664,4.760000000000001,1.693333333333334
VminusC,ambiref,3,2.4433333333333342,0.6466666666666634,2.7666666666666657,2.1200000000000023
VminusC,ambiref,4,9.101666666666667,0.2366666666666628,9.219999999999997,8.983333333333334
VminusC,ambiref,5,6.233333333333333,0.0,6.233333333333333,6.233333333333333
VminusC,move_contents,0,-0.9333333333333323,1.8666666666666647,0.0,-1.8666666666666647
VminusC,move_contents,1,-1.5999999999999994,1.8333333333333326,-0.683333333333333,-2.5166666666666657
VminusC,move_contents,2,1.625,0.9166666666666667,2.0833333333333335,1.1666666666666667
VminusC,move_contents,3,1.8450000000000002,1.5633333333333352,2.626666666666668,1.0633333333333326
VminusC,move_contents,4,8.971666666666666,4.149999999999998,6.896666666666667,11.046666666666665
VminusC,move_contents,5,7.471666666666667,0.5700000000000038,7.186666666666665,7.756666666666669
VminusR,ALL_TYPES,0,-9.420534285096256,0.5428682673588572,-9.691968418775685,-9.149100151416828
VminusR,ALL_TYPES,1,2.1591679748822608,0.4480743066457349,1.9351308215593932,2.383205128205128
VminusR,ALL_TYPES,2,3.192712955354698,1.341936455765544,3.86368118323747,2.521744727471926
VminusR,ALL_TYPES,3,7.539326612903224,1.0467876344086013,8.062720430107525,7.015932795698924
VminusR,ALL_TYPES,4,8.738598581560282,1.3079546099290749,9.39257588652482,8.084621276595746
VminusR,ALL_TYPES,5,7.406711711711711,6.206416416416416,10.50991991991992,4.303503503503504
VminusR,regular,0,-14.09,0.706666666666667,-14.443333333333333,-13.736666666666666
VminusR,regular,1,4.113333333333333,0.41333333333333266,3.9066666666666667,4.319999999999999
VminusR,regular,2,2.595,2.716666666666666,3.953333333333333,1.236666666666667
VminusR,regular,3,10.116666666666667,0.4733333333333327,10.353333333333333,9.88
VminusR,regular,4,11.168333333333333,2.576666666666666,12.456666666666667,9.88
VminusR,regular,5,6.205,7.443333333333335,9.926666666666668,2.483333333333333
VminusR,ambiref,0,-3.7733333333333343,1.513333333333334,-4.530000000000001,-3.016666666666667
VminusR,ambiref,1,-0.07666666666666679,0.6199999999999998,0.2333333333333331,-0.38666666666666666
VminusR,ambiref,2,3.633333333333333,1.7733333333333334,4.52,2.746666666666666
VminusR,ambiref,3,5.378333333333333,2.9233333333333325,6.839999999999999,3.9166666666666665
VminusR,ambiref,4,6.914999999999999,3.5366666666666617,8.68333333333333,5.146666666666668
VminusR,ambiref,5,4.874999999999999,1.629999999999999,5.689999999999999,4.06
VminusR,move_contents,0,-10.301666666666666,0.5766666666666715,-10.01333333333333,-10.590000000000002
VminusR,move_contents,1,2.5200000000000005,1.5266666666666666,1.756666666666667,3.2833333333333337
VminusR,move_contents,2,3.343333333333335,0.5,3.093333333333335,3.593333333333335
VminusR,move_contents,3,7.0183333333333335,0.2433333333333323,6.896666666666667,7.14
VminusR,move_contents,4,8.31,2.8266666666666653,6.896666666666667,9.723333333333333
VminusR,move_contents,5,11.065000000000001,10.056666666666665,16.093333333333334,6.036666666666668
CminusR,ALL_TYPES,0,-8.934594419208306,0.30364265628379883,-8.782773091066407,-9.086415747350205
CminusR,ALL_TYPES,1,2.3417477760334906,1.5468707482993196,1.5683124018838308,3.1151831501831504
CminusR,ALL_TYPES,2,0.975918926321556,1.2860695699808264,0.33288414133114275,1.6189537113119692
CminusR,ALL_TYPES,3,4.287665322580645,1.7999865591397848,5.187658602150537,3.3876720430107525
CminusR,ALL_TYPES,4,0.9087815602836884,0.9626354609929066,1.3900992907801417,0.427463829787235
CminusR,ALL_TYPES,5,0.7504754754754752,5.5054354354354365,3.5031931931931934,-2.002242242242243
CminusR,regular,0,-13.09,2.713333333333331,-11.733333333333334,-14.446666666666665
CminusR,regular,1,2.24,0.7399999999999989,1.870000000000001,2.61
CminusR,regular,2,0.8250000000000004,1.1499999999999986,0.25000000000000117,1.3999999999999997
CminusR,regular,3,4.743333333333334,4.786666666666667,7.136666666666668,2.35
CminusR,regular,4,5.800000000000001,1.9800000000000013,4.81,6.790000000000001
CminusR,regular,5,0.0016666666666669272,4.256666666666669,2.1300000000000012,-2.1266666666666674
CminusR,ambiref,0,-4.265,0.5300000000000025,-4.530000000000001,-3.9999999999999987
CminusR,ambiref,1,0.6233333333333336,0.4666666666666674,0.38999999999999996,0.8566666666666674
CminusR,ambiref,2,0.4066666666666658,1.293333333333333,-0.24000000000000077,1.0533333333333323
CminusR,ambiref,3,2.9349999999999987,2.276666666666669,4.073333333333333,1.7966666666666644
CminusR,ambiref,4,-2.1866666666666656,3.299999999999998,-0.5366666666666665,-3.8366666666666647
CminusR,ambiref,5,-1.3583333333333338,1.629999999999999,-0.5433333333333342,-2.1733333333333333
CminusR,move_contents,0,-9.368333333333332,1.2899999999999938,-10.01333333333333,-8.723333333333336
CminusR,move_contents,1,4.12,3.36,2.44,5.8
CminusR,move_contents,2,1.7183333333333348,1.4166666666666665,1.0100000000000016,2.426666666666668
CminusR,move_contents,3,5.173333333333334,1.8066666666666675,4.27,6.076666666666667
CminusR,move_contents,4,-0.6616666666666665,1.323333333333333,0.0,-1.323333333333333
CminusR,move_contents,5,3.5933333333333333,10.626666666666669,8.906666666666668,-1.7200000000000013
