label,vocab_size,raw_tokens_per_word,visible_tokens_per_word,visible_groups_per_word,over256_rows,truncated_tokens,observed_lt50_frac,mass_lt50_frac,source_concentrated_low_tail_mass_frac,raw_token_saving_vs_a01_legal16k,new_observed_mass_frac_vs_a01_legal16k,new_vocab_lt50_frac_observed_vs_a01_legal16k,extra_embedding_parameters_vs_a01_legal16k
a02_step35_16k,16384,1.4664519,1.4294893,0.9802194,15117,369626,0.08030850217298158,0.002057687674583803,0.0010763394285213173,4757,0.00032438840987556426,0.0,0
a01_legal16k,16384,1.4669276,1.4298779,0.9801725,15143,370497,0.07985983032091479,0.002030638730909419,0.0010714230204680857,0,0,0,0
a01_24k,24576,1.4280616,1.398853,0.9842041,13039,292086,0.3236477058195847,0.018335903717318636,0.0023357535837389646,388660,0.025260955129666675,0.6560658153241651,3932160
a01_32k,32768,1.4066266,1.381085,0.9861308,11991,255416,0.5313137557959815,0.03359441659925953,0.003403461871117751,603010,0.03754400777007914,0.8550061804697157,7864320
a01_40k,40000,1.3942644,1.3706162,0.9871336,11407,236482,0.6320956256358088,0.0413078753212088,0.004042418353362533,726632,0.04407901399476312,0.9072556293676128,11335680
a01_40k_minfreq25,29529,1.4138512,1.387134,0.9855127,12335,267172,0.4657529552852493,0.028641274272709887,0.0029933843108808054,530764,0.03345613739267612,0.8091538461538461,6309600
a01_40k_minfreq50,19609,1.44836,1.4152904,0.9822056,14096,330696,0.10033926184846303,0.003063464884421,0.001661948686790577,185676,0.012384490043911735,0.03146417445482866,1548000
