seed,arm,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_prefix_words,stale_pick_pct_among_wrong_stale_available_not_gold
43022,HM,chck_100M,ALL,6780,28.23008849557522,1.9960176991150442,7.359587020648967,120.59041297935103,35.659760087241004
43022,HM,chck_100M,rel0_total_ops_0,304,41.776315789473685,0.0,0.0,61.473684210526315,nan
43022,HM,chck_100M,rel0_total_ops_1,257,40.856031128404666,0.0,1.0,69.715953307393,nan
43022,HM,chck_100M,rel0_total_ops_10,36,30.555555555555557,0.0,10.0,143.72222222222223,nan
43022,HM,chck_100M,rel0_total_ops_11,32,34.375,0.0,11.0,148.96875,nan
43022,HM,chck_100M,rel0_total_ops_12,30,30.0,0.0,12.0,157.36666666666667,nan
43022,HM,chck_100M,rel0_total_ops_2,212,37.264150943396224,0.0,2.0,77.93867924528301,nan
43022,HM,chck_100M,rel0_total_ops_3,172,42.44186046511628,0.0,3.0,85.88372093023256,nan
43022,HM,chck_100M,rel0_total_ops_4,131,38.93129770992366,0.0,4.0,93.36641221374046,nan
43022,HM,chck_100M,rel0_total_ops_5,104,40.38461538461539,0.0,5.0,100.5673076923077,nan
43022,HM,chck_100M,rel0_total_ops_6,88,44.31818181818182,0.0,6.0,107.64772727272727,nan
43022,HM,chck_100M,rel0_total_ops_7,66,36.36363636363637,0.0,7.0,117.81818181818181,nan
43022,HM,chck_100M,rel0_total_ops_8,63,34.92063492063492,0.0,8.0,127.47619047619048,nan
43022,HM,chck_100M,rel0_total_ops_9,46,41.30434782608695,0.0,9.0,134.91304347826087,nan
43022,HM,chck_100M,rel_eq0,1541,39.71447112264763,0.0,3.388059701492537,88.73329007138221,nan
43022,HM,chck_100M,rel_ge1,5239,24.85207100591716,2.5831265508684864,8.527772475663294,129.96087039511357,35.659760087241004
43022,HM,chck_100M,rel_ge2,3916,27.65577119509704,3.1179775280898876,9.274770173646578,136.0349846782431,35.76158940397351
43022,HM,chck_100M,rel_ge3,2650,29.962264150943398,3.6520754716981134,9.80188679245283,140.93735849056603,35.40856031128405
43022,HM,chck_100M,rel_ge4,1420,32.25352112676056,4.216901408450704,10.112676056338028,143.64225352112675,33.910034602076124
43022,HM,chck_100M,rel_updates_0,1541,39.71447112264763,0.0,3.388059701492537,88.73329007138221,nan
43022,HM,chck_100M,rel_updates_1,1323,16.55328798185941,1.0,6.316704459561603,111.98185941043084,27.272727272727273
43022,HM,chck_100M,rel_updates_2,1266,22.82780410742496,2.0,8.171406003159557,125.77330173775671,36.224489795918366
43022,HM,chck_100M,rel_updates_3,1230,27.317073170731707,3.0,9.44308943089431,137.81463414634146,37.333333333333336
43022,HM,chck_100M,rel_updates_4,1112,32.28417266187051,4.0,10.02158273381295,142.931654676259,37.82608695652174
43022,HM,chck_100M,rel_updates_5,308,32.142857142857146,5.0,10.441558441558442,146.2077922077922,18.64406779661017
43022,HM,chck_100M,total_ops_0,304,41.776315789473685,0.0,0.0,61.473684210526315,nan
43022,HM,chck_100M,total_ops_1,331,35.95166163141994,0.22356495468277945,1.0,69.66465256797584,nan
43022,HM,chck_100M,total_ops_10,733,27.285129604365622,2.8076398362892223,10.0,141.51841746248294,35.294117647058826
43022,HM,chck_100M,total_ops_11,828,25.603864734299517,2.9504830917874396,11.0,149.18961352657004,35.714285714285715
43022,HM,chck_100M,total_ops_12,919,27.421109902067464,3.115342763873776,12.0,158.37431991294886,35.40372670807454
43022,HM,chck_100M,total_ops_2,339,29.793510324483776,0.4424778761061947,2.0,77.53687315634218,50.0
43022,HM,chck_100M,total_ops_3,358,32.402234636871505,0.723463687150838,3.0,85.74022346368714,58.333333333333336
43022,HM,chck_100M,total_ops_4,369,27.913279132791327,1.005420054200542,4.0,93.0,38.095238095238095
43022,HM,chck_100M,total_ops_5,393,27.2264631043257,1.3231552162849873,5.0,101.42493638676845,37.142857142857146
43022,HM,chck_100M,total_ops_6,446,26.681614349775785,1.6591928251121075,6.0,109.03363228699551,36.53846153846154
43022,HM,chck_100M,total_ops_7,508,24.80314960629921,2.045275590551181,7.0,117.93897637795276,32.58426966292135
43022,HM,chck_100M,total_ops_8,592,27.027027027027028,2.285472972972973,8.0,126.08952702702703,34.0
43022,HM,chck_100M,total_ops_9,660,26.060606060606062,2.5196969696969695,9.0,134.4,36.0
43022,HM,chck_80M,ALL,6780,27.831858407079647,1.9960176991150442,7.359587020648967,120.59041297935103,37.33766233766234
43022,HM,chck_80M,rel0_total_ops_0,304,40.78947368421053,0.0,0.0,61.473684210526315,nan
43022,HM,chck_80M,rel0_total_ops_1,257,42.023346303501945,0.0,1.0,69.715953307393,nan
43022,HM,chck_80M,rel0_total_ops_10,36,25.0,0.0,10.0,143.72222222222223,nan
