arm,dose,rho,dose_name,data_arm,checkpoint,words,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,EWoK_plus_Entity_sum,source_type,per_target
roberta_clean,,,,clean,chck_10M,10000000,54.25,49.71,50.7,17.19,50.26,6.984999999999999,38.1825,44.422000000000004,67.89,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_clean_chck_10M.json
roberta_clean,,,,clean,chck_20M,20000000,54.89,51.93,49.72,17.97,49.86,7.12,38.58166666666667,44.874,67.69,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_clean_chck_20M.json
roberta_view,,,,view,chck_10M,10000000,53.93,49.85,49.55,16.68,49.75,7.484999999999999,37.87416666666667,43.952,66.22999999999999,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_10M.json
roberta_view,,,,view,chck_20M,20000000,54.9,53.6,50.3,16.27,50.16,7.5649999999999995,38.799166666666665,45.046,66.57,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_20M.json
roberta_view,,,,view,chck_30M,30000000,55.61,51.59,48.87,17.29,50.66,8.01,38.67166666666667,44.803999999999995,66.16,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_30M.json
roberta_view,,,,view,chck_40M,40000000,56.4,51.89,51.33,16.62,51.14,7.47,39.141666666666666,45.476,67.95,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_40M.json
roberta_view,,,,view,chck_50M,50000000,56.85,50.98,51.39,17.02,51.27,7.5,39.16833333333333,45.501999999999995,68.41,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_50M.json
roberta_view,,,,view,chck_60M,60000000,57.08,52.12,51.01,19.86,51.97,7.565,39.93416666666666,46.408,70.87,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_60M.json
roberta_view,,,,view,chck_70M,70000000,56.87,51.7,50.0,18.82,51.44,6.73,39.26,45.766,68.82,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_70M.json
roberta_view,,,,view,chck_80M,80000000,55.03,53.47,51.37,19.38,51.62,7.465,39.7225,46.174,70.75,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_80M.json
roberta_view,,,,view,chck_90M,90000000,54.55,52.38,51.04,19.25,51.59,7.445,39.37583333333333,45.762,70.28999999999999,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_90M.json
roberta_view,,,,view,chck_100M,100000000,54.41,52.25,51.52,19.36,51.71,7.52,39.461666666666666,45.85,70.88,roberta_json,experiments/archive/frontier_consolidation/data/roberta_viewclean_total_stable_eval/eval/per_target/roberta_viewclean_total_view_chck_100M.json
