endpoint,word,child_aoa,model_aoa_word_count,model_aoa_log10_word_count,n_subword_tokens,n_model_points,n_child_points,first_word_count,last_word_count,threshold,best_perf,ceiling
clean_pres_seed62065,ankle,-2.46180297130791,21762422.575176176,7.337707239025626,2,18,16,1000000.0,89685369.0,-16.518800569730967,-13.629480083783468,-19.408121055678468
clean_pres_seed62065,arm,-1.5192091314497425,5320183.09105752,6.7259265785483775,1,18,16,1000000.0,89685369.0,-8.892760287303712,-8.08146004676819,-9.704060527839234
clean_pres_seed62065,asleep,-1.46091278772187,17606462.227928434,7.245672099338026,1,18,16,1000000.0,89685369.0,-7.016507774805376,-4.328955021771518,-9.704060527839234
clean_pres_seed62065,aunt,-1.4287787552296292,8373024.168565598,6.922882344792376,1,18,16,1000000.0,89685369.0,-8.806906353015686,-7.9097521781921385,-9.704060527839234
clean_pres_seed62065,baby,-1.440473709865766,15298756.558037966,7.1846561339595745,1,18,16,1000000.0,89685369.0,-8.31638415351906,-6.928707779198885,-9.704060527839234
clean_pres_seed62065,bad,-1.276928269655372,5455344.586959849,6.7368221880112,1,18,16,1000000.0,89685369.0,-8.025821055550361,-6.34758158326149,-9.704060527839234
clean_pres_seed62065,ball,-0.7603570844515516,9022611.094965667,6.955332238211015,1,18,16,1000000.0,89685369.0,-8.13108959056833,-6.5581186532974245,-9.704060527839234
clean_pres_seed62065,bath,-0.5281629323024715,14532183.32314387,7.1623308678397,1,18,16,1000000.0,89685369.0,-9.005722509403014,-8.307384490966797,-9.704060527839234
clean_pres_seed62065,bathroom,-0.5190702223656797,44657342.78721688,7.649892878001396,1,18,16,1000000.0,89685369.0,-8.474986835601042,-7.24591314336285,-9.704060527839234
clean_pres_seed62065,beach,-1.050828904789142,19276811.458590902,7.285035199667499,1,18,16,1000000.0,89685369.0,-8.25081725631305,-6.797573984786868,-9.704060527839234
clean_pres_seed62065,beads,-1.5543126150183681,33155540.962260075,7.52055611820815,1,18,16,1000000.0,89685369.0,-8.783198963726004,-7.862337399612773,-9.704060527839234
clean_pres_seed62065,bed,-0.3976256109868187,8576852.104913358,6.933327921378362,1,18,16,1000000.0,89685369.0,-8.438257281560684,-7.172454035282135,-9.704060527839234
clean_pres_seed62065,bedroom,0.16326872498446734,11076755.406838788,7.044412565874068,1,18,16,1000000.0,89685369.0,-9.087005251724506,-8.46994997560978,-9.704060527839234
clean_pres_seed62065,better,-0.6520994464877465,5002379.110069986,6.69917660206309,1,18,16,1000000.0,89685369.0,-7.79760219015577,-5.891143852472306,-9.704060527839234
clean_pres_seed62065,bib,-0.3431513364892942,29416299.04732558,7.4685880319391025,1,18,16,1000000.0,89685369.0,-8.94666845259963,-8.189276377360025,-9.704060527839234
clean_pres_seed62065,big,-0.23761259787432465,5023580.432261125,6.70101336011551,1,18,16,1000000.0,89685369.0,-8.025039194602753,-6.346017861366272,-9.704060527839234
clean_pres_seed62065,bird,0.1068888731377661,24324178.578606397,7.386038183172579,1,18,16,1000000.0,89685369.0,-8.462546136681224,-7.221031745523215,-9.704060527839234
clean_pres_seed62065,black,0.15509388795648218,5112083.204526379,6.7085979138069565,1,18,16,1000000.0,89685369.0,-8.125378866572166,-6.546697205305099,-9.704060527839234
clean_pres_seed62065,block,0.15344586141634403,11620953.775870949,7.065241773716874,1,18,16,1000000.0,89685369.0,-9.047846923846986,-8.391633319854737,-9.704060527839234
clean_pres_seed62065,blue,-0.03296138767741663,2031924.3962627829,6.307907544706013,1,18,16,1000000.0,89685369.0,-8.919359873313692,-8.134659218788148,-9.704060527839234
clean_pres_seed62065,boat,0.0700435381506591,3737661.4527394082,6.572599961605229,1,18,16,1000000.0,89685369.0,-8.959737901468063,-8.215415275096893,-9.704060527839234
clean_pres_seed62065,book,0.11773142873483701,9454185.535631757,6.975624120952976,1,18,16,1000000.0,89685369.0,-7.62339192804345,-5.542723328247666,-9.704060527839234
clean_pres_seed62065,boots,0.16409610762891896,57295477.820838384,7.758120345615575,1,18,16,1000000.0,89685369.0,-7.690147758353735,-5.676234988868236,-9.704060527839234
clean_pres_seed62065,bottom,0.17107605400433273,10180695.620299703,7.007777453220429,1,18,16,1000000.0,89685369.0,-7.62741487481096,-5.5507692217826845,-9.704060527839234
clean_pres_seed62065,bowl,0.11564246550890743,21475189.159735944,7.331936997912719,1,18,16,1000000.0,89685369.0,-8.015977750797058,-6.327894973754883,-9.704060527839234
clean_pres_seed62065,boy,0.08578804904733728,3040522.2119022147,6.482948180408229,1,18,16,1000000.0,89685369.0,-8.256870566386963,-6.809680604934693,-9.704060527839234
clean_pres_seed62065,bread,0.14134297991971426,12562621.070894629,7.099080260250581,1,18,16,1000000.0,89685369.0,-8.628953777332093,-7.553847026824951,-9.704060527839234
clean_pres_seed62065,break,0.17507234603178698,9788555.997701688,6.990718629649502,1,18,16,1000000.0,89685369.0,-8.421657304544235,-7.139254081249237,-9.704060527839234
clean_pres_seed62065,breakfast,0.21830133976092736,53154528.18611236,7.7255402675888405,1,18,16,1000000.0,89685369.0,-8.873982296962524,-8.043904066085815,-9.704060527839234
clean_pres_seed62065,bring,0.10271490410330142,20708530.728615914,7.316149286769335,1,18,16,1000000.0,89685369.0,-9.074098740596558,-8.444136953353881,-9.704060527839234
clean_pres_seed62065,brother,0.14351633998770078,7636679.265822047,6.882904550978571,1,18,16,1000000.0,89685369.0,-7.342261092443253,-4.980461657047272,-9.704060527839234
clean_pres_seed62065,bucket,0.1880633842014647,58309252.24854952,7.765737472111989,1,18,16,1000000.0,89685369.0,-9.072034053582932,-8.440007579326629,-9.704060527839234
clean_pres_seed62065,build,0.15340030682210373,6591821.768367502,6.819005456264767,1,18,16,1000000.0,89685369.0,-8.432037709731842,-7.160014891624451,-9.704060527839234
clean_pres_seed62065,bus,0.15092450044818279,10955704.303769443,7.0396403020618195,1,18,16,1000000.0,89685369.0,-8.895672260303284,-8.087283992767334,-9.704060527839234
clean_pres_seed62065,buttocks,0.07675961718903267,5511027.418175623,6.741232571710057,3,18,16,1000000.0,89685369.0,-26.69370182329114,-24.275222063064575,-29.112181583517703
clean_pres_seed62065,buy,0.18350043317364725,7123433.85954554,6.852689396270499,1,18,16,1000000.0,89685369.0,-8.215450857658173,-6.7268411874771115,-9.704060527839234
clean_pres_seed62065,cake,0.1453778093867211,26702273.336585015,7.4265482372262115,1,18,16,1000000.0,89685369.0,-8.590781860132005,-7.477503192424774,-9.704060527839234
clean_pres_seed62065,camera,0.07596402374217245,12512561.823547823,7.097346236306303,1,18,16,1000000.0,89685369.0,-9.015120114650811,-8.326179701462388,-9.704060527839234
clean_pres_seed62065,candy,0.1322280546287577,33994118.4973611,7.531403783951212,1,18,16,1000000.0,89685369.0,-8.746919903610134,-7.789779279381037,-9.704060527839234
clean_pres_seed62065,car,-0.21708346111225962,8877666.004242133,6.948298801959547,1,18,16,1000000.0,89685369.0,-8.427933047790313,-7.151805567741394,-9.704060527839234
clean_pres_seed62065,careful,-0.11013362703118121,8338902.234273936,6.921108882175301,1,18,16,1000000.0,89685369.0,-7.860285340328003,-6.016510152816773,-9.704060527839234
clean_pres_seed62065,carry,-0.21408481670494064,17364431.95050474,7.239660580632879,1,18,16,1000000.0,89685369.0,-8.674102531451965,-7.644144535064697,-9.704060527839234
clean_pres_seed62065,cat,0.14451042651369503,6363424.692215263,6.803690908829606,1,18,16,1000000.0,89685369.0,-8.922256581563737,-8.140452635288238,-9.704060527839234
clean_pres_seed62065,chair,-0.007379445394023183,37447575.66081637,7.573423706916383,1,18,16,1000000.0,89685369.0,-8.87932873227098,-8.054596936702728,-9.704060527839234
clean_pres_seed62065,child,-0.1833300889717592,5526710.354041988,6.74246670450624,1,18,16,1000000.0,89685369.0,-7.582453154105927,-5.46084578037262,-9.704060527839234
clean_pres_seed62065,chin,0.6354889871512641,60018291.45885938,7.778283628200617,1,18,16,1000000.0,89685369.0,-9.093194054145599,-8.482327580451965,-9.704060527839234
clean_pres_seed62065,church,0.5131568151339683,15068784.790807044,7.178078230421692,1,18,16,1000000.0,89685369.0,-8.588190232295776,-7.472319936752319,-9.704060527839234
clean_pres_seed62065,climb,0.7046882360267658,10846268.201404065,7.035280339261312,1,18,16,1000000.0,89685369.0,-9.22329680778482,-8.742533087730408,-9.704060527839234
clean_pres_seed62065,clock,0.937637544354169,17841611.251572587,7.251434072353383,1,18,16,1000000.0,89685369.0,-8.319959258273478,-6.935857988707721,-9.704060527839234
clean_pres_seed62065,close,0.36327853970840807,16986032.327525098,7.230091946291335,1,18,16,1000000.0,89685369.0,-8.888253019828582,-8.072445511817932,-9.704060527839234
clean_pres_seed62065,closet,0.24943415750718786,1707373.2271053123,6.2323284670753525,1,18,16,1000000.0,89685369.0,-9.585403762836243,-9.466746997833251,-9.704060527839234
clean_pres_seed62065,coat,0.1504508678576387,11490682.028387535,7.0603458069628315,1,18,16,1000000.0,89685369.0,-8.694562301118161,-7.685064074397087,-9.704060527839234
clean_pres_seed62065,coffee,0.19053538756044192,11846545.24716834,7.073591717532258,1,18,16,1000000.0,89685369.0,-8.52563161112764,-7.347202694416046,-9.704060527839234
clean_pres_seed62065,coke,0.17312661206299954,9490189.249473397,6.977274873036618,2,18,16,1000000.0,89685369.0,-16.331376525916625,-13.254631996154785,-19.408121055678468
clean_pres_seed62065,cold,0.30508895460632524,10013590.610358026,7.000589831990307,1,18,16,1000000.0,89685369.0,-8.530001984615112,-7.355943441390991,-9.704060527839234
clean_pres_seed62065,comb,0.03843341719722422,10382526.965077324,7.016303067715369,1,18,16,1000000.0,89685369.0,-8.844760789743358,-7.98546105164748,-9.704060527839234
clean_pres_seed62065,corn,0.29083169934524405,10539514.526115904,7.02282060675084,1,18,16,1000000.0,89685369.0,-8.812873937268044,-7.921687346696854,-9.704060527839234
clean_pres_seed62065,couch,0.35856149369908935,10701019.054807682,7.0294251373867205,1,18,16,1000000.0,89685369.0,-8.382938240546967,-7.061815953254699,-9.704060527839234
clean_pres_seed62065,country,0.30367611140671963,4378849.220839388,6.6413599911649905,1,18,16,1000000.0,89685369.0,-7.7910285220334785,-5.877996516227722,-9.704060527839234
clean_pres_seed62065,cry,0.8691739382144146,11064260.650818756,7.043922398290599,1,18,16,1000000.0,89685369.0,-8.558760534305359,-7.413460540771484,-9.704060527839234
clean_pres_seed62065,cup,0.639611138373217,10264773.76734966,7.01134938208709,1,18,16,1000000.0,89685369.0,-7.7624399171064145,-5.820819306373596,-9.704060527839234
clean_pres_seed62065,cut,0.8355931556372999,10104970.929727769,7.004535068462211,1,18,16,1000000.0,89685369.0,-8.682265840549256,-7.6604711532592775,-9.704060527839234
clean_pres_seed62065,daddy,0.24058867744152654,34112830.918768205,7.532917761664334,1,18,16,1000000.0,89685369.0,-8.48431927619277,-7.264578024546306,-9.704060527839234
clean_pres_seed62065,dance,0.8841212355103386,9795384.342440244,6.991021481119549,1,18,16,1000000.0,89685369.0,-9.203490349728849,-8.702920171618462,-9.704060527839234
clean_pres_seed62065,day,1.6905023229677298,5732560.333393357,6.758348634238771,1,18,16,1000000.0,89685369.0,-7.289583150003339,-4.875105772167444,-9.704060527839234
clean_pres_seed62065,diaper,2.1602564708076346,81562752.46706744,7.911491873323473,1,18,16,1000000.0,89685369.0,-9.675369225520875,-9.646677923202514,-9.704060527839234
clean_pres_seed62065,dinner,2.9839560590275025,13691345.196688097,7.136446120361741,1,18,16,1000000.0,89685369.0,-8.445037017841125,-7.186013507843017,-9.704060527839234
