endpoint,surprisal_path,metadata_model_name,metadata_total_steps,metadata_completed_steps,raw_pearson_r_child_vs_model_log10_aoa,raw_pearson_p,fitted_word_count,leaderboard_stored_score,near_significant_harmful_negative,significant_negative_at_p_0p1,significant_positive_at_p_0p1
dense_seed62064,experiments/archive/functional_learning/data/batched_aoa_measured/full/dense_seed62064/full/AoA_word/surprisal.json,dense_seed62064,18,18,-0.02183675755547142,0.7160016684082368,280,0.0,False,False,False
dense_seed62065,experiments/archive/functional_learning/data/batched_aoa_measured/full/dense_seed62065/full/AoA_word/surprisal.json,dense_seed62065,18,18,-0.02247918253391358,0.707521029381848,281,0.0,False,False,False
clean_pres_seed62064,experiments/archive/functional_learning/data/batched_aoa_clean_eval_measured/clean_pres_lambda1_eval_seed62064/full/AoA_word/surprisal.json,clean_pres_lambda1_eval_seed62064,18,18,0.005713907110807659,0.9236249545263735,284,0.0,False,False,False
clean_pres_seed62065,experiments/archive/functional_learning/data/batched_aoa_measured/clean_pres_lambda1_eval_seed62065/full/AoA_word/surprisal.json,clean_pres_lambda1_eval_seed62065,18,18,-0.01734288602855127,0.770656087649339,285,0.0,False,False,False
densemask_sparselabel_seed62064,experiments/archive/functional_learning/data/batched_aoa_measured/densemask_sparselabel_seed62064/full/AoA_word/surprisal.json,densemask_sparselabel_seed62064,18,18,-0.022822861684114758,0.703258800279259,281,0.0,False,False,False
