endpoint_a,endpoint_b,overlap,n_a,n_b
dense_seed62064,dense_seed62064,280,280,280
dense_seed62064,dense_seed62065,280,280,281
dense_seed62064,clean_pres_seed62064,280,280,284
dense_seed62064,clean_pres_seed62065,280,280,285
dense_seed62064,densemask_sparselabel_seed62064,280,280,281
dense_seed62065,dense_seed62064,280,281,280
dense_seed62065,dense_seed62065,281,281,281
dense_seed62065,clean_pres_seed62064,280,281,284
dense_seed62065,clean_pres_seed62065,281,281,285
dense_seed62065,densemask_sparselabel_seed62064,281,281,281
clean_pres_seed62064,dense_seed62064,280,284,280
clean_pres_seed62064,dense_seed62065,280,284,281
clean_pres_seed62064,clean_pres_seed62064,284,284,284
clean_pres_seed62064,clean_pres_seed62065,283,284,285
clean_pres_seed62064,densemask_sparselabel_seed62064,280,284,281
clean_pres_seed62065,dense_seed62064,280,285,280
clean_pres_seed62065,dense_seed62065,281,285,281
clean_pres_seed62065,clean_pres_seed62064,283,285,284
clean_pres_seed62065,clean_pres_seed62065,285,285,285
clean_pres_seed62065,densemask_sparselabel_seed62064,281,285,281
densemask_sparselabel_seed62064,dense_seed62064,280,281,280
densemask_sparselabel_seed62064,dense_seed62065,281,281,281
densemask_sparselabel_seed62064,clean_pres_seed62064,280,281,284
densemask_sparselabel_seed62064,clean_pres_seed62065,281,281,285
densemask_sparselabel_seed62064,densemask_sparselabel_seed62064,281,281,281
