seed,group,n,r_minus_c_accuracy_delta,r_acc,c_acc
43022,rel_updates_0,1541,8.782176076141036,48.237075492104694,39.45489941596366
43022,rel_updates_1,1323,-1.3857394809775763,14.084152179390275,15.469891660367852
43022,rel_updates_2,1266,-0.18430753027909455,18.799368088467613,18.98367561874671
43022,rel_updates_3,1230,-5.826558265582655,17.804878048780488,23.631436314363143
43022,rel_updates_4,1112,-1.5887290167865693,23.711031175059954,25.299760191846524
43022,rel_updates_5,308,-2.0562770562770574,21.645021645021643,23.7012987012987
43022,rel_ge1,5239,-2.2205255455875808,18.58497168670866,20.80549723229624
43022,rel_ge3_weighted_from_rel_updates_3_5,2650,-3.61006289308176,20.729559748427675,24.339622641509433
43122,rel_updates_0,1541,9.085009733939003,48.38849232100368,39.30348258706468
43122,rel_updates_1,1323,-3.2249937011841765,14.109347442680777,17.334341143864954
43122,rel_updates_2,1266,-1.7904160084254872,18.14112690889942,19.931542917324908
43122,rel_updates_3,1230,-3.0894308943089435,18.428184281842817,21.51761517615176
43122,rel_updates_4,1112,-0.23980815347721793,23.860911270983213,24.100719424460433
43122,rel_updates_5,308,2.0562770562770574,27.705627705627705,25.649350649350648
43122,rel_ge1,5239,-1.902398676592225,18.966723929503086,20.86912260609531
43122,rel_ge3_weighted_from_rel_updates_3_5,2650,-1.2955974842767295,21.786163522012576,23.08176100628931
43222,rel_updates_0,1541,3.1148604802076605,39.56305429374865,36.44819381354099
43222,rel_updates_1,1323,-1.0078105316200556,15.747039556563365,16.75485008818342
43222,rel_updates_2,1266,-0.9741969457609265,19.931542917324908,20.905739863085834
43222,rel_updates_3,1230,-3.333333333333332,21.761517615176153,25.094850948509485
43222,rel_updates_4,1112,-5.635491606714631,25.569544364508392,31.205035971223023
43222,rel_updates_5,308,-5.086580086580085,24.891774891774894,29.97835497835498
43222,rel_ge1,5239,-2.7677037602595895,20.792772157536426,23.560475917796015
43222,rel_ge2,3916,-3.36227442969016,22.497446373850867,25.859720803541027
43222,rel_ge3,2650,-4.50314465408805,23.72327044025157,28.22641509433962
