subset,arm,dose,seed,checkpoint,n,mean_loss,se_loss,mean_masked
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_100M,904,3.0370450498519745,0.03292119407473254,33.317477876106196
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_80M,904,3.064053125910263,0.03290808893471024,33.317477876106196
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_90M,904,3.040404155224034,0.03287090637894183,33.317477876106196
heldout2647_inherited_aln_text_hit,base43122,base0,43122,chck_100M,904,3.023390783442069,0.03300313780283494,33.317477876106196
heldout2647_inherited_aln_text_hit,base43122,base0,43122,chck_80M,904,3.055829977797987,0.03290733854379473,33.317477876106196
heldout2647_inherited_aln_text_hit,base43122,base0,43122,chck_90M,904,3.0272241809726816,0.03301942376691965,33.317477876106196
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_100M,1743,2.462018762324572,0.026556302332820976,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_80M,1743,2.486555569985271,0.02662273098156796,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_90M,1743,2.465104430443722,0.02654521756309331,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_100M,1743,2.4445776897880642,0.02622059630163921,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_80M,1743,2.4719561257106277,0.02630271632864027,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,chck_90M,1743,2.44902890631197,0.02625125014226144,35.187033849684454
