subset,arm,dose,seed,checkpoints,n_min,mean_loss,mean_masked
heldout2647_inherited_aln_text_hit,base43022,base0,43022,"chck_100M,chck_80M,chck_90M",904,3.0471674436620906,33.317477876106196
heldout2647_inherited_aln_text_hit,base43122,base0,43122,"chck_100M,chck_80M,chck_90M",904,3.035481647404246,33.317477876106196
heldout2647_no_inherited_aln_text,base43022,base0,43022,"chck_100M,chck_80M,chck_90M",1743,2.4712262542511882,35.187033849684454
heldout2647_no_inherited_aln_text,base43122,base0,43122,"chck_100M,chck_80M,chck_90M",1743,2.4551875739368874,35.187033849684454
