label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p50,chck82,eval,ALL,6780,27.89085545722714,26.72566371681416,-1.165191740412979,32.655614638723804,35.78354707538317,3.127932436659364,31.544502617801047,35.602094240837694,4.057591623036647
binding_ep25_alpha0p50,chck82,eval,lastop_affects_query,1850,30.37837837837838,32.432432432432435,2.054054054054056,32.5945945945946,34.972972972972975,2.378378378378379,22.65193370165746,25.96685082872928,3.3149171270718227
binding_ep25_alpha0p50,chck82,eval,lastop_not_query,4930,26.95740365111562,24.5841784989858,-2.3732251521298195,32.73942093541203,36.896807720861176,4.157386785449148,32.73942093541203,36.896807720861176,4.157386785449148
binding_ep25_alpha0p50,chck82,eval,lastop_recency_gold,1850,30.37837837837838,32.432432432432435,2.054054054054056,32.5945945945946,34.972972972972975,2.378378378378379,22.65193370165746,25.96685082872928,3.3149171270718227
binding_ep25_alpha0p50,chck82,eval,lastop_recency_not_gold,1347,24.72160356347439,20.267260579064587,-4.454342984409802,32.73942093541203,36.896807720861176,4.157386785449148,32.73942093541203,36.896807720861176,4.157386785449148
binding_ep25_alpha0p50,chck82,eval,lastop_recency_not_gold_available,1528,24.541884816753928,21.20418848167539,-3.3376963350785367,34.29319371727749,38.93979057591623,4.646596858638738,31.544502617801047,35.602094240837694,4.057591623036647
binding_ep25_alpha0p50,chck82,eval,rel1_postrel_ops0,345,19.71014492753623,19.130434782608695,-0.5797101449275353,20.28985507246377,20.869565217391305,0.5797101449275353,8.695652173913043,26.08695652173913,17.391304347826086
binding_ep25_alpha0p50,chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,15.74642126789366,0.0,33.673469387755105,36.394557823129254,2.721088435374149,33.673469387755105,36.394557823129254,2.721088435374149
binding_ep25_alpha0p50,chck82,eval,rel1_stale_available_not_gold,16,31.25,50.0,18.75,57.142857142857146,57.142857142857146,0.0,16.666666666666668,16.666666666666668,0.0
binding_ep25_alpha0p50,chck82,eval,rel2_postrel_ops0,391,27.877237851662404,31.9693094629156,4.092071611253196,29.66751918158568,34.271099744245525,4.603580562659847,16.27906976744186,20.930232558139537,4.651162790697676
binding_ep25_alpha0p50,chck82,eval,rel2_postrel_ops_gt0,875,21.02857142857143,21.257142857142856,0.22857142857142776,38.56655290102389,41.6382252559727,3.0716723549488094,38.56655290102389,41.6382252559727,3.0716723549488094
binding_ep25_alpha0p50,chck82,eval,rel2_stale_available_not_gold,489,21.676891615541923,26.789366053169733,5.11247443762781,32.967032967032964,37.362637362637365,4.395604395604401,35.09933774834437,35.09933774834437,0.0
binding_ep25_alpha0p50,chck82,eval,rel3_postrel_ops0,469,32.6226012793177,33.26226012793177,0.6396588486140686,36.46055437100213,37.3134328358209,0.8528784648187653,26.865671641791046,28.35820895522388,1.492537313432834
binding_ep25_alpha0p50,chck82,eval,rel3_postrel_ops_gt0,761,24.83574244415243,23.52168199737188,-1.3140604467805517,37.1900826446281,42.56198347107438,5.371900826446279,37.1900826446281,42.56198347107438,5.371900826446279
binding_ep25_alpha0p50,chck82,eval,rel3_stale_available_not_gold,296,29.054054054054053,26.013513513513512,-3.0405405405405403,35.97560975609756,35.36585365853659,-0.6097560975609753,29.23076923076923,30.76923076923077,1.53846153846154
binding_ep25_alpha0p50,chck82,eval,rel4_postrel_ops0,501,34.3313373253493,38.12375249500998,3.7924151696606785,36.92614770459082,40.31936127744511,3.393213572854293,32.5,27.5,-5.0
binding_ep25_alpha0p50,chck82,eval,rel4_postrel_ops_gt0,611,30.114566284779052,29.78723404255319,-0.3273322422258609,35.526315789473685,36.18421052631579,0.6578947368421026,35.526315789473685,36.18421052631579,0.6578947368421026
binding_ep25_alpha0p50,chck82,eval,rel4_stale_available_not_gold,326,31.595092024539877,34.04907975460123,2.4539877300613533,34.23913043478261,38.04347826086956,3.8043478260869534,30.76923076923077,23.076923076923077,-7.692307692307693
binding_ep25_alpha0p50,chck82,eval,rel5_postrel_ops0,144,41.666666666666664,43.05555555555556,1.3888888888888928,42.361111111111114,44.44444444444444,2.0833333333333286,12.5,25.0,12.5
binding_ep25_alpha0p50,chck82,eval,rel5_postrel_ops_gt0,164,25.0,26.21951219512195,1.2195121951219505,24.444444444444443,37.77777777777778,13.333333333333336,24.444444444444443,37.77777777777778,13.333333333333336
binding_ep25_alpha0p50,chck82,eval,rel5_stale_available_not_gold,94,37.234042553191486,36.170212765957444,-1.0638297872340416,41.509433962264154,43.39622641509434,1.8867924528301856,21.428571428571427,28.571428571428573,7.142857142857146
binding_ep25_alpha0p50,chck82,eval,rel_eq0,1541,37.44321868916288,30.36988968202466,-7.0733290071382235,23.052959501557634,28.97196261682243,5.919003115264797,23.052959501557634,28.97196261682243,5.919003115264797
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_1,257,38.91050583657587,33.463035019455255,-5.447470817120617,12.307692307692308,15.384615384615385,3.0769230769230766,12.307692307692308,15.384615384615385,3.0769230769230766
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_10,36,25.0,16.666666666666668,-8.333333333333332,41.666666666666664,50.0,8.333333333333336,41.666666666666664,50.0,8.333333333333336
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_11,32,28.125,12.5,-15.625,30.0,40.0,10.0,30.0,40.0,10.0
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_12,30,23.333333333333332,10.0,-13.333333333333332,25.0,50.0,25.0,25.0,50.0,25.0
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_1to3,641,39.0015600624025,35.569422776911075,-3.4321372854914216,16.265060240963855,18.072289156626507,1.8072289156626518,16.265060240963855,18.072289156626507,1.8072289156626518
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_2,212,39.15094339622642,37.264150943396224,-1.8867924528301927,23.25581395348837,20.930232558139537,-2.3255813953488342,23.25581395348837,20.930232558139537,-2.3255813953488342
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_3,172,38.95348837209303,36.627906976744185,-2.3255813953488413,15.517241379310345,18.96551724137931,3.4482758620689644,15.517241379310345,18.96551724137931,3.4482758620689644
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_4,131,39.69465648854962,33.587786259541986,-6.106870229007633,23.68421052631579,26.31578947368421,2.6315789473684177,23.68421052631579,26.31578947368421,2.6315789473684177
binding_ep25_alpha0p50,chck82,eval,rel_eq0_irrelevant_ops_4to6,323,43.03405572755418,28.48297213622291,-14.551083591331274,27.63157894736842,32.89473684210526,5.263157894736839,27.63157894736842,32.89473684210526,5.263157894736839
