label,checkpoint,group,n,accuracy_pct,recency_available_n,recency_pick_pct_among_available,recency_not_gold_available_n,recency_not_gold_pick_pct,mean_relevant_updates,mean_total_ops,mean_ops_after_last_relevant,simulation_match_pct
binding_ep25_alpha0p50,eval,rel2_stale_available_not_gold,489,26.789366053169733,273,37.362637362637365,151,35.09933774834437,2.0,8.366053169734151,1.822085889570552,100.0
binding_ep25_alpha0p50,eval,rel3_postrel_ops0,469,33.26226012793177,469,37.3134328358209,67,28.35820895522388,3.0,8.867803837953092,0.0,100.0
binding_ep25_alpha0p50,eval,rel3_postrel_ops_gt0,761,23.52168199737188,242,42.56198347107438,242,42.56198347107438,3.0,9.797634691195794,2.38107752956636,100.0
binding_ep25_alpha0p50,eval,rel3_stale_available_not_gold,296,26.013513513513512,164,35.36585365853659,65,30.76923076923077,3.0,9.54054054054054,1.4256756756756757,100.0
binding_ep25_alpha0p50,eval,rel4_postrel_ops0,501,38.12375249500998,501,40.31936127744511,40,27.5,4.0,9.684630738522953,0.0,100.0
binding_ep25_alpha0p50,eval,rel4_postrel_ops_gt0,611,29.78723404255319,152,36.18421052631579,152,36.18421052631579,4.0,10.297872340425531,2.009819967266776,100.0
binding_ep25_alpha0p50,eval,rel4_stale_available_not_gold,326,34.04907975460123,184,38.04347826086956,39,23.076923076923077,4.0,10.13803680981595,0.9785276073619632,100.0
binding_ep25_alpha0p50,eval,rel5_postrel_ops0,144,43.05555555555556,144,44.44444444444444,8,25.0,5.0,10.083333333333334,0.0,100.0
binding_ep25_alpha0p50,eval,rel5_postrel_ops_gt0,164,26.21951219512195,45,37.77777777777778,45,37.77777777777778,5.0,10.75609756097561,1.7134146341463414,100.0
binding_ep25_alpha0p50,eval,rel5_stale_available_not_gold,94,36.170212765957444,53,43.39622641509434,14,28.571428571428573,5.0,10.106382978723405,1.053191489361702,100.0
binding_ep25_alpha0p50,eval,rel_eq0,1541,30.36988968202466,321,28.97196261682243,321,28.97196261682243,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_1,257,33.463035019455255,65,15.384615384615385,65,15.384615384615385,0.0,1.0,1.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_10,36,16.666666666666668,12,50.0,12,50.0,0.0,10.0,10.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_11,32,12.5,10,40.0,10,40.0,0.0,11.0,11.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_12,30,10.0,4,50.0,4,50.0,0.0,12.0,12.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_1to3,641,35.569422776911075,166,18.072289156626507,166,18.072289156626507,0.0,1.8673946957878316,1.8673946957878316,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_2,212,37.264150943396224,43,20.930232558139537,43,20.930232558139537,0.0,2.0,2.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_3,172,36.627906976744185,58,18.96551724137931,58,18.96551724137931,0.0,3.0,3.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_4,131,33.587786259541986,38,26.31578947368421,38,26.31578947368421,0.0,4.0,4.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_4to6,323,28.48297213622291,76,32.89473684210526,76,32.89473684210526,0.0,4.86687306501548,4.86687306501548,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_5,104,28.846153846153847,23,34.78260869565217,23,34.78260869565217,0.0,5.0,5.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_6,88,20.454545454545453,15,46.666666666666664,15,46.666666666666664,0.0,6.0,6.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_7,66,13.636363636363637,23,56.52173913043478,23,56.52173913043478,0.0,7.0,7.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_8,63,17.46031746031746,15,40.0,15,40.0,0.0,8.0,8.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_9,46,19.565217391304348,15,46.666666666666664,15,46.666666666666664,0.0,9.0,9.0,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_ge7,273,15.384615384615385,79,48.10126582278481,79,48.10126582278481,0.0,8.981684981684982,8.981684981684982,100.0
binding_ep25_alpha0p50,eval,rel_eq0_irrelevant_ops_gt0,1237,29.264349232012936,321,28.97196261682243,321,28.97196261682243,0.0,4.22069523039612,4.22069523039612,100.0
binding_ep25_alpha0p50,eval,rel_eq0_total_ops0,304,34.86842105263158,0,nan,0,nan,0.0,0.0,0.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1,5239,25.653750715785456,2876,36.543810848400554,1207,37.36536868268434,2.5831265508684864,8.527772475663294,1.7066234014124833,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops0,1850,32.432432432432435,1850,34.972972972972975,181,25.96685082872928,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_0,1850,32.432432432432435,1850,34.972972972972975,181,25.96685082872928,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_1,1200,29.083333333333332,369,32.79132791327913,369,32.79132791327913,2.7025,8.214166666666667,1.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_10,15,20.0,5,40.0,5,40.0,1.1333333333333333,11.466666666666667,10.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_11,6,0.0,4,100.0,4,100.0,1.0,12.0,11.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_2,817,23.500611995104038,255,39.6078431372549,255,39.6078431372549,2.5813953488372094,8.664626682986537,2.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_3,513,20.077972709551656,157,45.859872611464965,157,45.859872611464965,2.415204678362573,9.015594541910332,3.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_4,343,12.536443148688047,106,48.113207547169814,106,48.113207547169814,2.250728862973761,9.177842565597668,4.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_5,214,12.616822429906541,56,35.714285714285715,56,35.714285714285715,2.0186915887850465,9.686915887850468,5.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_6,143,13.286713286713287,32,50.0,32,50.0,1.8391608391608392,9.937062937062937,6.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_7,75,6.666666666666667,23,21.73913043478261,23,21.73913043478261,1.48,10.24,7.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_8,40,5.0,13,53.84615384615385,13,53.84615384615385,1.325,10.3,8.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_9,23,4.3478260869565215,6,83.33333333333333,6,83.33333333333333,1.3043478260869565,11.130434782608695,9.0,100.0
binding_ep25_alpha0p50,eval,rel_ge1_postrel_ops_gt0,3389,21.95337857775155,1026,39.37621832358674,1026,39.37621832358674,2.4417232221894363,8.817645323104161,2.638241369135438,100.0
binding_ep25_alpha0p50,eval,rel_ge3,2650,30.67924528301887,1553,39.66516419832582,554,37.36462093862816,3.6520754716981134,9.80188679245283,1.2532075471698114,100.0
binding_ep25_alpha0p50,eval,rel_ge3_postrel_ops0,1114,36.71454219030521,1114,39.587073608617594,115,27.82608695652174,3.708258527827648,9.392280071813286,0.0,100.0
binding_ep25_alpha0p50,eval,rel_ge3_postrel_ops_gt0,1536,26.302083333333332,439,39.863325740318906,439,39.863325740318906,3.611328125,10.098958333333334,2.162109375,100.0
binding_ep25_alpha0p50,eval,rel_updates_0,1541,30.36988968202466,321,28.97196261682243,321,28.97196261682243,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p50,eval,rel_updates_1,1323,16.628873771730916,639,28.012519561815335,317,35.646687697160885,1.0,6.316704459561603,2.4807256235827664,100.0
binding_ep25_alpha0p50,eval,rel_updates_2,1266,24.565560821484993,684,37.42690058479532,336,38.98809523809524,2.0,8.171406003159557,1.8467614533965244,100.0
binding_ep25_alpha0p50,eval,rel_updates_3,1230,27.235772357723576,711,39.09985935302391,309,39.48220064724919,3.0,9.44308943089431,1.473170731707317,100.0
binding_ep25_alpha0p50,eval,rel_updates_4,1112,33.5431654676259,653,39.356814701378255,192,34.375,4.0,10.02158273381295,1.10431654676259,100.0
binding_ep25_alpha0p50,eval,rel_updates_5,308,34.09090909090909,189,42.857142857142854,53,35.84905660377358,5.0,10.441558441558442,0.9123376623376623,100.0
binding_ep25_alpha0p50,eval,reported_numops_0,1541,30.36988968202466,321,28.97196261682243,321,28.97196261682243,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p50,eval,reported_numops_1,1274,15.620094191522764,614,27.19869706840391,301,36.54485049833887,1.0,6.229199372056515,2.502354788069074,100.0
binding_ep25_alpha0p50,eval,reported_numops_2,1217,23.99342645850452,654,37.308868501529055,332,38.855421686746986,1.9597370583401807,8.054231717337716,1.8742810188989318,100.0
binding_ep25_alpha0p50,eval,reported_numops_3,1240,28.06451612903226,714,39.075630252100844,313,38.977635782747605,2.9290322580645163,9.390322580645162,1.5153225806451613,100.0
binding_ep25_alpha0p50,eval,reported_numops_4,1175,33.1063829787234,688,39.68023255813954,206,33.980582524271846,3.9191489361702128,10.04595744680851,1.1046808510638297,100.0
binding_ep25_alpha0p50,eval,reported_numops_5,333,34.83483483483484,206,42.71844660194175,55,36.36363636363637,4.915915915915916,10.483483483483484,0.8858858858858859,100.0
binding_ep25_alpha0p50,eval,stale_available_not_gold,1221,29.565929565929565,681,37.73861967694567,275,31.636363636363637,2.994266994266994,9.25962325962326,1.4471744471744472,100.0
binding_ep25_alpha0p50,eval,total_ops_0,304,34.86842105263158,0,nan,0,nan,0.0,0.0,0.0,100.0
binding_ep25_alpha0p50,eval,total_ops_1,331,29.003021148036254,139,14.388489208633093,68,14.705882352941176,0.22356495468277945,1.0,0.7764350453172205,100.0
binding_ep25_alpha0p50,eval,total_ops_10,733,25.920873124147338,372,42.204301075268816,165,43.63636363636363,2.8076398362892223,10.0,2.2742155525238745,100.0
binding_ep25_alpha0p50,eval,total_ops_11,828,26.207729468599034,442,39.81900452488688,212,37.735849056603776,2.9504830917874396,11.0,2.3659420289855073,100.0
binding_ep25_alpha0p50,eval,total_ops_12,919,26.550598476605007,444,41.21621621621622,204,41.666666666666664,3.115342763873776,12.0,2.4689880304678997,100.0
binding_ep25_alpha0p50,eval,total_ops_2,339,29.793510324483776,131,19.083969465648856,66,19.696969696969695,0.4424778761061947,2.0,1.4188790560471976,100.0
binding_ep25_alpha0p50,eval,total_ops_3,358,29.608938547486034,180,24.444444444444443,97,20.61855670103093,0.723463687150838,3.0,1.8044692737430168,100.0
binding_ep25_alpha0p50,eval,total_ops_4,369,27.642276422764226,171,27.485380116959064,87,27.586206896551722,1.005420054200542,4.0,2.105691056910569,100.0
binding_ep25_alpha0p50,eval,total_ops_5,393,24.681933842239186,179,34.63687150837989,86,33.72093023255814,1.3231552162849873,5.0,2.346055979643766,100.0
binding_ep25_alpha0p50,eval,total_ops_6,446,26.00896860986547,225,36.44444444444444,100,36.0,1.6591928251121075,6.0,2.318385650224215,100.0
binding_ep25_alpha0p50,eval,total_ops_7,508,26.771653543307085,261,35.24904214559387,114,36.8421052631579,2.045275590551181,7.0,2.2401574803149606,100.0
binding_ep25_alpha0p50,eval,total_ops_8,592,23.14189189189189,311,35.369774919614144,160,36.25,2.285472972972973,8.0,2.429054054054054,100.0
binding_ep25_alpha0p50,eval,total_ops_9,660,24.848484848484848,342,42.69005847953216,169,44.37869822485207,2.5196969696969695,9.0,2.3848484848484848,100.0
binding_ep25_alpha0p50,eval,type_ambiref,2315,25.010799136069114,1098,37.15846994535519,517,38.297872340425535,2.0872570194384448,7.525701943844492,2.127861771058315,100.0
binding_ep25_alpha0p50,eval,type_move_contents,2227,27.391109115401886,1043,33.077660594439116,489,31.083844580777097,1.8792096991468343,7.292321508756174,2.092501122586439,100.0
binding_ep25_alpha0p50,eval,type_regular,2238,27.83735478105451,1056,37.02651515151515,522,37.16475095785441,2.0178731009830204,7.254691689008043,2.0446827524575513,100.0
binding_ep25_alpha0p75,eval,ALL,6780,25.545722713864308,3197,34.970284641851734,1528,33.90052356020942,1.9960176991150442,7.359587020648967,2.0887905604719763,100.0
binding_ep25_alpha0p75,eval,lastop_affects_query,1850,32.432432432432435,1850,35.2972972972973,181,29.281767955801104,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p75,eval,lastop_not_query,4930,22.961460446247465,1347,34.521158129175944,1347,34.521158129175944,1.6784989858012171,7.120486815415822,2.8726166328600407,100.0
binding_ep25_alpha0p75,eval,lastop_recency_gold,1850,32.432432432432435,1850,35.2972972972973,181,29.281767955801104,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p75,eval,lastop_recency_not_gold,1347,19.673348181143282,1347,34.521158129175944,1347,34.521158129175944,1.8106904231625836,7.705270972531552,2.9955456570155903,100.0
binding_ep25_alpha0p75,eval,lastop_recency_not_gold_available,1528,21.00785340314136,1528,37.56544502617801,1528,33.90052356020942,1.9299738219895288,7.786649214659686,2.6407068062827226,100.0
binding_ep25_alpha0p75,eval,rel1_postrel_ops0,345,22.89855072463768,345,24.92753623188406,23,30.434782608695652,1.0,4.573913043478261,0.0,100.0
binding_ep25_alpha0p75,eval,rel1_postrel_ops_gt0,978,16.56441717791411,294,36.054421768707485,294,36.054421768707485,1.0,6.931492842535787,3.355828220858896,100.0
binding_ep25_alpha0p75,eval,rel1_stale_available_not_gold,16,37.5,7,57.142857142857146,6,16.666666666666668,1.0,8.5,2.25,100.0
binding_ep25_alpha0p75,eval,rel2_postrel_ops0,391,30.17902813299233,391,33.248081841432224,43,27.906976744186046,2.0,7.040920716112532,0.0,100.0
binding_ep25_alpha0p75,eval,rel2_postrel_ops_gt0,875,19.314285714285713,293,34.47098976109215,293,34.47098976109215,2.0,8.676571428571428,2.672,100.0
binding_ep25_alpha0p75,eval,rel2_stale_available_not_gold,489,24.744376278118608,273,32.234432234432234,151,28.47682119205298,2.0,8.366053169734151,1.822085889570552,100.0
binding_ep25_alpha0p75,eval,rel3_postrel_ops0,469,34.9680170575693,469,39.01918976545842,67,28.35820895522388,3.0,8.867803837953092,0.0,100.0
binding_ep25_alpha0p75,eval,rel3_postrel_ops_gt0,761,24.0473061760841,242,38.429752066115704,242,38.429752066115704,3.0,9.797634691195794,2.38107752956636,100.0
binding_ep25_alpha0p75,eval,rel3_stale_available_not_gold,296,29.72972972972973,164,40.24390243902439,65,35.38461538461539,3.0,9.54054054054054,1.4256756756756757,100.0
binding_ep25_alpha0p75,eval,rel4_postrel_ops0,501,36.52694610778443,501,39.12175648702595,40,32.5,4.0,9.684630738522953,0.0,100.0
binding_ep25_alpha0p75,eval,rel4_postrel_ops_gt0,611,28.314238952536826,152,33.55263157894737,152,33.55263157894737,4.0,10.297872340425531,2.009819967266776,100.0
binding_ep25_alpha0p75,eval,rel4_stale_available_not_gold,326,33.43558282208589,184,36.95652173913044,39,28.205128205128204,4.0,10.13803680981595,0.9785276073619632,100.0
binding_ep25_alpha0p75,eval,rel5_postrel_ops0,144,38.888888888888886,144,40.27777777777778,8,25.0,5.0,10.083333333333334,0.0,100.0
binding_ep25_alpha0p75,eval,rel5_postrel_ops_gt0,164,25.0,45,42.22222222222222,45,42.22222222222222,5.0,10.75609756097561,1.7134146341463414,100.0
binding_ep25_alpha0p75,eval,rel5_stale_available_not_gold,94,34.04255319148936,53,41.509433962264154,14,28.571428571428573,5.0,10.106382978723405,1.053191489361702,100.0
binding_ep25_alpha0p75,eval,rel_eq0,1541,26.216742375081115,321,29.595015576323988,321,29.595015576323988,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_1,257,29.961089494163424,65,15.384615384615385,65,15.384615384615385,0.0,1.0,1.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_10,36,13.88888888888889,12,50.0,12,50.0,0.0,10.0,10.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_11,32,15.625,10,30.0,10,30.0,0.0,11.0,11.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_12,30,10.0,4,50.0,4,50.0,0.0,12.0,12.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_1to3,641,31.825273010920437,166,18.072289156626507,166,18.072289156626507,0.0,1.8673946957878316,1.8673946957878316,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_2,212,31.132075471698112,43,18.6046511627907,43,18.6046511627907,0.0,2.0,2.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_3,172,35.46511627906977,58,20.689655172413794,58,20.689655172413794,0.0,3.0,3.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_4,131,22.900763358778626,38,36.8421052631579,38,36.8421052631579,0.0,4.0,4.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_4to6,323,21.671826625387,76,38.1578947368421,76,38.1578947368421,0.0,4.86687306501548,4.86687306501548,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_5,104,21.153846153846153,23,39.130434782608695,23,39.130434782608695,0.0,5.0,5.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_6,88,20.454545454545453,15,40.0,15,40.0,0.0,6.0,6.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_7,66,15.151515151515152,23,56.52173913043478,23,56.52173913043478,0.0,7.0,7.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_8,63,14.285714285714286,15,40.0,15,40.0,0.0,8.0,8.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_9,46,15.217391304347826,15,40.0,15,40.0,0.0,9.0,9.0,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_ge7,273,14.285714285714286,79,45.56962025316456,79,45.56962025316456,0.0,8.981684981684982,8.981684981684982,100.0
binding_ep25_alpha0p75,eval,rel_eq0_irrelevant_ops_gt0,1237,25.303152789005658,321,29.595015576323988,321,29.595015576323988,0.0,4.22069523039612,4.22069523039612,100.0
binding_ep25_alpha0p75,eval,rel_eq0_total_ops0,304,29.93421052631579,0,nan,0,nan,0.0,0.0,0.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1,5239,25.348348921549913,2876,35.570236439499304,1207,35.04556752278376,2.5831265508684864,8.527772475663294,1.7066234014124833,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops0,1850,32.432432432432435,1850,35.2972972972973,181,29.281767955801104,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_0,1850,32.432432432432435,1850,35.2972972972973,181,29.281767955801104,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_1,1200,28.5,369,31.43631436314363,369,31.43631436314363,2.7025,8.214166666666667,1.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_10,15,6.666666666666667,5,0.0,5,0.0,1.1333333333333333,11.466666666666667,10.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_11,6,0.0,4,50.0,4,50.0,1.0,12.0,11.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_2,817,21.78702570379437,255,35.294117647058826,255,35.294117647058826,2.5813953488372094,8.664626682986537,2.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_3,513,18.908382066276804,157,41.40127388535032,157,41.40127388535032,2.415204678362573,9.015594541910332,3.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_4,343,11.9533527696793,106,46.22641509433962,106,46.22641509433962,2.250728862973761,9.177842565597668,4.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_5,214,15.42056074766355,56,32.142857142857146,56,32.142857142857146,2.0186915887850465,9.686915887850468,5.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_6,143,14.685314685314685,32,40.625,32,40.625,1.8391608391608392,9.937062937062937,6.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_7,75,10.666666666666666,23,21.73913043478261,23,21.73913043478261,1.48,10.24,7.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_8,40,15.0,13,46.15384615384615,13,46.15384615384615,1.325,10.3,8.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_9,23,4.3478260869565215,6,100.0,6,100.0,1.3043478260869565,11.130434782608695,9.0,100.0
binding_ep25_alpha0p75,eval,rel_ge1_postrel_ops_gt0,3389,21.481262909412806,1026,36.06237816764133,1026,36.06237816764133,2.4417232221894363,8.817645323104161,2.638241369135438,100.0
binding_ep25_alpha0p75,eval,rel_ge3,2650,30.18867924528302,1553,38.6349001931745,554,35.55956678700361,3.6520754716981134,9.80188679245283,1.2532075471698114,100.0
binding_ep25_alpha0p75,eval,rel_ge3_postrel_ops0,1114,36.175942549371634,1114,39.22800718132854,115,29.565217391304348,3.708258527827648,9.392280071813286,0.0,100.0
binding_ep25_alpha0p75,eval,rel_ge3_postrel_ops_gt0,1536,25.846354166666668,439,37.12984054669704,439,37.12984054669704,3.611328125,10.098958333333334,2.162109375,100.0
binding_ep25_alpha0p75,eval,rel_updates_0,1541,26.216742375081115,321,29.595015576323988,321,29.595015576323988,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p75,eval,rel_updates_1,1323,18.2161753590325,639,30.046948356807512,317,35.646687697160885,1.0,6.316704459561603,2.4807256235827664,100.0
binding_ep25_alpha0p75,eval,rel_updates_2,1266,22.669826224328595,684,33.771929824561404,336,33.63095238095238,2.0,8.171406003159557,1.8467614533965244,100.0
binding_ep25_alpha0p75,eval,rel_updates_3,1230,28.211382113821138,711,38.81856540084388,309,36.24595469255664,3.0,9.44308943089431,1.473170731707317,100.0
binding_ep25_alpha0p75,eval,rel_updates_4,1112,32.014388489208635,653,37.82542113323124,192,33.333333333333336,4.0,10.02158273381295,1.10431654676259,100.0
binding_ep25_alpha0p75,eval,rel_updates_5,308,31.493506493506494,189,40.74074074074074,53,39.62264150943396,5.0,10.441558441558442,0.9123376623376623,100.0
binding_ep25_alpha0p75,eval,reported_numops_0,1541,26.216742375081115,321,29.595015576323988,321,29.595015576323988,0.0,3.388059701492537,3.388059701492537,100.0
binding_ep25_alpha0p75,eval,reported_numops_1,1274,17.346938775510203,614,29.153094462540718,301,36.21262458471761,1.0,6.229199372056515,2.502354788069074,100.0
binding_ep25_alpha0p75,eval,reported_numops_2,1217,22.35004108463435,654,33.48623853211009,332,33.433734939759034,1.9597370583401807,8.054231717337716,1.8742810188989318,100.0
binding_ep25_alpha0p75,eval,reported_numops_3,1240,28.306451612903224,714,39.075630252100844,313,36.42172523961661,2.9290322580645163,9.390322580645162,1.5153225806451613,100.0
binding_ep25_alpha0p75,eval,reported_numops_4,1175,32.340425531914896,688,38.22674418604651,206,32.52427184466019,3.9191489361702128,10.04595744680851,1.1046808510638297,100.0
binding_ep25_alpha0p75,eval,reported_numops_5,333,31.23123123123123,206,40.29126213592233,55,40.0,4.915915915915916,10.483483483483484,0.8858858858858859,100.0
binding_ep25_alpha0p75,eval,stale_available_not_gold,1221,29.156429156429155,681,36.41703377386197,275,29.818181818181817,2.994266994266994,9.25962325962326,1.4471744471744472,100.0
binding_ep25_alpha0p75,eval,total_ops_0,304,29.93421052631579,0,nan,0,nan,0.0,0.0,0.0,100.0
binding_ep25_alpha0p75,eval,total_ops_1,331,26.88821752265861,139,15.827338129496402,68,14.705882352941176,0.22356495468277945,1.0,0.7764350453172205,100.0
binding_ep25_alpha0p75,eval,total_ops_10,733,25.37517053206003,372,40.32258064516129,165,41.81818181818182,2.8076398362892223,10.0,2.2742155525238745,100.0
binding_ep25_alpha0p75,eval,total_ops_11,828,26.08695652173913,442,38.68778280542986,212,37.264150943396224,2.9504830917874396,11.0,2.3659420289855073,100.0
binding_ep25_alpha0p75,eval,total_ops_12,919,25.680087051142547,444,38.513513513513516,204,38.23529411764706,3.115342763873776,12.0,2.4689880304678997,100.0
binding_ep25_alpha0p75,eval,total_ops_2,339,26.253687315634217,131,22.137404580152673,66,21.21212121212121,0.4424778761061947,2.0,1.4188790560471976,100.0
binding_ep25_alpha0p75,eval,total_ops_3,358,29.88826815642458,180,25.0,97,18.556701030927837,0.723463687150838,3.0,1.8044692737430168,100.0
binding_ep25_alpha0p75,eval,total_ops_4,369,24.390243902439025,171,29.82456140350877,87,29.885057471264368,1.005420054200542,4.0,2.105691056910569,100.0
binding_ep25_alpha0p75,eval,total_ops_5,393,21.374045801526716,179,31.843575418994412,86,32.55813953488372,1.3231552162849873,5.0,2.346055979643766,100.0
binding_ep25_alpha0p75,eval,total_ops_6,446,26.905829596412556,225,40.0,100,33.0,1.6591928251121075,6.0,2.318385650224215,100.0
binding_ep25_alpha0p75,eval,total_ops_7,508,24.606299212598426,261,30.268199233716476,114,31.57894736842105,2.045275590551181,7.0,2.2401574803149606,100.0
binding_ep25_alpha0p75,eval,total_ops_8,592,23.64864864864865,311,32.47588424437299,160,30.625,2.285472972972973,8.0,2.429054054054054,100.0
