label,checkpoint,group,n,accuracy_pct,recency_available_n,recency_pick_pct_among_available,recency_not_gold_available_n,recency_not_gold_pick_pct,mean_relevant_updates,mean_total_ops,mean_ops_after_last_relevant,simulation_match_pct
binding_ep25_alpha0p50,eval,ALL,6780,26.72566371681416,3197,35.78354707538317,1528,35.602094240837694,1.9960176991150442,7.359587020648967,2.0887905604719763,100.0
binding_ep25_alpha0p50,eval,lastop_affects_query,1850,32.432432432432435,1850,34.972972972972975,181,25.96685082872928,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p50,eval,lastop_not_query,4930,24.5841784989858,1347,36.896807720861176,1347,36.896807720861176,1.6784989858012171,7.120486815415822,2.8726166328600407,100.0
binding_ep25_alpha0p50,eval,lastop_recency_gold,1850,32.432432432432435,1850,34.972972972972975,181,25.96685082872928,2.842162162162162,7.996756756756756,0.0,100.0
binding_ep25_alpha0p50,eval,lastop_recency_not_gold,1347,20.267260579064587,1347,36.896807720861176,1347,36.896807720861176,1.8106904231625836,7.705270972531552,2.9955456570155903,100.0
binding_ep25_alpha0p50,eval,lastop_recency_not_gold_available,1528,21.20418848167539,1528,38.93979057591623,1528,35.602094240837694,1.9299738219895288,7.786649214659686,2.6407068062827226,100.0
binding_ep25_alpha0p50,eval,rel1_postrel_ops0,345,19.130434782608695,345,20.869565217391305,23,26.08695652173913,1.0,4.573913043478261,0.0,100.0
binding_ep25_alpha0p50,eval,rel1_postrel_ops_gt0,978,15.74642126789366,294,36.394557823129254,294,36.394557823129254,1.0,6.931492842535787,3.355828220858896,100.0
binding_ep25_alpha0p50,eval,rel1_stale_available_not_gold,16,50.0,7,57.142857142857146,6,16.666666666666668,1.0,8.5,2.25,100.0
binding_ep25_alpha0p50,eval,rel2_postrel_ops0,391,31.9693094629156,391,34.271099744245525,43,20.930232558139537,2.0,7.040920716112532,0.0,100.0
binding_ep25_alpha0p50,eval,rel2_postrel_ops_gt0,875,21.257142857142856,293,41.6382252559727,293,41.6382252559727,2.0,8.676571428571428,2.672,100.0
