token_class,contrast,role_a,role_b,n,delta_T,T_a,T_b,delta_U,U_a,U_b,delta_N,N_a,N_b,delta_A_T,A_T_a,A_T_b,delta_A_U,A_U_a,A_U_b,delta_G,G_a,G_b
nonoverlap,RminusC,R,C,2732,0.4479982410859833,7.455282021455264,7.0072837803692805,-0.2700183937885585,7.958582038036423,8.228600431824981,-0.23475594416666468,8.299225757646331,8.533981701812996,-0.682754185252649,0.8439437361910672,1.5266979214437162,0.035262449621893344,0.3406437196099077,0.30538126998801435,-0.7180166348745421,0.5033000165811595,1.2213166514557017
nonoverlap,VminusC,V,C,2732,-1.1787566183766245,5.828527161992656,7.0072837803692805,-0.4573165836727302,7.771283848152251,8.228600431824981,-0.46836440471181007,8.065617297101186,8.533981701812996,0.7103922136648151,2.2370901351085313,1.5266979214437162,-0.01104782103907892,0.29433344894893543,0.30538126998801435,0.7214400347038943,1.942756686159596,1.2213166514557017
nonoverlap,HVminusC,HV,C,2732,-0.7741033243010405,6.23318045606824,7.0072837803692805,-0.605823371314619,7.622777060510362,8.228600431824981,-0.7563558507671155,7.7776258510458804,8.533981701812996,0.017747473533925362,1.5444453949776416,1.5266979214437162,-0.15053247945249557,0.15484879053551878,0.30538126998801435,0.16827995298642118,1.3895966044421229,1.2213166514557017
nonoverlap,HVminusV,HV,V,2732,0.40465329407558404,6.23318045606824,5.828527161992656,-0.14850678764188885,7.622777060510362,7.771283848152251,-0.28799144605530547,7.7776258510458804,8.065617297101186,-0.6926447401308897,1.5444453949776416,2.2370901351085313,-0.13948465841341665,0.15484879053551878,0.29433344894893543,-0.5531600817174731,1.3895966044421229,1.942756686159596
nonoverlap,VminusHV,V,HV,2732,-0.40465329407558404,5.828527161992656,6.23318045606824,0.14850678764188885,7.771283848152251,7.622777060510362,0.28799144605530547,8.065617297101186,7.7776258510458804,0.6926447401308897,2.2370901351085313,1.5444453949776416,0.13948465841341665,0.29433344894893543,0.15484879053551878,0.5531600817174731,1.942756686159596,1.3895966044421229
nonoverlap,HMminusC,HM,C,2732,-0.7312501481394005,6.27603363222988,7.0072837803692805,-0.4654507574355664,7.763149674389415,8.228600431824981,-0.3856068097463812,8.148374892066615,8.533981701812996,0.34564333839301975,1.872341259836736,1.5266979214437162,0.07984394768918623,0.3852252176772006,0.30538126998801435,0.26579939070383385,1.4871160421595355,1.2213166514557017
nonoverlap,HMminusHV,HM,HV,2732,0.04285317616163997,6.27603363222988,6.23318045606824,0.14037261387905264,7.763149674389415,7.622777060510362,0.37074904102073436,8.148374892066615,7.7776258510458804,0.3278958648590944,1.872341259836736,1.5444453949776416,0.2303764271416818,0.3852252176772006,0.15484879053551878,0.09751943771741267,1.4871160421595355,1.3895966044421229
nonoverlap,HVminusHM,HV,HM,2732,-0.04285317616163997,6.23318045606824,6.27603363222988,-0.14037261387905264,7.622777060510362,7.763149674389415,-0.37074904102073436,7.7776258510458804,8.148374892066615,-0.3278958648590944,1.5444453949776416,1.872341259836736,-0.2303764271416818,0.15484879053551878,0.3852252176772006,-0.09751943771741267,1.3895966044421229,1.4871160421595355
nonoverlap,HMminusV,HM,V,2732,0.447506470237224,6.27603363222988,5.828527161992656,-0.008134173762836205,7.763149674389415,7.771283848152251,0.0827575949654289,8.148374892066615,8.065617297101186,-0.36474887527179534,1.872341259836736,2.2370901351085313,0.09089176872826515,0.3852252176772006,0.29433344894893543,-0.45564064400006044,1.4871160421595355,1.942756686159596
nonoverlap,HMminusR,HM,R,2732,-1.1792483892253838,6.27603363222988,7.455282021455264,-0.1954323636470079,7.763149674389415,7.958582038036423,-0.1508508655797165,8.148374892066615,8.299225757646331,1.0283975236456686,1.872341259836736,0.8439437361910672,0.04458149806729289,0.3852252176772006,0.3406437196099077,0.983816025578376,1.4871160421595355,0.5033000165811595
