role,checkpoint,n,gain,gain_se,repeated_nll,unrepeated_nll
C,chck_100M,2000,3.909152731147415,0.08848555907363957,0.3789343456703898,4.2880870768178045
C,chck_80M,2000,3.8605449314131857,0.08671611269129734,0.406138702086002,4.266683633499188
C,chck_90M,2000,3.9273769823148164,0.08885531990174397,0.381269679499143,4.30864666181396
HM,chck_100M,2000,4.412935504624394,0.09621294355604744,0.20341248982933827,4.616347994453732
HM,chck_80M,2000,4.413625836611716,0.0952813809330263,0.23076187390354239,4.644387710515258
HM,chck_90M,2000,4.447512100417028,0.09648130024104663,0.200571017383687,4.648083117800715
HV,chck_100M,2000,3.868504873819823,0.08726708317352569,0.4245795544513344,4.293084428271157
HV,chck_80M,2000,3.8779204116896984,0.08675070889842798,0.45088133229678884,4.328801743986487
HV,chck_90M,2000,3.8862890132177426,0.08746405340957004,0.43060681296210523,4.316895826179848
R,chck_100M,2000,4.401154387423189,0.09680657809687312,0.20281666938766063,4.603971056810848
R,chck_80M,2000,4.413539617867375,0.09596731088463774,0.20791176148248763,4.621451379349863
R,chck_90M,2000,4.448736307980058,0.0975034467902199,0.1982011526503146,4.6469374606303715
V,chck_100M,2000,4.309562999565415,0.09448498128794948,0.3772451043400425,4.686808103905458
V,chck_80M,2000,4.297321642508267,0.09372727608279387,0.39918454172666756,4.696506184234935
V,chck_90M,2000,4.304216396363164,0.09438019444269921,0.3843853794010922,4.688601775764256
