arch,arm,checkpoint,companion_words,gain,probe_family,probe_id,repeated_nll,role,seed,source_domain,source_example_id,source_words,span_len,unrepeated_nll
C,C,chck_80M,11,-0.011602044105529785,heldout_natural_source_repeat,heldoutcopy:1:134:55526,0.2777423858642578,,NA,simple_wiki,55526,18,1,0.266140341758728
C,C,chck_80M,25,4.9364723563194275,heldout_natural_source_repeat,heldoutcopy:1:135:29340,0.25372034311294556,,NA,gutenberg,29340,40,1,5.190192699432373
C,C,chck_80M,14,1.5001059342175722,heldout_natural_source_repeat,heldoutcopy:1:136:33364,0.024920864030718803,,NA,gutenberg,33364,22,1,1.525026798248291
C,C,chck_80M,8,12.477099251002073,heldout_natural_source_repeat,heldoutcopy:1:137:55845,0.042667556554079056,,NA,simple_wiki,55845,10,1,12.519766807556152
C,C,chck_80M,8,0.5715454798191786,heldout_natural_source_repeat,heldoutcopy:1:138:49750,0.007216932252049446,,NA,open_subtitles,49750,12,1,0.578762412071228
C,C,chck_80M,8,3.6036614812910557,heldout_natural_source_repeat,heldoutcopy:1:139:46059,0.06195002421736717,,NA,open_subtitles,46059,11,1,3.665611505508423
C,C,chck_80M,8,2.8709852024912834,heldout_natural_source_repeat,heldoutcopy:1:13:41264,0.059351272881031036,,NA,open_subtitles,41264,10,1,2.9303364753723145
C,C,chck_80M,14,0.44795611314475536,heldout_natural_source_repeat,heldoutcopy:1:140:10122,0.028835387900471687,,NA,childes,10122,22,1,0.47679150104522705
C,C,chck_80M,17,0.6279482981190085,heldout_natural_source_repeat,heldoutcopy:1:141:2911,0.00814651045948267,,NA,bnc_spoken,2911,27,1,0.6360948085784912
C,C,chck_80M,15,8.903452966362238,heldout_natural_source_repeat,heldoutcopy:1:142:29628,0.027804281562566757,,NA,gutenberg,29628,24,1,8.931257247924805
C,C,chck_80M,8,3.976156134158373,heldout_natural_source_repeat,heldoutcopy:1:143:3336,0.032746415585279465,,NA,bnc_spoken,3336,10,1,4.008902549743652
C,C,chck_80M,9,0.0022496823221445084,heldout_natural_source_repeat,heldoutcopy:1:144:39750,0.027669548988342285,,NA,open_subtitles,39750,14,1,0.029919231310486794
C,C,chck_80M,16,1.4764701954554766,heldout_natural_source_repeat,heldoutcopy:1:145:11887,0.0009382136631757021,,NA,childes,11887,26,1,1.4774084091186523
C,C,chck_80M,28,14.042159140110016,heldout_natural_source_repeat,heldoutcopy:1:146:37409,0.9209737181663513,,NA,gutenberg,37409,45,1,14.963132858276367
C,C,chck_80M,8,1.3353934157639742,heldout_natural_source_repeat,heldoutcopy:1:147:16087,0.008948815986514091,,NA,childes,16087,11,1,1.3443422317504883
C,C,chck_80M,11,1.434218943119049,heldout_natural_source_repeat,heldoutcopy:1:148:55281,0.40030723810195923,,NA,simple_wiki,55281,18,1,1.8345261812210083
C,C,chck_80M,12,0.2813897328451276,heldout_natural_source_repeat,heldoutcopy:1:149:19070,0.0069900257512927055,,NA,childes,19070,19,1,0.2883797585964203
C,C,chck_80M,11,9.043191676028073e-05,heldout_natural_source_repeat,heldoutcopy:1:14:16052,0.0004848258395213634,,NA,childes,16052,17,1,0.0005752577562816441
C,C,chck_80M,17,3.3531784443184733,heldout_natural_source_repeat,heldoutcopy:1:150:50032,0.009658393450081348,,NA,open_subtitles,50032,27,1,3.3628368377685547
C,C,chck_80M,9,12.509972697123885,heldout_natural_source_repeat,heldoutcopy:1:151:57454,0.008626813068985939,,NA,simple_wiki,57454,15,1,12.518599510192871
C,C,chck_80M,18,6.601894795894623,heldout_natural_source_repeat,heldoutcopy:1:152:34510,0.4097943902015686,,NA,gutenberg,34510,29,1,7.011689186096191
C,C,chck_80M,8,4.520642638206482,heldout_natural_source_repeat,heldoutcopy:1:153:12407,0.26943933963775635,,NA,childes,12407,10,1,4.790081977844238
C,C,chck_80M,8,0.6474713501520455,heldout_natural_source_repeat,heldoutcopy:1:154:38516,0.0024573388509452343,,NA,open_subtitles,38516,10,1,0.6499286890029907
C,C,chck_80M,8,0.8407351784408092,heldout_natural_source_repeat,heldoutcopy:1:155:5433,0.04195244982838631,,NA,childes,5433,11,1,0.8826876282691956
C,C,chck_80M,8,8.397463150322437,heldout_natural_source_repeat,heldoutcopy:1:156:10152,0.11731498688459396,,NA,childes,10152,12,1,8.514778137207031
C,C,chck_80M,8,7.577114939689636,heldout_natural_source_repeat,heldoutcopy:1:157:2397,1.4686919450759888,,NA,bnc_spoken,2397,10,1,9.045806884765625
C,C,chck_80M,9,7.14489458501339,heldout_natural_source_repeat,heldoutcopy:1:158:39156,0.03711177408695221,,NA,open_subtitles,39156,14,1,7.182006359100342
C,C,chck_80M,25,-1.430495103704743e-06,heldout_natural_source_repeat,heldoutcopy:1:159:55308,1.2040065485052764e-05,,NA,simple_wiki,55308,40,1,1.0609570381348021e-05
C,C,chck_80M,9,5.48967170715332,heldout_natural_source_repeat,heldoutcopy:1:15:24796,5.86942195892334,,NA,gutenberg,24796,15,1,11.35909366607666
C,C,chck_80M,8,1.1701815351843834,heldout_natural_source_repeat,heldoutcopy:1:160:5825,0.022351838648319244,,NA,childes,5825,10,1,1.1925333738327026
C,C,chck_80M,28,8.716284113004804,heldout_natural_source_repeat,heldoutcopy:1:161:35857,0.020949048921465874,,NA,gutenberg,35857,48,1,8.73723316192627
C,C,chck_80M,9,6.905746608972549,heldout_natural_source_repeat,heldoutcopy:1:162:57669,0.34278854727745056,,NA,simple_wiki,57669,14,1,7.24853515625
C,C,chck_80M,8,1.1099864421412349,heldout_natural_source_repeat,heldoutcopy:1:163:20822,0.007136923260986805,,NA,childes,20822,10,1,1.1171233654022217
C,C,chck_80M,9,0.9167569819837809,heldout_natural_source_repeat,heldoutcopy:1:164:57321,0.009185200557112694,,NA,simple_wiki,57321,14,1,0.9259421825408936
C,C,chck_80M,12,2.302697852253914,heldout_natural_source_repeat,heldoutcopy:1:165:12881,0.12111787497997284,,NA,childes,12881,19,1,2.4238157272338867
C,C,chck_80M,28,-0.01149943470954895,heldout_natural_source_repeat,heldoutcopy:1:166:29039,0.07082464545965195,,NA,gutenberg,29039,50,1,0.059325210750103
C,C,chck_80M,8,0.03602690505795181,heldout_natural_source_repeat,heldoutcopy:1:167:7182,0.0014888879377394915,,NA,childes,7182,11,1,0.0375157929956913
C,C,chck_80M,13,7.4051690101623535,heldout_natural_source_repeat,heldoutcopy:1:168:21853,1.0940985679626465,,NA,childes,21853,21,1,8.499267578125
C,C,chck_80M,12,1.6713334452360868,heldout_natural_source_repeat,heldoutcopy:1:169:37536,0.01811753399670124,,NA,gutenberg,37536,20,1,1.689450979232788
C,C,chck_80M,18,0.0008923821151256561,heldout_natural_source_repeat,heldoutcopy:1:16:3202,0.015213875100016594,,NA,bnc_spoken,3202,29,1,0.01610625721514225
C,C,chck_80M,8,2.9783343076705933,heldout_natural_source_repeat,heldoutcopy:1:170:3724,1.0560628175735474,,NA,bnc_spoken,3724,11,1,4.034397125244141
C,C,chck_80M,8,-0.0314030647277832,heldout_natural_source_repeat,heldoutcopy:1:171:43719,2.172677516937256,,NA,open_subtitles,43719,13,1,2.1412744522094727
C,C,chck_80M,8,0.344879150390625,heldout_natural_source_repeat,heldoutcopy:1:172:29677,2.0705060958862305,,NA,gutenberg,29677,10,1,2.4153852462768555
C,C,chck_80M,8,3.0933704376220703,heldout_natural_source_repeat,heldoutcopy:1:173:9435,6.338233947753906,,NA,childes,9435,13,1,9.431604385375977
C,C,chck_80M,19,6.08593337982893,heldout_natural_source_repeat,heldoutcopy:1:174:12464,0.04629690200090408,,NA,childes,12464,30,1,6.132230281829834
C,C,chck_80M,8,3.2513205353170633,heldout_natural_source_repeat,heldoutcopy:1:175:43943,0.029164379462599754,,NA,open_subtitles,43943,12,1,3.280484914779663
C,C,chck_80M,9,0.6245870911516249,heldout_natural_source_repeat,heldoutcopy:1:176:21153,0.0012223399244248867,,NA,childes,21153,15,1,0.6258094310760498
C,C,chck_80M,12,9.109562888741493,heldout_natural_source_repeat,heldoutcopy:1:177:24419,0.24208448827266693,,NA,gutenberg,24419,19,1,9.35164737701416
C,C,chck_80M,8,5.235325336456299,heldout_natural_source_repeat,heldoutcopy:1:178:22193,2.2233076095581055,,NA,childes,22193,12,1,7.458632946014404
