checkpoint,device,elapsed_sec,records,role
chck_80M,cuda:1,12.81,32476,C
chck_90M,cuda:1,11.59,32476,C
chck_100M,cuda:1,11.59,32476,C
chck_80M,cuda:1,11.96,32476,R
chck_90M,cuda:1,11.62,32476,R
chck_100M,cuda:1,11.28,32476,R
chck_80M,cuda:1,11.31,32476,V
chck_90M,cuda:1,11.24,32476,V
chck_100M,cuda:1,11.25,32476,V
chck_80M,cuda:1,11.32,32476,HM
chck_90M,cuda:1,11.28,32476,HM
chck_100M,cuda:1,11.31,32476,HM
chck_80M,cuda:1,11.26,32476,HV
chck_90M,cuda:1,11.26,32476,HV
chck_100M,cuda:1,11.25,32476,HV
