contrast,role_a,role_b,n,delta_gain,gain_a,gain_b,delta_repeated_nll,delta_unrepeated_nll
RminusC,R,C,2000,0.5221185561317347,4.421143437756874,3.8990248816251394,-0.1858043812450239,0.3363141748867102
VminusC,V,C,2000,0.404675464520476,4.303700346145615,3.8990248816251394,-0.001842567262577477,0.40283289725789917
HVminusC,HV,C,2000,-0.021453448716051593,3.877571432909088,3.8990248816251394,0.0465749908182313,0.02512154210217954
HVminusV,HV,V,2000,-0.4261289132365276,3.877571432909088,4.303700346145615,0.048417558080808776,-0.37771135515571963
VminusHV,V,HV,2000,0.4261289132365276,4.303700346145615,3.877571432909088,-0.048417558080808776,0.37771135515571963
HMminusC,HM,C,2000,0.5256662655925726,4.424691147217712,3.8990248816251394,-0.17719911537965566,0.34846715021291796
HMminusHV,HM,HV,2000,0.5471197143086242,4.424691147217712,3.877571432909088,-0.22377410619788696,0.3233456081107384
HVminusHM,HV,HM,2000,-0.5471197143086242,3.877571432909088,4.424691147217712,0.22377410619788696,-0.3233456081107384
HMminusV,HM,V,2000,0.12099080107209659,4.424691147217712,4.303700346145615,-0.17535654811707818,-0.054365747044981205
HMminusR,HM,R,2000,0.0035477094608378223,4.424691147217712,4.421143437756874,0.00860526586536825,0.012152975326207738
