role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
C,chck_100M,nonoverlap,2732,6.993866054545393,8.224868510926134,8.521291263284922,1.52742520873953,0.2964227523587884,1.2310024563807416
C,chck_100M,overlap,3160,1.8140042501127442,8.142151429134575,8.309734325530597,6.495730075417852,0.1675828963960226,6.32814717902183
C,chck_80M,nonoverlap,2732,7.019573019757474,8.214149230323448,8.532266314309854,1.5126932945523799,0.3181170839864057,1.194576210565974
C,chck_80M,overlap,3160,1.8888636783503667,8.15234966172094,8.335091035110475,6.446227356760108,0.18274137338953494,6.263485983370574
C,chck_90M,nonoverlap,2732,7.008412266804974,8.246783554225363,8.548387527844213,1.5399752610392383,0.301603973618849,1.2383712874203894
C,chck_90M,overlap,3160,1.8262687445407486,8.162263560435688,8.337140072958508,6.51087132841776,0.174876512522821,6.335994815894939
HM,chck_100M,nonoverlap,2732,6.226914623081698,7.768409513442103,8.149556083196472,1.922641460114775,0.3811465697543693,1.5414948903604058
HM,chck_100M,overlap,3160,1.0636118458585286,7.780968434992246,7.973088149135915,6.909476303277386,0.19211971414366832,6.7173565891337175
HM,chck_80M,nonoverlap,2732,6.365744965243334,7.758466177122289,8.144599221285779,1.7788542560424443,0.3861330441634906,1.3927212118789538
HM,chck_80M,overlap,3160,1.143810374878643,7.763497684376986,7.9728868463112015,6.8290764714325585,0.20938916193421553,6.619687309498343
HM,chck_90M,nonoverlap,2732,6.235441308364607,7.762573332603854,8.150969371717597,1.9155280633529888,0.3883960391137419,1.527132024239247
HM,chck_90M,overlap,3160,1.0625538586631362,7.778789962933817,7.975534889480848,6.912981030817711,0.19674492654703038,6.716236104270681
HV,chck_100M,nonoverlap,2732,6.190049909445216,7.607207542953476,7.75940417051438,1.5693542610691644,0.1521966275609048,1.4171576335082596
HV,chck_100M,overlap,3160,1.1144754147048763,7.605801798655398,7.684230526267622,6.5697551115627455,0.07842872761222357,6.491326383950522
HV,chck_80M,nonoverlap,2732,6.298414225145318,7.630602787516051,7.787806633107179,1.4893924079618606,0.15720384559112752,1.332188562370733
HV,chck_80M,overlap,3160,1.1935313260840705,7.623375903733098,7.7114160272195535,6.517884701135483,0.0880401234864552,6.429844577649027
HV,chck_90M,nonoverlap,2732,6.211077233614184,7.6305208510615605,7.785666749516085,1.5745895159019,0.15514589845452398,1.4194436174473761
HV,chck_90M,overlap,3160,1.1203708461041877,7.619239154822028,7.703021116212565,6.582650270108377,0.08378196139053642,6.4988683087178405
R,chck_100M,nonoverlap,2732,7.359401078737242,7.958886147665588,8.301419370178076,0.9420182914408346,0.3425332225124879,0.5994850689283467
R,chck_100M,overlap,3160,1.714229414577029,7.804468480900042,8.055530319922262,6.341300905345233,0.2510618390222198,6.090239066323013
R,chck_80M,nonoverlap,2732,7.658370611415685,7.965623951432844,8.303882752265645,0.6455121408499598,0.33825880083280013,0.3072533400171596
R,chck_80M,overlap,3160,1.829005271161892,7.836429799741423,8.078065490712783,6.249060219550891,0.24163569097136017,6.007424528579531
R,chck_90M,nonoverlap,2732,7.348074374212863,7.951236015010835,8.29237515049527,0.9443007762824072,0.34113913548443503,0.6031616407979722
R,chck_90M,overlap,3160,1.7100541466289116,7.801176779936038,8.048863325353057,6.338809178724146,0.24768654541701926,6.091122633307127
V,chck_100M,nonoverlap,2732,5.79277909138529,7.7761740504864925,8.06955461353534,2.27677552215005,0.2933805630488477,1.9833949591012026
V,chck_100M,overlap,3160,0.8866825202580625,7.784937736216514,7.970892705193785,7.084210184935723,0.18595496897727157,6.898255215958452
V,chck_80M,nonoverlap,2732,5.908226781658689,7.763125367001406,8.056945989954613,2.1487192082959248,0.29382062295320854,1.8548985853427162
V,chck_80M,overlap,3160,0.9361734603195031,7.801093672733324,7.984564539848435,7.0483910795289315,0.1834708671151112,6.86492021241382
V,chck_90M,nonoverlap,2732,5.784575612933987,7.774552126968857,8.070351287813606,2.285775674879619,0.29579916084475005,1.989976514034869
V,chck_90M,overlap,3160,0.8976406135894373,7.782924528630108,7.978764145159608,7.08112353157017,0.19583961652949913,6.885283915040671
