dataset,model,task_id,pair_id,split,axis,semantic_label,condition,expected_margin,parent_expected_margin,delta_vs_parent,expected_correct,parent_expected_correct,changed_correctness_vs_parent,frame
models,compact_equal_epoch,h01_gas_price,rw2s1_000216,held_source,quantity,supported_partial_view,source_original,3.4248524173162878,3.288774363230914,0.13607805408537388,True,True,False,Gas prices were rising by [ANS] in March.
models,compact_equal_epoch,h01_gas_price,rw2s1_000216,held_source,quantity,supported_partial_view,source_altered,3.5141533333808184,3.213369940407574,0.3007833929732442,True,True,False,Gas prices were rising by [ANS] in March.
models,compact_equal_epoch,h01_gas_price,rw2s1_000216,held_source,quantity,supported_partial_view,no_source,0.10883533954620361,-0.0010848045349121094,0.10992014408111572,True,False,True,Gas prices were rising by [ANS] in March.
models,compact_equal_epoch,h02_rating,rw_000248,held_source,quantity,correspondence_repair,source_original,4.890054516494274,4.601138934493065,0.28891558200120926,True,True,False,Renee Schonfeld rated the film [ANS] out of 5 stars.
models,compact_equal_epoch,h02_rating,rw_000248,held_source,quantity,correspondence_repair,source_altered,3.4344712048768997,3.4125957414507866,0.02187546342611313,True,True,False,Renee Schonfeld rated the film [ANS] out of 5 stars.
models,compact_equal_epoch,h02_rating,rw_000248,held_source,quantity,correspondence_repair,no_source,-0.38974666595458984,-0.4940546751022339,0.10430800914764404,False,False,False,Renee Schonfeld rated the film [ANS] out of 5 stars.
models,compact_equal_epoch,h03_protest_duration,rw_001604,held_source,quantity_time,altered_meaning,source_original,-1.9119703769683838,-2.1133084297180176,0.2013380527496338,False,False,False,The protest period was [ANS].
models,compact_equal_epoch,h03_protest_duration,rw_001604,held_source,quantity_time,altered_meaning,source_altered,2.1081457932790126,2.28946034113566,-0.18131454785664758,True,True,False,The protest period was [ANS].
models,compact_equal_epoch,h03_protest_duration,rw_001604,held_source,quantity_time,altered_meaning,no_source,-2.1123336156209316,-2.4035154183705654,0.2911818027496338,False,False,False,The protest period was [ANS].
models,compact_equal_epoch,h04_cherry_food,rw2s0_009985,held_source,object,information_losing_summary,source_original,7.531831508735195,7.242366889491677,0.2894646192435175,True,True,False,On Saturday he ate a piece of cherry [ANS].
models,compact_equal_epoch,h04_cherry_food,rw2s0_009985,held_source,object,information_losing_summary,source_altered,1.2437553405761719,1.5287733376026154,-0.2850179970264435,True,True,False,On Saturday he ate a piece of cherry [ANS].
models,compact_equal_epoch,h04_cherry_food,rw2s0_009985,held_source,object,information_losing_summary,no_source,3.4889220744371414,3.2421073019504547,0.2468147724866867,True,True,False,On Saturday he ate a piece of cherry [ANS].
models,compact_equal_epoch,h05_eagle_feathers,rw2s1_013643,held_source,quantity,information_losing_summary,source_original,2.133476197719574,2.1174460276961327,0.016030170023441315,True,True,False,The seizure involved [ANS] eagle feathers.
models,compact_equal_epoch,h05_eagle_feathers,rw2s1_013643,held_source,quantity,information_losing_summary,source_altered,2.054804440587759,2.0267648175358772,0.02803962305188179,True,True,False,The seizure involved [ANS] eagle feathers.
models,compact_equal_epoch,h05_eagle_feathers,rw2s1_013643,held_source,quantity,information_losing_summary,no_source,-0.045731544494628906,0.027637958526611328,-0.07336950302124023,False,True,True,The seizure involved [ANS] eagle feathers.
models,compact_equal_epoch,h06_ramadan_food,rw2s1_017873,held_source,object,supported_partial_view,source_original,12.164375256747007,12.131645694375038,0.03272956237196922,True,True,False,"At the end of Ramadan, Muslims received salt and pepper on a fruit [ANS]."
models,compact_equal_epoch,h06_ramadan_food,rw2s1_017873,held_source,object,supported_partial_view,source_altered,10.2733916323632,10.24143810197711,0.03195353038609028,True,True,False,"At the end of Ramadan, Muslims received salt and pepper on a fruit [ANS]."
models,compact_equal_epoch,h06_ramadan_food,rw2s1_017873,held_source,object,supported_partial_view,no_source,0.6734733581542969,0.4502220153808594,0.2232513427734375,True,True,False,"At the end of Ramadan, Muslims received salt and pepper on a fruit [ANS]."
