window,checkpoint,words,dose_name,dose,rho,metric,clean,view,repeat,V_minus_C,R_minus_C,V_minus_R,identity_residual,view_growth_vs_1x,repeat_growth_vs_1x,VR_growth_vs_1x,repeat_deterioration_component,view_growth_component,view_share_of_VR_growth,repeat_deterioration_share_of_VR_growth,family,mean,median,min,max,stdev,n,positive,negative
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,BLiMP,53.91,56.13,55.92,2.220000000000006,2.010000000000005,0.21000000000000085,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,Supplement,54.62,50.31,53.49,-4.309999999999995,-1.1299999999999955,-3.1799999999999997,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,EWoK,50.32,48.88,48.81,-1.4399999999999977,-1.509999999999998,0.07000000000000028,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,Entity,16.5,16.21,17.54,-0.28999999999999915,1.0399999999999991,-1.3299999999999983,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,COMPS,50.05,49.96,49.78,-0.0899999999999963,-0.269999999999996,0.17999999999999972,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,Reading,7.68,7.16,7.550000000000001,-0.5199999999999996,-0.129999999999999,-0.39000000000000057,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,cheap6_no_GlobalPIQA,38.846666666666664,38.108333333333334,38.848333333333336,-0.7383333333333297,0.0016666666666722563,-0.740000000000002,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,cheap5_no_GlobalPIQA_Reading,45.08,44.298,45.108000000000004,-0.7819999999999965,0.028000000000005798,-0.8100000000000023,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1,1.0,0.042352,EWoK_plus_Entity_sum,66.82,65.09,66.35,-1.7299999999999898,-0.46999999999999886,-1.259999999999991,0.0,0.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1p82,1.8209293539856442,0.07712,BLiMP,53.91,54.7,56.04,0.7900000000000063,2.1300000000000026,-1.3399999999999963,0.0,-1.4299999999999997,0.11999999999999744,-1.5499999999999972,-0.11999999999999744,-1.4299999999999997,0.9225806451612918,0.07741935483870817,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1p82,1.8209293539856442,0.07712,Supplement,54.62,50.98,52.46,-3.6400000000000006,-2.1599999999999966,-1.480000000000004,0.0,0.6699999999999946,-1.0300000000000011,1.6999999999999957,1.0300000000000011,0.6699999999999946,0.39411764705882135,0.6058823529411786,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1p82,1.8209293539856442,0.07712,EWoK,50.32,49.07,48.79,-1.25,-1.5300000000000011,0.28000000000000114,0.0,0.18999999999999773,-0.020000000000003126,0.21000000000000085,0.020000000000003126,0.18999999999999773,0.9047619047618902,0.09523809523810974,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1p82,1.8209293539856442,0.07712,Entity,16.5,16.96,17.32,0.46000000000000085,0.8200000000000003,-0.35999999999999943,0.0,0.75,-0.21999999999999886,0.9699999999999989,0.21999999999999886,0.75,0.7731958762886607,0.2268041237113393,,,,,,,,,
common_10M_80M,chck_10M,10000000,dose1p82,1.8209293539856442,0.07712,COMPS,50.05,50.06,50.13,0.010000000000005116,0.0800000000000054,-0.07000000000000028,0.0,0.10000000000000142,0.3500000000000014,-0.25,-0.3500000000000014,0.10000000000000142,-0.4000000000000057,1.4000000000000057,,,,,,,,,
