window,checkpoint,words,dose_name,dose,rho,metric,clean,view,repeat,V_minus_C,R_minus_C,V_minus_R,identity_residual,view_growth_vs_1x,repeat_growth_vs_1x,VR_growth_vs_1x,repeat_deterioration_component,view_growth_component,view_share_of_VR_growth,repeat_deterioration_share_of_VR_growth,family,mean,median,min,max,stdev,n,positive,negative,excluded_family,component,cheap6_lfo_mean,cheap5_lfo_mean
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,V_minus_C,0.5771250000000002,0.5512500000000002
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,R_minus_C,0.6113750000000007,0.7012500000000008
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,5,3,BLiMP,V_minus_R,-0.0342500000000004,-0.15000000000000058
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,BLiMP,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,BLiMP,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,BLiMP,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Supplement,V_minus_C,0.7243750000000001,0.7353125
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,8,0,Supplement,R_minus_C,0.6861250000000004,0.7946875000000007
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Supplement,V_minus_R,0.038249999999999555,-0.05937500000000062
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Supplement,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Supplement,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Supplement,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,V_minus_C,0.7696250000000001,0.7918750000000001
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,7,1,EWoK,R_minus_C,0.6681250000000003,0.7721875000000005
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,5,3,EWoK,V_minus_R,0.10149999999999977,0.019687499999999636
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,EWoK,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,EWoK,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,EWoK,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Entity,V_minus_C,0.48887500000000017,0.4409375000000002
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Entity,R_minus_C,0.6756250000000006,0.7815625000000008
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,2,6,Entity,V_minus_R,-0.18675000000000044,-0.3406250000000006
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Entity,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Entity,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Entity,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,COMPS,V_minus_C,0.6956250000000003,0.6993750000000003
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,8,0,COMPS,R_minus_C,0.8286250000000006,0.9728125000000007
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,4,4,COMPS,V_minus_R,-0.13300000000000028,-0.27343750000000044
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,COMPS,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,COMPS,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,COMPS,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,6,2,Reading,V_minus_C,0.6437500000000002,0.6437500000000002
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,8,0,Reading,R_minus_C,0.8045000000000007,0.8045000000000007
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,4,4,Reading,V_minus_R,-0.16075000000000053,-0.16075000000000053
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Reading,view_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Reading,repeat_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1,1.0,,,,,,,,,,,,,,,,,,,,,,,8,0,0,Reading,VR_growth_vs_1x,0.0,0.0
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,V_minus_C,0.5087500000000001,0.5275000000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,BLiMP,R_minus_C,0.45337500000000047,0.49125000000000063
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,BLiMP,V_minus_R,0.05537499999999964,0.03624999999999956
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,3,5,BLiMP,view_growth_vs_1x,-0.0683750000000001,-0.02375000000000005
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,2,6,BLiMP,repeat_growth_vs_1x,-0.15800000000000014,-0.2100000000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,4,4,BLiMP,VR_growth_vs_1x,0.08962500000000004,0.18625000000000014
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,8,0,Supplement,V_minus_C,0.6284999999999997,0.6771874999999997
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,Supplement,R_minus_C,0.5041250000000004,0.5546875000000004
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Supplement,V_minus_R,0.12437499999999942,0.12249999999999928
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,3,5,Supplement,view_growth_vs_1x,-0.09587500000000031,-0.058125000000000315
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,5,3,Supplement,repeat_growth_vs_1x,-0.18200000000000016,-0.2400000000000002
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,3,5,Supplement,VR_growth_vs_1x,0.08612499999999987,0.1818749999999999
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,6,2,EWoK,V_minus_C,0.8557499999999998,0.9612499999999998
common_10M_80M,,,dose1p82,1.8209293539856442,,,,,,,,,,,,,,,,,,,,,,,8,7,1,EWoK,R_minus_C,0.45312500000000033,0.49093750000000047
