window,checkpoint,words,dose_name,dose,rho,metric,clean,view,repeat,V_minus_C,R_minus_C,V_minus_R,identity_residual,view_growth_vs_1x,repeat_growth_vs_1x,VR_growth_vs_1x,repeat_deterioration_component,view_growth_component,view_share_of_VR_growth,repeat_deterioration_share_of_VR_growth,family,mean,median,min,max,stdev,n,positive,negative,component
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,1.01375,0.9649999999999999,0.3499999999999943,2.220000000000006,0.6444696047359987,8,8,0,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,1.2175000000000002,1.105000000000004,0.4799999999999969,2.010000000000005,0.531056897678046,8,8,0,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,-0.20375000000000032,-0.3200000000000003,-0.6400000000000006,0.46999999999999886,0.41661690179005334,8,3,5,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,BLiMP,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,0.27750000000000075,1.240000000000002,-4.309999999999995,2.059999999999995,2.221947344110564,8,6,2,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,0.8437500000000009,0.8450000000000024,-1.1299999999999955,2.479999999999997,1.2351510896589586,8,6,2,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,-0.5662500000000001,-0.29499999999999815,-3.1799999999999997,0.5700000000000003,1.2255370542862292,8,3,5,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Supplement,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,0.05125000000000046,0.0799999999999983,-1.9799999999999969,2.030000000000001,1.5668935372713912,8,4,4,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,0.9337500000000016,1.110000000000003,-1.509999999999998,3.8700000000000045,1.7253151885959848,8,5,3,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,-0.8825000000000012,-0.4800000000000004,-3.690000000000005,1.269999999999996,1.5717119874291765,8,3,5,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,EWoK,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,1.455,1.9350000000000005,-0.9400000000000013,2.960000000000001,1.3718288106444938,8,6,2,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,0.8962500000000002,1.1399999999999988,-1.75,4.100000000000001,1.7405002359748685,8,6,2,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,0.5587499999999999,0.8399999999999981,-2.780000000000001,3.75,2.018283836049118,8,5,3,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Entity,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.4212499999999997,0.6549999999999976,-0.740000000000002,1.2899999999999991,0.6185798828191641,8,6,2,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.13125000000000053,0.19500000000000028,-0.5799999999999983,0.75,0.41027647472684164,8,6,2,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.28999999999999915,0.23000000000000043,-0.1600000000000037,1.25,0.43585711944561484,8,6,2,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,COMPS,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.6806250000000001,0.6849999999999996,-0.5199999999999996,1.5,0.6983830176097601,8,7,1,V_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.25187499999999985,0.1574999999999993,-0.129999999999999,0.8049999999999997,0.3670338394286203,8,5,3,R_minus_C
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.4287500000000003,0.42250000000000076,-0.39000000000000057,1.3000000000000007,0.47021841429580097,8,7,1,V_minus_R
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.0,0.0,0.0,0.0,0.0,8,0,0,view_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.0,0.0,0.0,0.0,0.0,8,0,0,repeat_growth_vs_1x
common_10M_80M,,,dose1,1.0,0.042352,,,,,,,,,,,,,,,,Reading,0.0,0.0,0.0,0.0,0.0,8,0,0,VR_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,1.1912499999999993,0.8100000000000023,-0.1600000000000037,2.740000000000009,1.061029654897276,8,7,1,V_minus_C
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,0.6200000000000001,0.759999999999998,-1.7199999999999989,2.1300000000000026,1.1693099308077894,8,6,2,R_minus_C
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,0.5712499999999991,0.5700000000000003,-1.3399999999999963,1.7700000000000102,0.9652451576080108,8,7,1,V_minus_R
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,0.17749999999999932,0.3399999999999963,-1.4299999999999997,1.7600000000000051,1.1236769998536058,8,5,3,view_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,-0.5975000000000001,-0.384999999999998,-2.8799999999999955,0.4299999999999997,1.0181741361027432,8,2,6,repeat_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,BLiMP,0.7749999999999995,0.9200000000000017,-1.5499999999999972,1.940000000000012,1.0655380934398486,8,7,1,VR_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,0.5925000000000011,1.245000000000001,-3.6400000000000006,3.3800000000000026,2.0536013662414074,8,6,2,V_minus_C
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,0.36625000000000085,0.20500000000000185,-2.1599999999999966,2.8000000000000043,1.9379660729744475,8,5,3,R_minus_C
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,0.22625000000000028,0.10999999999999943,-1.480000000000004,2.510000000000005,1.643853812582757,8,4,4,V_minus_R
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,0.3150000000000004,0.4599999999999973,-1.8199999999999932,1.990000000000002,1.2150367425367352,8,5,3,view_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,-0.47750000000000004,-0.18499999999999872,-3.3400000000000034,1.6300000000000026,1.5391068838777924,8,3,5,repeat_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,Supplement,0.7925000000000004,1.480000000000004,-1.6899999999999977,1.9400000000000048,1.341819127687698,8,6,2,VR_growth_vs_1x
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,EWoK,-0.5437499999999993,-0.7349999999999959,-2.4399999999999977,1.8699999999999974,1.466871671278709,8,2,6,V_minus_C
common_10M_80M,,,dose1p82,1.8209293539856442,0.07712,,,,,,,,,,,,,,,,EWoK,0.6212500000000007,0.46999999999999886,-1.5300000000000011,2.0999999999999943,1.0794103879962824,8,7,1,R_minus_C
