arch,seed,role,group,n,mean_gain,sd_gain,se_gain
D,43022,C,ALL,258,1.7388546757270085,2.740108821322211,0.17059172386352128
D,43022,C,dist::00_04,60,0.8641638294276264,2.0082525716010853,0.2592642921596407
D,43022,C,dist::05_09,44,1.4506361305459656,2.201371026408959,0.3318691690435484
D,43022,C,dist::10_19,76,1.6609454495963036,2.685998497292874,0.3081051582158354
D,43022,C,dist::20_39,48,2.1925102196012936,3.0836060655104456,0.44508019799930465
D,43022,C,dist::40_79,30,3.3824780705902313,3.4954694714309285,0.638182492857793
D,43022,C,nonidentical_remention,129,0.9658795736672342,2.299790863755466,0.20248529503528892
D,43022,C,primary::nonidentical_remention,67,1.8520539511847705,2.88260204938786,0.3521658906740615
D,43022,C,primary::verbatim_remention,125,2.5338901175310213,2.9333379031269087,0.2623657180947384
D,43022,C,primary_sensitivity,192,2.2959577053164444,2.92636806769767,0.21119242395414686
D,43022,C,subtype::exact_named_entity,125,2.541842761879166,2.964541103745927,0.265156617202726
D,43022,C,subtype::explicit_appositive_description,15,0.04430472585890029,0.46662964402539525,0.12048325601047007
D,43022,C,subtype::full_name_to_acronym,35,0.017217448140893658,0.41518144540222496,0.07017847301320515
D,43022,C,subtype::full_name_to_surname_or_final_token,37,3.343722666219414,3.157069737463013,0.5190190676913096
D,43022,C,subtype::indefinite_to_definite_nominal,4,1.5739240248998005,1.2975988811031394,0.6487994405515697
D,43022,C,subtype::nonperson_name_to_pronoun,11,-0.08307497299304514,0.18855363850258958,0.05685106106994536
D,43022,C,subtype::person_name_to_pronoun,31,0.01701191880850382,0.7179031443165903,0.12893921106095257
D,43022,C,verbatim_remention,129,2.5118297777867826,2.92945313435211,0.2579239667178755
D,43022,R,ALL,258,1.7058682438594985,3.194687015493696,0.19889252606927474
D,43022,R,dist::00_04,60,0.7968651488423347,2.4911698003644602,0.32160863831288033
D,43022,R,dist::05_09,44,0.9800067519007081,2.340728428468897,0.3528780878795264
D,43022,R,dist::10_19,76,1.7405490670679955,3.4366246269250387,0.3942078804118266
D,43022,R,dist::20_39,48,2.435207690804317,3.500892092737551,0.5053102480364643
D,43022,R,dist::40_79,30,3.333670088193483,3.627017672045676,0.6621997984830972
D,43022,R,nonidentical_remention,129,0.7833432676029952,2.325282426759075,0.20472970201030735
D,43022,R,primary::nonidentical_remention,67,1.6452583619138568,2.943626682225695,0.3596212361599074
D,43022,R,primary::verbatim_remention,125,2.627705469528834,3.6870466561807382,0.329779478377337
D,43022,R,primary_sensitivity,192,2.2848723642673576,3.4699024931369644,0.2504186423092975
D,43022,R,subtype::exact_named_entity,125,2.6429626268545787,3.7098794402393307,0.33182170466816047
D,43022,R,subtype::explicit_appositive_description,15,-0.08629573186238607,0.27884266315130657,0.071996866039809
D,43022,R,subtype::full_name_to_acronym,35,-0.09061077733834584,0.5164905982580325,0.08730284532901061
D,43022,R,subtype::full_name_to_surname_or_final_token,37,3.0052933217118585,3.3841983783943888,0.5563587862484699
D,43022,R,subtype::indefinite_to_definite_nominal,4,2.1730992595354715,1.1248206394193612,0.5624103197096806
D,43022,R,subtype::nonperson_name_to_pronoun,11,-0.0825846791267395,0.37506009070223184,0.1130848722450879
D,43022,R,subtype::person_name_to_pronoun,31,-0.15388150733485018,0.6323427484451295,0.11357211031892844
D,43022,R,verbatim_remention,129,2.628393220116002,3.6564250443184405,0.321930274418188
D,43022,V,ALL,258,1.7507076389673684,2.905065458293525,0.18086147550429252
D,43022,V,dist::00_04,60,0.7909215787425637,2.1262909700189265,0.27450298386915056
D,43022,V,dist::05_09,44,1.3936026107209425,2.3577272835094347,0.3554407616993039
D,43022,V,dist::10_19,76,1.641944917776671,2.7969354790939516,0.32083050276247504
D,43022,V,dist::20_39,48,2.119264036494618,3.1565416960997585,0.4556075494878684
D,43022,V,dist::40_79,30,3.8798757918179034,3.731679116367125,0.6813082764684067
D,43022,V,nonidentical_remention,129,0.9172887813001486,2.202913040496912,0.1939556783062042
D,43022,V,primary::nonidentical_remention,67,1.7737053729019208,2.774835515668695,0.3390001131293861
D,43022,V,primary::verbatim_remention,125,2.591296264628569,3.2540411114450434,0.29105028507080344
D,43022,V,primary_sensitivity,192,2.305991109703124,3.1125047774270023,0.2246256838876845
D,43022,V,subtype::exact_named_entity,125,2.6195341747403145,3.3143960131341723,0.2964485915888918
D,43022,V,subtype::explicit_appositive_description,15,0.04213992754618326,0.5990790673018085,0.15468155004809175
D,43022,V,subtype::full_name_to_acronym,35,0.03187184181241762,0.45817859827557245,0.07744631835162956
D,43022,V,subtype::full_name_to_surname_or_final_token,37,3.1682961745070175,3.0767980907760157,0.5058224902666337
D,43022,V,subtype::indefinite_to_definite_nominal,4,1.4776365558306377,0.6684866952044112,0.3342433476022056
D,43022,V,subtype::nonperson_name_to_pronoun,11,-0.026372563714782398,0.11870512909892295,0.035790943082893274
D,43022,V,subtype::person_name_to_pronoun,31,-0.01142647886468518,0.4130136954898914,0.0741794495196564
D,43022,V,verbatim_remention,129,2.584126496634588,3.269845671832575,0.2878938585309909
D,43122,C,ALL,258,1.7506421867875954,2.9327172138561446,0.18258299861044558
D,43122,C,dist::00_04,60,0.8448575473907921,2.336434578852279,0.3016324071132672
D,43122,C,dist::05_09,44,1.3817978750589783,2.5032353206161124,0.3773769236567566
D,43122,C,dist::10_19,76,1.3397531681285615,2.6944265486503736,0.30907192200947514
D,43122,C,dist::20_39,48,2.5046325167899743,3.14262117378704,0.4535982951617413
D,43122,C,dist::40_79,30,3.9377174420489207,3.5786220626869887,0.6533640095064435
D,43122,C,nonidentical_remention,129,0.9786305247375247,2.513720785962177,0.22132077442499581
D,43122,C,primary::nonidentical_remention,67,1.98033175007695,3.154347688871476,0.3853649044560237
D,43122,C,primary::verbatim_remention,125,2.5075362037618953,3.1191375005402224,0.27898413929506893
D,43122,C,primary_sensitivity,192,2.3235638162780865,3.133350601124952,0.22613010162812086
D,43122,C,subtype::exact_named_entity,125,2.55001557213068,3.1634702393876486,0.28294938000273256
D,43122,C,subtype::explicit_appositive_description,15,-0.12262944645351835,0.3690368302769808,0.09528489985332798
D,43122,C,subtype::full_name_to_acronym,35,-0.022936716533842546,0.5437372109824259,0.09190836346320287
D,43122,C,subtype::full_name_to_surname_or_final_token,37,3.5419862941914313,3.543816846127869,0.582599900699087
D,43122,C,subtype::indefinite_to_definite_nominal,4,1.6675999959309897,1.138120694447275,0.5690603472236375
D,43122,C,subtype::nonperson_name_to_pronoun,11,0.015092788602818142,0.112064703486459,0.03378877942791065
D,43122,C,subtype::person_name_to_pronoun,31,-0.07528868042212981,0.34369622627855934,0.06172966452622342
D,43122,C,verbatim_remention,129,2.5226538488376664,3.12229815447929,0.27490302399301136
D,43122,R,ALL,258,1.7116907992044064,2.9073655499403106,0.18100467295543604
D,43122,R,dist::00_04,60,0.8113903586131831,2.175511800428399,0.28085736575123005
D,43122,R,dist::05_09,44,1.2713223582091318,2.5268646497586977,0.38093917905738234
D,43122,R,dist::10_19,76,1.4521910547556585,2.617444736897093,0.300241502590443
D,43122,R,dist::20_39,48,2.426924632021433,3.3833134631777475,0.4883392346796394
D,43122,R,dist::40_79,30,3.6711906139428416,3.5463166938531665,0.6474658830935072
D,43122,R,nonidentical_remention,129,0.9248983270755803,2.384803500777689,0.20997024036682366
D,43122,R,primary::nonidentical_remention,67,1.7466508787709163,3.0311503383628176,0.370313952598212
D,43122,R,primary::verbatim_remention,125,2.4843343706950547,3.182836214792996,0.2846815255010104
D,43122,R,primary_sensitivity,192,2.226913568825694,3.1426068905374445,0.2267981167761208
D,43122,R,subtype::exact_named_entity,125,2.5424287075226504,3.208534683178682,0.28698006639013135
D,43122,R,subtype::explicit_appositive_description,15,0.05286104944017199,0.7614214046723247,0.1965981613161181
D,43122,R,subtype::full_name_to_acronym,35,-0.01089607175616991,0.3105993713456207,0.052500876041750764
D,43122,R,subtype::full_name_to_surname_or_final_token,37,3.168793442424152,3.4815773216661707,0.5723677859072167
D,43122,R,subtype::indefinite_to_definite_nominal,4,1.1251883904139202,0.3415410807024114,0.1707705403512057
D,43122,R,subtype::nonperson_name_to_pronoun,11,0.10514604283327406,0.1980966925953965,0.05972840014084591
D,43122,R,subtype::person_name_to_pronoun,31,0.016076358766244952,0.7845025945938707,0.1409008254428207
D,43122,R,verbatim_remention,129,2.4984832713332326,3.1680500499757813,0.27893125377861144
D,43122,V,ALL,258,1.8570969870196083,3.014514427118023,0.18767547067177143
