arch,seed,role,group,n,mean_gain,sd_gain,se_gain
D,43122,V,dist::00_04,60,0.6750678407442239,2.1207744574311667,0.2737908051564326
D,43122,V,dist::05_09,44,1.5592248391106047,2.7736332184839854,0.41814094053532824
D,43122,V,dist::10_19,76,1.5919966425812035,2.9261550627195687,0.33565300556643474
D,43122,V,dist::20_39,48,2.6870769035692015,3.2713899919949423,0.47218447312563194
D,43122,V,dist::40_79,30,4.001654102601525,3.373235116250532,0.6158656549796593
D,43122,V,nonidentical_remention,129,1.0520841858111496,2.6260141761015965,0.2312076561372587
D,43122,V,primary::nonidentical_remention,67,2.036878711618112,3.3331539675708406,0.40720956817214377
D,43122,V,primary::verbatim_remention,125,2.678356115182241,3.183089489139438,0.2847041790472345
D,43122,V,primary_sensitivity,192,2.4545072295635086,3.242049431855246,0.23397476402596246
D,43122,V,subtype::exact_named_entity,125,2.713599513689677,3.2046406114524206,0.28663177002656415
D,43122,V,subtype::explicit_appositive_description,15,-0.13097554842631023,0.5715367630504123,0.14757015766930276
D,43122,V,subtype::full_name_to_acronym,35,0.009142898165044325,0.5222391563219153,0.08827452899025952
D,43122,V,subtype::full_name_to_surname_or_final_token,37,3.645250157520242,3.7745305695574776,0.6205290031883628
D,43122,V,subtype::indefinite_to_definite_nominal,4,1.0530558675527573,0.6891749564258368,0.3445874782129184
D,43122,V,subtype::nonperson_name_to_pronoun,11,0.054035383530638435,0.23293860676903438,0.07023363253100251
D,43122,V,subtype::person_name_to_pronoun,31,0.061124087521626104,0.4519259149731388,0.08116829045247718
D,43122,V,verbatim_remention,129,2.662109788228067,3.1691357790825982,0.27902684689622353
