fineweb_pair_budget_words,fineweb_pair_fraction_of_10M,multiple_of_current_fineweb_pair_words,fraction_of_public_leader_pair_words,source_words_needed_at_current_compact_ratio,rewrite_words_needed_at_current_compact_ratio,cached_source_words_fraction_of_need,cached_sources_enough_without_new_scan,current_official_qwen_words_remaining_if_extra_pair_replaces_that_block_first,official_source_words_preserved_if_replace_qwen_first,official_source_words_displaced_after_qwen_block_exhausted
1000000,0.1,2.3612137583203268,0.100000310000961,618172.8,381827.2,1.4169030656676966,True,1080311,7919680,0
1500000,0.15,3.5418206374804906,0.1500004650014415,927259.3,572740.7,0.9446020437784646,False,580311,7919680,0
1750000,0.175,4.132124077060572,0.17500054250168176,1081802.5,668197.5,0.8096588946672554,False,330311,7919680,0
2000000,0.2,4.7224275166406535,0.200000620001922,1236345.7,763654.3,0.7084515328338483,False,80311,7919680,0
2500000,0.25,5.903034395800818,0.25000077500240253,1545432.1,954567.9,0.5667612262670787,False,0,7919680,419689
3500000,0.35,8.264248154121145,0.3500010850033635,2163605.0,1336395.0,0.4048294473336277,False,0,7919680,1419689
5000000,0.5,11.806068791601636,0.5000015500048051,3090864.2,1909135.8,0.28338061313353935,False,0,7919680,2919689
