group_field,group_value,n,true_nll_advantage_vs_decoy_mean,true_nll_advantage_vs_decoy_p05,true_nll_advantage_vs_decoy_p95,true_reduction_vs_base_mean,true_reduction_vs_base_p05,true_reduction_vs_base_p95
target_kind,content,3652,2.9396629166136,-3.7271190166473387,10.86233615875244,2.972783435897816,-3.70703192949295,10.896906900405884
target_kind,function,156,0.020717096634400196,-4.8200613260269165,3.617278575897217,-1.2192530570886073,-6.107298851013184,2.3213131427764893
target_kind,number,126,2.029225532231586,-0.5571328401565552,6.033775329589844,1.8418596088073202,-1.2468173503875732,5.453875422477722
target_kind,pronoun,98,1.9144009035460803,-2.835205864906311,6.461518096923827,0.29540444515189346,-5.20027232170105,5.80390076637268
target_kind,connective,64,0.756969764828682,-3.1777045249938967,3.861153864860534,-0.34800343215465546,-3.9651793003082276,3.1476124286651554
overlap_bin,0p4_0p6,2272,2.2389891360645366,-3.734666609764099,10.214402723312375,2.1668018917212897,-3.8246354818344113,10.251713991165147
overlap_bin,0p6_0p8,1239,3.6401555261982845,-3.192383003234863,11.046710491180416,3.5536948469090874,-3.4958012104034424,11.094303321838378
overlap_bin,lt0p4,310,1.0683879592756351,-4.321203851699829,9.191286182403566,1.02824802163748,-4.535673809051514,9.017127084732056
overlap_bin,ge0p8,275,4.735579373206605,-2.2422749042510985,12.013896083831792,4.583253300548955,-2.664142417907714,11.984663772583009
changed_frac_bin,0p2_0p4,2278,2.4125872454364785,-3.7233999729156495,10.37004737854004,2.3207031836556604,-3.897774910926819,10.395950174331668
changed_frac_bin,0p4_0p6,1238,3.2770427221843073,-3.4131969332695005,10.938486623764035,3.234282575031631,-3.2752853274345397,11.088019847869873
changed_frac_bin,ge0p6,294,4.313952900266567,-2.533032178878784,11.088283061981196,4.11680053202372,-2.7657959938049315,11.017776870727538
changed_frac_bin,lt0p2,286,1.4316986757298034,-4.607149124145508,9.17599081993103,1.413322800692249,-4.781824827194214,9.765767335891724
