i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start
0,edit:frontier_consolidation_fwcompact_medium_027780:0:58-63,row:264,compact_edit,content,aging,6189,7.364250183105469,0,214,8.161787986755371,0,268,7.73020076751709,0,282,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_029445,170,15333,750264,0p6_0p8,frontier_consolidation_fwcompact_medium_027780,20,264,29,63,58
1,edit:frontier_consolidation_fwcompact_medium_044135:0:70-74,row:1763,compact_edit,content,acks,3160,7.484060287475586,0,290,13.200932502746582,0,2392,6.116471290588379,0,91,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_030316,2191,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,74,70
2,edit:frontier_consolidation_fwcompact_medium_026603:0:0-4,row:2924,compact_edit,content,Many,3483,7.280070781707764,0,202,5.978316783905029,0,62,8.806966781616211,0,442,0p4_0p6,0.46153846153846156,0.46153846153846156,frontier_consolidation_fwcompact_medium_026079,2246,1294,752924,0p4_0p6,frontier_consolidation_fwcompact_medium_026603,13,2924,27,4,0
3,edit:frontier_consolidation_fwcompact_medium_056650:0:0-4,row:693,compact_edit,content,Cont,4898,11.140981674194336,0,3820,10.787700653076172,0,2861,10.301855087280273,0,2543,0p4_0p6,0.4375,0.5833333333333334,frontier_consolidation_fwcompact_medium_022332,31,7903,750693,0p4_0p6,frontier_consolidation_fwcompact_medium_056650,16,693,24,4,0
4,edit:frontier_consolidation_fwcompact_medium_044681:0:0-5,row:2940,compact_edit,connective,After,1482,2.5994274616241455,0,2,1.1719104051589966,1,1,4.557882785797119,0,9,0p2_0p4,0.36363636363636365,0.4,frontier_consolidation_fwcompact_medium_030115,2255,9086,752940,0p4_0p6,frontier_consolidation_fwcompact_medium_044681,11,2940,18,5,0
5,edit:frontier_consolidation_fwcompact_medium_001056:0:70-73,row:2957,compact_edit,content,ion,270,5.952654838562012,0,52,0.7169763445854187,1,1,6.217272758483887,0,70,0p4_0p6,0.5,0.5,frontier_consolidation_fwcompact_medium_027930,2271,6584,752957,0p4_0p6,frontier_consolidation_fwcompact_medium_001056,8,2957,13,73,70
6,edit:frontier_consolidation_fwcompact_medium_013981:0:0-6,row:2006,compact_edit,content,Almost,11394,11.042370796203613,0,2427,12.746220588684082,0,4639,13.698464393615723,0,7612,0p4_0p6,0.4,0.5238095238095238,frontier_consolidation_fwcompact_medium_010503,2984,2039,752006,0p4_0p6,frontier_consolidation_fwcompact_medium_013981,20,2006,32,6,0
7,edit:frontier_consolidation_fwcompact_medium_056914:0:29-32,row:1082,compact_edit,content,lia,15262,9.413864135742188,0,991,0.1147318184375763,1,1,9.946309089660645,0,1392,0p4_0p6,0.5263157894736842,0.3888888888888889,frontier_consolidation_fwcompact_medium_032594,1410,2586,751082,lt0p4,frontier_consolidation_fwcompact_medium_056914,19,1082,33,32,29
8,edit:frontier_consolidation_fwcompact_medium_013987:0:18-20,row:2931,compact_edit,content,'s,249,0.24514280259609222,1,1,0.11116280406713486,1,1,0.11441577970981598,1,1,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_006445,1833,2039,752931,0p6_0p8,frontier_consolidation_fwcompact_medium_013987,10,2931,13,20,18
9,edit:frontier_consolidation_fwcompact_medium_021435:0:81-85,row:1374,compact_edit,content,oked,8535,4.829833507537842,0,14,6.004980087280273,0,61,4.655322074890137,0,12,0p2_0p4,0.3076923076923077,0.3333333333333333,frontier_consolidation_fwcompact_medium_022750,1039,4586,751374,lt0p4,frontier_consolidation_fwcompact_medium_021435,13,1374,21,85,81
