arm,dose,rho,dose_name,data_arm,checkpoint,words,BLiMP,Supplement,EWoK,Entity,COMPS,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,EWoK_plus_Entity_sum,source_type,per_target,label
,1.8209293539856442,,dose1p82,,chck_10M,10000000.0,-1.4299999999999997,0.6699999999999946,0.18999999999999773,0.75,0.10000000000000142,0.5399999999999991,0.13666666666666316,0.055999999999997385,0.9399999999999977,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_20M,20000000.0,0.75,1.1599999999999966,0.28000000000000114,0.8800000000000026,-0.030000000000001137,-0.7549999999999999,0.38083333333333513,0.6080000000000041,1.1599999999999966,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_30M,30000000.0,-1.3900000000000006,1.1499999999999986,1.009999999999998,0.28999999999999915,-0.6900000000000048,-0.10500000000000043,0.044166666666662024,0.07399999999999096,1.3000000000000114,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_40M,40000000.0,-0.04999999999999716,1.990000000000002,-0.21999999999999886,-0.5899999999999999,-0.9899999999999949,-0.8600000000000012,-0.11999999999999034,0.028000000000005798,-0.8100000000000023,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_50M,50000000.0,0.269999999999996,-0.8200000000000003,-0.030000000000001137,-0.08000000000000185,-0.490000000000002,0.14499999999999957,-0.16750000000001108,-0.23000000000000398,-0.10999999999999943,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_60M,60000000.0,0.4099999999999966,-0.05999999999999517,-0.9600000000000009,0.21999999999999886,-0.4100000000000037,0.019999999999999574,-0.13000000000000256,-0.1600000000000037,-0.7399999999999949,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_70M,70000000.0,1.7600000000000051,0.25,-2.6599999999999966,2.4499999999999993,-0.8400000000000034,-0.5549999999999997,0.06749999999999545,0.19200000000000728,-0.20999999999999375,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_80M,80000000.0,1.0999999999999943,-1.8199999999999932,-2.3699999999999974,1.9200000000000017,-1.009999999999998,-0.40499999999999936,-0.4308333333333252,-0.43599999999999994,-0.44999999999998863,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_90M,90000000.0,1.3599999999999994,-2.9200000000000017,-1.1899999999999977,0.5699999999999967,-0.8099999999999952,-0.120000000000001,-0.518333333333338,-0.597999999999999,-0.6200000000000045,,,dose1p82_view_minus_dose1_view
,1.8209293539856442,,dose1p82,,chck_100M,100000000.0,1.6099999999999994,-1.9600000000000009,-1.4299999999999997,1.110000000000003,-0.8399999999999963,-0.08499999999999908,-0.26583333333333314,-0.3019999999999996,-0.3199999999999932,,,dose1p82_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_10M,10000000,-0.03999999999999915,1.7299999999999969,0.6899999999999977,1.2100000000000009,0.17999999999999972,0.9649999999999999,0.7891666666666666,0.7539999999999978,1.9000000000000057,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_20M,20000000,0.30000000000000426,2.4499999999999957,-0.529999999999994,-0.6600000000000001,0.010000000000005116,-0.3650000000000002,0.20083333333333542,0.31400000000000006,-1.1899999999999977,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_30M,30000000,-2.780000000000001,-2.769999999999996,0.6899999999999977,2.210000000000001,-0.8700000000000045,1.075000000000001,-0.40750000000000597,-0.7040000000000006,2.9000000000000057,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_40M,40000000,0.10000000000000142,2.039999999999999,0.980000000000004,0.7699999999999996,-1.3299999999999983,-0.8800000000000008,0.28000000000000114,0.5120000000000005,1.75,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_50M,50000000,1.1899999999999977,2.1300000000000026,1.9200000000000017,1.7799999999999976,-0.5799999999999983,0.3199999999999985,1.1266666666666652,1.2880000000000038,3.700000000000003,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_60M,60000000,0.960000000000008,2.720000000000006,1.6199999999999974,0.9200000000000017,-0.25,-0.5300000000000011,0.9066666666666663,1.1940000000000026,2.5400000000000063,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_70M,70000000,0.6299999999999955,-0.5300000000000011,-2.0,0.7399999999999984,-0.6400000000000006,-1.2850000000000001,-0.514166666666668,-0.35999999999999943,-1.2600000000000051,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_80M,80000000,0.18999999999999773,-0.28999999999999915,-1.2100000000000009,0.9200000000000017,-1.0,-0.6399999999999997,-0.33833333333333115,-0.2779999999999987,-0.28999999999999204,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_90M,90000000,0.730000000000004,-1.8599999999999994,0.23000000000000398,0.4299999999999997,-0.9600000000000009,-0.41999999999999993,-0.3083333333333371,-0.28600000000000136,0.6599999999999966,,,dose2p64_view_minus_dose1_view
,2.641480921798262,,dose2p64,,chck_100M,100000000,0.9699999999999989,-1.6200000000000045,-0.240000000000002,0.6900000000000013,-1.1299999999999955,-0.4500000000000002,-0.29666666666666686,-0.26600000000000534,0.45000000000000284,,,dose2p64_view_minus_dose1_view
