word,child_aoa,control_model_aoa_log10_step,schedule_model_aoa_log10_step,schedule_minus_control_model_aoa,control_n_points,schedule_n_points,enrichment_model_aoa_log10_step,enrichment_minus_control_model_aoa
animal,24.330089945071023,6.847640268862069,6.909343570376761,0.061703301514691944,12,12,6.812132498769566,-0.03550777009250261
arm,21.99539913263884,6.8977771461450175,7.3819359679539485,0.484158821808931,12,12,6.997324234842038,0.09954708869702067
aunt,25.525525066233225,7.138846249987527,7.078749829444379,-0.060096420543147566,12,12,6.996177611627181,-0.1426686383603455
bad,25.24613058723793,6.767849409093061,6.788095488479409,0.02024607938634837,12,12,6.737082109226987,-0.030767299866074183
bed,20.670831293608018,6.847240852363097,6.71378212588419,-0.13345872647890644,12,12,6.68562310704825,-0.16161774531484685
better,27.4836269032841,6.177050149373433,6.452739580196047,0.2756894308226139,12,12,6.027351504012865,-0.14969864536056843
bird,18.06848056468084,6.783664071918494,6.6435462207600136,-0.14011785115848063,12,12,6.8414152062978255,0.057751134379331326
black,25.804687037784696,6.791021696106416,6.45544989254271,-0.3355718035637061,12,12,6.73162127516165,-0.059400420944765386
block,21.984059781669306,7.299873438178085,7.464605755594526,0.16473231741644145,12,12,7.050983712696266,-0.24888972548181876
bottom,22.21268312207221,6.868772978828494,6.873262103083175,0.00448912425468162,12,12,6.736231770771039,-0.13254120805745462
boy,23.9923879977722,6.948168732459629,6.0447582282929995,-0.9034105041666294,12,12,6.802467501760449,-0.14570123069917962
break,25.062903657705817,6.877870534723769,6.469195624521304,-0.40867491020246494,12,12,6.803024925535399,-0.0748456091883698
breakfast,24.161838030910175,6.8826596419028965,6.832936345118215,-0.04972329678468146,12,12,,
bring,26.76659041051839,6.786593827713403,6.350842397050344,-0.43575143066305877,12,12,,
brother,27.4731814681999,6.904306659015062,7.074867444916107,0.17056078590104473,12,12,6.785025874623354,-0.11928078439170786
brown,26.727189326690834,6.878577011297193,6.863281747658839,-0.015295263638354761,12,12,6.576331190586812,-0.30224582071038153
build,26.870721478274586,6.861371600453652,6.999569221426836,0.1381976209731839,12,12,6.763526656213961,-0.09784494423969115
butter,25.064198626684203,7.08488538028742,6.46892596466523,-0.6159594156221901,12,12,7.003556394304682,-0.08132898598273819
buy,27.89149822311601,6.843002116480016,6.952143180686469,0.10914106420645275,12,12,6.7783279816304605,-0.06467413484955564
car,17.496796781553705,6.804825635156404,6.2592672901382755,-0.5455583450181285,12,12,6.980647931933387,0.1758222967769827
careful,26.38063961823633,6.825420552109719,7.2954857778687,0.47006522575898124,12,12,6.811183186983201,-0.014237365126517965
carry,25.336988814569168,6.888600415674404,7.001424177055212,0.11282376138080874,12,12,6.837392443652737,-0.05120797202166649
cat,18.228507346753123,6.912722798085997,6.022030958095695,-0.8906918399903017,12,12,6.486106721114071,-0.42661607697192583
catch,25.372205870213676,6.949783024753164,6.872493278639338,-0.07728974611382622,12,12,6.88585348618092,-0.0639295385722436
cold,21.557924255355925,6.937477732324332,6.838410670693111,-0.09906706163122081,12,12,6.7435996897180255,-0.1938780426063067
comb,25.991290549889374,7.007763559370102,7.369641013108691,0.3618774537385887,12,12,7.157301292479508,0.14953773310940566
corn,24.30521021007631,7.2950122589932525,7.354248352036616,0.059236093043363525,12,12,7.021745670596132,-0.2732665883971208
cover,29.120587673006845,6.9959063286522625,7.076743239064608,0.0808369104123452,12,12,7.089056083398665,0.09314975474640264
cry,23.357992706748902,6.832514034215693,6.899832920647806,0.06731888643211281,12,12,6.88509817528837,0.052584141072676616
cut,26.48415491454615,7.090003207160449,6.176003350081795,-0.9139998570786538,12,12,,
day,28.57030413820359,6.785232320380633,6.835696249109501,0.050463928728867735,12,12,6.673273073020774,-0.11195924735985852
doctor,25.058857514368704,6.843889458002399,6.91205299744843,0.06816353944603115,12,12,6.783692533134177,-0.06019692486822148
door,21.094330119099542,6.772640001685516,6.8325602787660245,0.05992027708050873,12,12,6.611747683044565,-0.16089231864095055
ear,18.557045885439496,6.865182449831633,6.94135013960896,0.07616768977732669,12,12,6.920536318134986,0.05535386830335298
eat,20.38286318166485,7.067938649008319,6.012197182986657,-1.0557414660216615,12,12,,
eye,17.56441529060678,6.891881297002771,6.867582430690367,-0.024298866312404854,12,12,6.788788081119263,-0.10309321588350873
face,23.708999528999072,6.28000553416274,6.791187573930938,0.5111820397681983,12,12,6.043397798550642,-0.2366077356120977
fast,25.50491253156236,6.679997035144916,6.893843844629131,0.21384680948421497,12,12,6.6874766607725835,0.007479625627667907
feed,27.19892571562119,7.029843302177482,7.280065702345503,0.25022240016802133,12,12,6.980432686001084,-0.04941061617639786
find,25.64249106636554,6.757912365164002,6.851745289250208,0.0938329240862057,12,12,,
finger,21.849311819029033,6.8031676373579675,6.981098239072266,0.17793060171429875,12,12,6.765106582587385,-0.038061054770582636
first,28.986200167021508,6.219731679655043,6.756759316288848,0.5370276366338054,12,12,6.149362136225597,-0.07036954342944579
fix,25.022576246429,7.007426441502832,7.454980026561286,0.4475535850584542,12,12,7.225119096293346,0.2176926547905138
flag,27.41475309249198,7.036336652190529,7.093604124733674,0.05726747254314546,12,12,7.004648356084109,-0.03168829610641932
food,23.482138731792105,6.935158284633596,6.240721953666168,-0.6944363309674282,12,12,6.479607203044063,-0.45555108158953317
friend,26.671894161677375,6.810561892631578,6.803533606377741,-0.007028286253837557,12,12,6.772748137419114,-0.037813755212463995
game,26.554617597246853,6.938283654488839,6.959206480448191,0.020922825959351243,12,12,6.775361777794616,-0.16292187669422376
get,24.364636413972246,6.701658479608453,6.398712890827922,-0.30294558878053035,12,12,6.13052535126583,-0.5711331283426224
give,25.598843914428592,6.722652500236225,6.59622642630692,-0.12642607392930483,12,12,6.268515077204061,-0.4541374230321642
glass,26.12412706803039,6.94108871222761,6.870729197524963,-0.07035951470264656,12,12,6.841560180257457,-0.09952853197015266
go,19.7106217091394,6.502431975601951,6.007867221377932,-0.4945647542240188,12,12,6.01064415780286,-0.4917878177990911
grass,23.607923804559615,6.591638539495575,6.9307350758299755,0.3390965363344005,12,12,,
green,24.21157425029654,6.846960714896573,6.278487880943976,-0.5684728339525975,12,12,6.683055482380165,-0.16390523251640854
hair,19.9970789541941,6.8968074274351086,6.26583167498829,-0.6309757524468189,12,12,,
hand,21.18568722469747,6.772612923880118,6.755222253946954,-0.01739066993316385,12,12,6.596293966957933,-0.17631895692218524
happy,23.945755954119555,6.813830067680654,6.78117455740922,-0.032655510271434096,12,12,6.786866798694179,-0.026963268986475164
hard,28.11969960472,6.774071121291152,6.805861560694498,0.031790439403345694,12,12,6.732920127667056,-0.0411509936240968
have,25.902575376900778,6.126562850421264,6.336611396648697,0.21004854622743352,12,12,6.081473559259143,-0.045089291162121015
hear,26.993574492322516,6.796059576286164,6.768075495779587,-0.027984080506577413,12,12,6.753526803069337,-0.042532773216827024
help,22.549129293001915,6.780134227396943,6.827196498876786,0.04706227147984254,12,12,6.673850914124894,-0.10628331327204954
hide,25.18501031653013,6.8596369882564385,6.98310854256921,0.12347155431277113,12,12,6.837502910258224,-0.02213407799821443
high,26.708808302132432,6.8380180351438655,6.749859828761737,-0.08815820638212823,12,12,6.2731118070862015,-0.564906228057664
hold,25.248945239146906,6.876454794213496,6.287757102430249,-0.5886976917832465,12,12,6.516252424529937,-0.36020236968355857
home,21.78006375395454,6.489122841642989,6.798050627931718,0.30892778628872897,12,12,6.286161741700481,-0.20296109994250777
horse,21.207865708611973,6.834598719012747,6.635231855439584,-0.1993668635731627,12,12,6.7492848056777195,-0.08531391333502736
hose,28.234924324341566,6.886621117910888,6.973761695356308,0.08714057744542014,12,12,6.962382731161545,0.07576161325065733
house,23.090503002489797,6.756510509082271,6.847788792249949,0.09127828316767772,12,12,6.4390007842267,-0.3175097248555714
ice,23.464365625838706,6.907366496573917,6.768193344163024,-0.13917315241089234,12,12,,
knife,25.31616693081719,6.980177230782739,7.282426377150326,0.30224914636758715,12,12,6.89646070379121,-0.08371652699152943
later,28.08468448252086,6.598577204513575,6.990344314759652,0.3917671102460769,12,12,6.421088963592729,-0.17748824092084536
leg,22.967834744581136,6.935113334685632,6.631006148776108,-0.30410718590952435,12,12,7.255601349413181,0.3204880147275482
lick,27.831628726846333,6.916316574326878,6.912262561254451,-0.004054013072426699,12,12,7.027726824390662,0.11141025006378413
light,21.573068682350033,6.894911206501006,6.516527162038839,-0.3783840444621669,12,12,6.587525588287293,-0.30738561821371313
like,25.75007721668643,6.274762922185662,6.020025644856286,-0.2547372773293759,12,12,6.03749558987293,-0.23726733231273212
love,23.249110931637965,6.8065087247929625,6.727600362575691,-0.07890836221727149,12,12,6.134317447169404,-0.6721912776235586
lunch,24.37307490241634,6.963010409918432,6.308072315668022,-0.6549380942504106,12,12,7.047923839727529,0.084913429809097
make,26.76673663101711,6.282202056434359,6.299719599589533,0.017517543155173954,12,12,6.171211915410977,-0.11099014102338245
man,26.239323453067815,6.353520665542943,6.7263105740677505,0.3727899085248074,12,12,6.512754996902665,0.15923433135972154
money,24.59030107938586,6.908411334289533,6.781080371840445,-0.12733096244908815,12,12,6.933061141644036,0.024649807354503395
morning,26.726898941775957,6.9510041110058625,6.791866957527945,-0.1591371534779178,12,12,6.753465524855173,-0.19753858615068953
mouth,20.209807579108084,6.890375869965413,6.368695086893251,-0.5216807830721626,12,12,6.803525535223067,-0.08685033474234594
movie,27.917043742420812,6.682062260665693,6.976456537118765,0.2943942764530725,12,12,6.815997916344843,0.13393565567915022
muffin,26.196634213174725,6.866894413671774,7.136554603718384,0.26966019004661046,12,12,7.024183372029203,0.1572889583574293
new,28.840785987993776,6.352696757481915,6.884698305796551,0.5320015483146356,12,12,6.286973530067265,-0.06572322741464998
night,24.482917590787725,6.596687406916407,6.6069144717727335,0.010227064856326074,12,12,6.481011917195902,-0.11567548972050545
nose,17.566643472145085,6.998456161522492,6.791306720094747,-0.20714944142774527,12,12,6.986579348237302,-0.011876813285190302
open,22.114445562602707,6.8260890546215505,6.05576159008356,-0.7703274645379903,12,12,6.019930047495911,-0.8061590071256397
outside,20.586834888836407,6.903701106366022,6.554070688948043,-0.34963041741797873,12,12,6.569786993104906,-0.3339141132611152
park,22.878206476855862,6.912847232085124,7.152693886731288,0.23984665464616395,12,12,6.938786055285619,0.025938823200495342
pen,24.683860647952418,7.36406681105335,7.460479628068122,0.09641281701477222,12,12,7.386242388875306,0.022175577821956338
penguin,26.410930852292893,7.0637395111800085,6.672330612876276,-0.39140889830373293,12,12,7.023254160406682,-0.04048535077332627
people,27.729170763166103,6.221130598938549,6.925862113429861,0.7047315144913116,12,12,6.380016427074337,0.1588858281357881
picture,24.12466878869911,7.080758544696047,6.316232708819447,-0.7645258358765998,12,12,6.8070451197987625,-0.27371342489728434
plant,27.17845363579105,7.2405857418881885,7.030538477134059,-0.21004726475412916,12,12,7.149859250875965,-0.09072649101222385
play,22.7220598630656,6.789201115072752,6.019613390918419,-0.7695877241543325,12,12,6.00952113265474,-0.7796799824180116
police,28.97367753515442,6.787406886812379,7.005040843175922,0.2176339563635432,12,12,6.865190415016251,0.07778352820387191
potty,21.289637906455926,7.296270737943502,7.020205484103634,-0.27606525383986735,12,12,6.998618146901477,-0.29765259104202446
pretzel,27.360483906307053,6.679887551010511,6.974955695644207,0.2950681446336958,12,12,6.857019972266677,0.17713242125616624
pull,26.217858907282245,6.972011738358826,7.434909109260659,0.4628973709018336,12,12,,
rain,22.292559546340982,6.852267324359321,6.86406946296382,0.011802138604498857,12,12,6.8377209752737285,-0.014546349085592603
read,23.095216853951683,6.795216844272359,6.287772870571072,-0.507443973701287,12,12,6.0242813121413645,-0.7709355321309941
