window,dose_name,metric,family_set,n,checkpoints,V_minus_C_mean,V_minus_C_median,V_minus_C_min,V_minus_C_max,V_minus_C_stdev,V_minus_C_positive,V_minus_C_negative,R_minus_C_mean,R_minus_C_median,R_minus_C_min,R_minus_C_max,R_minus_C_stdev,R_minus_C_positive,R_minus_C_negative,V_minus_R_mean,V_minus_R_median,V_minus_R_min,V_minus_R_max,V_minus_R_stdev,V_minus_R_positive,V_minus_R_negative,view_growth_vs_1x_mean,view_growth_vs_1x_median,view_growth_vs_1x_min,view_growth_vs_1x_max,view_growth_vs_1x_stdev,view_growth_vs_1x_positive,view_growth_vs_1x_negative,repeat_growth_vs_1x_mean,repeat_growth_vs_1x_median,repeat_growth_vs_1x_min,repeat_growth_vs_1x_max,repeat_growth_vs_1x_stdev,repeat_growth_vs_1x_positive,repeat_growth_vs_1x_negative,VR_growth_vs_1x_mean,VR_growth_vs_1x_median,VR_growth_vs_1x_min,VR_growth_vs_1x_max,VR_growth_vs_1x_stdev,VR_growth_vs_1x_positive,VR_growth_vs_1x_negative,view_fraction_of_positive_vr_growth,repeat_collapse_fraction_of_positive_vr_growth
common_10M_80M,dose1,cheap5_exEntity,BLiMP+Supplement+EWoK+COMPS,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.4409375000000002,0.3550000000000004,-0.9049999999999958,1.567499999999999,0.7417389528042472,7,1,0.7815625000000008,0.8500000000000005,-0.2249999999999961,1.7200000000000006,0.5854759015108986,7,1,-0.3406250000000006,-0.43124999999999947,-0.9175000000000022,0.36499999999999666,0.432810066393364,2,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,cheap6_exEntity,BLiMP+Supplement+EWoK+COMPS+Reading,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.48887500000000017,0.44550000000000045,-0.8279999999999965,1.423999999999999,0.7070632296437741,7,1,0.6756250000000006,0.7224999999999993,-0.20599999999999669,1.4160000000000004,0.49857910606041206,7,1,-0.18675000000000044,-0.26,-0.6219999999999999,0.3709999999999972,0.347942831921731,2,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,EWoK_plus_Entity_mean,EWoK+Entity,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.7531250000000003,0.5700000000000003,-0.8649999999999984,2.1799999999999997,0.9855380600753794,7,1,0.9150000000000009,0.7750000000000012,-0.23499999999999943,3.134999999999998,1.086544325570094,6,2,-0.16187500000000066,0.03749999999999876,-2.4849999999999994,0.9549999999999965,1.0537481994561801,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,EWoK_plus_Entity_sum,composite,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,1.5062499999999979,1.1399999999999935,-1.7299999999999898,4.359999999999999,1.9710761201507576,7,1,1.83,1.5500000000000043,-0.46999999999999886,6.269999999999982,2.173088651140183,6,2,-0.3237500000000022,0.07499999999999574,-4.969999999999999,1.9099999999999966,2.1074963989123594,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,cheap5_no_GlobalPIQA_Reading,composite,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.6437499999999989,0.7079999999999984,-0.7819999999999965,1.7199999999999989,0.8051444857024991,6,2,0.8045,0.9390000000000001,0.028000000000005798,1.5959999999999965,0.5545178085508159,8,0,-0.16075000000000106,-0.038000000000000256,-0.9879999999999995,0.4199999999999946,0.5100329821267856,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,cheap6_no_GlobalPIQA,composite,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.6498958333333338,0.7254166666666713,-0.7383333333333297,1.5749999999999957,0.7692486848779834,6,2,0.7123958333333347,0.8287499999999994,0.0016666666666722563,1.3250000000000028,0.48168755876177016,8,0,-0.06250000000000089,0.06708333333333627,-0.7416666666666671,0.4158333333333246,0.46540496958486105,4,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,BLiMP,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,1.01375,0.9649999999999999,0.3499999999999943,2.220000000000006,0.6444696047359987,8,0,1.2175000000000002,1.105000000000004,0.4799999999999969,2.010000000000005,0.531056897678046,8,0,-0.20375000000000032,-0.3200000000000003,-0.6400000000000006,0.46999999999999886,0.41661690179005334,3,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,COMPS,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.4212499999999997,0.6549999999999976,-0.740000000000002,1.2899999999999991,0.6185798828191641,6,2,0.13125000000000053,0.19500000000000028,-0.5799999999999983,0.75,0.41027647472684164,6,2,0.28999999999999915,0.23000000000000043,-0.1600000000000037,1.25,0.43585711944561484,6,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,EWoK,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.05125000000000046,0.0799999999999983,-1.9799999999999969,2.030000000000001,1.5668935372713912,4,4,0.9337500000000016,1.110000000000003,-1.509999999999998,3.8700000000000045,1.7253151885959848,5,3,-0.8825000000000012,-0.4800000000000004,-3.690000000000005,1.269999999999996,1.5717119874291765,3,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,Entity,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,1.455,1.9350000000000005,-0.9400000000000013,2.960000000000001,1.3718288106444938,6,2,0.8962500000000002,1.1399999999999988,-1.75,4.100000000000001,1.7405002359748685,6,2,0.5587499999999999,0.8399999999999981,-2.780000000000001,3.75,2.018283836049118,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,Reading,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.6806250000000001,0.6849999999999996,-0.5199999999999996,1.5,0.6983830176097601,7,1,0.25187499999999985,0.1574999999999993,-0.129999999999999,0.8049999999999997,0.3670338394286203,5,3,0.4287500000000003,0.42250000000000076,-0.39000000000000057,1.3000000000000007,0.47021841429580097,7,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1,Supplement,native,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.27750000000000075,1.240000000000002,-4.309999999999995,2.059999999999995,2.221947344110564,6,2,0.8437500000000009,0.8450000000000024,-1.1299999999999955,2.479999999999997,1.2351510896589586,6,2,-0.5662500000000001,-0.29499999999999815,-3.1799999999999997,0.5700000000000003,1.2255370542862292,3,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,
common_10M_80M,dose1p82,cheap5_exEntity,BLiMP+Supplement+EWoK+COMPS,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.2790625,0.49624999999999897,-1.0224999999999973,0.9850000000000012,0.6190616999886656,7,1,0.36656250000000057,0.3462500000000004,-0.36999999999999744,0.9400000000000013,0.45135893520883896,7,1,-0.08750000000000058,0.17874999999999908,-0.9150000000000009,0.6475000000000026,0.5903887944155352,5,3,-0.1618750000000002,-0.18625000000000114,-1.0249999999999986,0.5399999999999991,0.4559835327540423,3,5,-0.41500000000000026,-0.48875000000000135,-0.9224999999999994,0.33750000000000036,0.5149098395419754,2,6,0.25312500000000004,0.24375000000000124,-0.5925000000000011,1.0775000000000023,0.5838859202422535,5,3,-0.639506172839507,1.6395061728395068
common_10M_80M,dose1p82,cheap6_exEntity,BLiMP+Supplement+EWoK+COMPS+Reading,8,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M,0.30999999999999994,0.3644999999999978,-0.813999999999998,0.9160000000000007,0.5217952526751135,7,1,0.3536250000000004,0.24500000000000083,-0.32899999999999796,0.9070000000000011,0.41018704357193625,7,1,-0.04362500000000047,0.16299999999999928,-0.6520000000000007,0.5400000000000024,0.46943946437670336,5,3,-0.17887500000000023,-0.10549999999999979,-0.9009999999999987,0.28099999999999936,0.3539965445755482,2,6,-0.3220000000000002,-0.39100000000000046,-0.7590000000000003,0.28200000000000036,0.42145089529250884,2,6,0.14312499999999997,0.20050000000000107,-0.4820000000000011,0.6860000000000017,0.42077664163170625,5,3,-1.2497816593886482,2.2497816593886477
