domain,n,inherited16_non_submission_43022_acc,inherited16_non_submission_43122_acc,legal16_8x480_43022_acc,legal16_8x480_43122_acc,legal40_8x480_43022_acc,legal40_8x480_43122_acc,legal40_12x384_depth_43022_acc,depth_minus_legal40_43022,legal40_minus_legal16_43022,legal40_minus_inherited_43022,leader_EWoK_macro,legal40_depth_both_wrong_frac,all_legal_wrong_frac,inherited43022_right_but_legal40_depth_wrong_frac,contrast_term_in_context_diff_frac,both_wrong_context_diff_min_count_mean,both_wrong_legal40_context_frac_lt50_mean
physical-dynamics,120,60.0,59.166666666666664,50.0,42.5,50.0,45.833333333333336,40.833333333333336,-9.166666666666664,0.0,-10.0,56.07,0.31666666666666665,0.041666666666666664,0.15,0.25,311.030303030303,0.03815116189596799
spatial-relations,490,47.55102040816327,43.265306122448976,49.38775510204081,44.285714285714285,48.16326530612245,45.30612244897959,46.326530612244895,-1.8367346938775526,-1.224489795918366,0.6122448979591795,56.07,0.39183673469387753,0.2530612244897959,0.09591836734693877,0.3673469387755102,3072.6176470588234,0.036448054863060665
physical-relations,818,51.100244498777506,49.75550122249389,48.41075794621027,51.100244498777506,51.22249388753056,52.44498777506112,47.79951100244499,-3.422982885085574,2.8117359413202934,0.12224938875305469,56.07,0.4070904645476773,0.2555012224938875,0.1234718826405868,0.12224938875305623,1274.6929133858268,0.030955298112160856
social-relations,1548,49.741602067183464,49.87080103359173,47.86821705426357,50.71059431524548,51.22739018087855,49.354005167958654,51.42118863049095,0.19379844961240167,3.3591731266149836,1.4857881136950866,56.07,0.3488372093023256,0.1582687338501292,0.0755813953488372,0.14857881136950904,520.4351464435147,0.15770794830053964
quantitative-properties,314,55.4140127388535,57.32484076433121,52.22929936305732,55.732484076433124,56.05095541401274,54.45859872611465,51.59235668789809,-4.458598726114651,3.8216560509554185,0.63694267515924,56.07,0.29936305732484075,0.1178343949044586,0.09235668789808917,0.34394904458598724,1350.3181818181818,0.08492977953364292
material-properties,170,56.470588235294116,54.705882352941174,54.705882352941174,54.705882352941174,59.411764705882355,46.470588235294116,51.76470588235294,-7.647058823529413,4.705882352941181,2.941176470588239,56.07,0.29411764705882354,0.12352941176470589,0.08823529411764706,0.29411764705882354,433.48,0.0370668457146718
agent-properties,2210,49.95475113122172,51.71945701357466,50.04524886877828,50.27149321266968,51.49321266968326,49.95475113122172,52.171945701357465,0.6787330316742057,1.4479638009049793,1.53846153846154,56.07,0.38552036199095024,0.23800904977375564,0.06470588235294118,0.24434389140271492,1173.8837920489298,0.06875397195075873
social-properties,328,55.48780487804878,54.573170731707314,41.46341463414634,43.292682926829265,49.08536585365854,55.48780487804878,52.74390243902439,3.6585365853658516,7.621951219512198,-6.40243902439024,56.07,0.3170731707317073,0.08231707317073171,0.13109756097560976,0.1524390243902439,565.7,0.08530986766003902
material-dynamics,770,58.18181818181818,46.62337662337662,47.922077922077925,46.103896103896105,50.77922077922078,47.532467532467535,52.98701298701299,2.2077922077922096,2.857142857142854,-7.402597402597401,56.07,0.2506493506493506,0.1038961038961039,0.13636363636363635,0.2987012987012987,67.2279792746114,0.060442881815938806
physical-interactions,556,51.2589928057554,48.02158273381295,51.07913669064748,47.84172661870504,49.460431654676256,49.10071942446043,53.9568345323741,4.496402877697847,-1.6187050359712245,-1.7985611510791415,56.07,0.3039568345323741,0.17805755395683454,0.08453237410071943,0.17985611510791366,515.57,0.040406671754496505
social-interactions,294,53.74149659863946,55.78231292517007,55.10204081632653,57.142857142857146,49.31972789115646,54.08163265306123,54.42176870748299,5.102040816326529,-5.782312925170068,-4.421768707482997,56.07,0.30952380952380953,0.11564625850340136,0.09523809523809523,0.06802721088435375,452.1842105263158,0.12656255229844735
