pattern,n,frac,inherited16_non_submission_43022,inherited16_non_submission_43122,legal16_8x480_43022,legal16_8x480_43122,legal40_8x480_43022,legal40_8x480_43122,legal40_12x384_depth_43022,domains_top,ContextDiff_top,coverage
0111101,32,0.00420057757941717,0,1,1,1,1,0,1,"{""agent-properties"": 7, ""material-dynamics"": 5, ""physical-interactions"": 3, ""quantitative-properties"": 4, ""social-relations"": 8}","{""antonym"": 15, ""material"": 5, ""number"": 3, ""other"": 2, ""variable swap"": 6}","{""all_content_mean_count_mean"": 1935.768005952381, ""all_content_mean_count_median"": 950.5, ""concept_min_count_mean"": 1053.5625, ""concept_min_count_median"": 261.0, ""context_diff_min_count_mean"": 956.92, ""context_diff_min_count_median"": 45.0, ""contrast_term_anywhere_frac"": 0.40625, ""contrast_term_in_context_diff_frac"": 0.15625, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.08097436717161781, ""legal40_context_frac_lt50_median"": 0.08333333333333333, ""n"": 32, ""target_diff_min_count_mean"": 341.35714285714283, ""target_diff_min_count_median"": 22.0}"
1101010,32,0.00420057757941717,1,1,0,1,0,1,0,"{""material-dynamics"": 9, ""physical-dynamics"": 3, ""physical-interactions"": 3, ""social-properties"": 4, ""social-relations"": 6}","{""antonym"": 17, ""material"": 10, ""negation"": 2, ""other"": 3}","{""all_content_mean_count_mean"": 1594.795349702381, ""all_content_mean_count_median"": 1413.5714285714287, ""concept_min_count_mean"": 371.28125, ""concept_min_count_median"": 68.0, ""context_diff_min_count_mean"": 625.3, ""context_diff_min_count_median"": 59.0, ""contrast_term_anywhere_frac"": 0.46875, ""contrast_term_in_context_diff_frac"": 0.46875, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.06265538646295225, ""legal40_context_frac_lt50_median"": 0.05555555555555555, ""n"": 32, ""target_diff_min_count_mean"": 166.79310344827587, ""target_diff_min_count_median"": 9.0}"
0010111,31,0.004069309530060384,0,0,1,0,1,1,1,"{""agent-properties"": 6, ""material-dynamics"": 12, ""material-properties"": 1, ""physical-relations"": 7, ""spatial-relations"": 3}","{""antonym"": 9, ""material"": 12, ""other"": 1, ""variable swap"": 9}","{""all_content_mean_count_mean"": 1685.199839407904, ""all_content_mean_count_median"": 1194.625, ""concept_min_count_mean"": 381.41379310344826, ""concept_min_count_median"": 323.0, ""context_diff_min_count_mean"": 1183.3181818181818, ""context_diff_min_count_median"": 96.0, ""contrast_term_anywhere_frac"": 0.6451612903225806, ""contrast_term_in_context_diff_frac"": 0.3225806451612903, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.04818577479867803, ""legal40_context_frac_lt50_median"": 0.0, ""n"": 31, ""target_diff_min_count_mean"": 238.91304347826087, ""target_diff_min_count_median"": 31.0}"
0100010,31,0.004069309530060384,0,1,0,0,0,1,0,"{""agent-properties"": 9, ""physical-relations"": 5, ""quantitative-properties"": 4, ""social-properties"": 2, ""social-relations"": 8}","{""antonym"": 19, ""number"": 3, ""other"": 1, ""variable swap"": 8}","{""all_content_mean_count_mean"": 2830.007206861239, ""all_content_mean_count_median"": 2628.0, ""concept_min_count_mean"": 607.0, ""concept_min_count_median"": 210.0, ""context_diff_min_count_mean"": 1831.0454545454545, ""context_diff_min_count_median"": 1078.0, ""contrast_term_anywhere_frac"": 0.5483870967741935, ""contrast_term_in_context_diff_frac"": 0.25806451612903225, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.0854808391947611, ""legal40_context_frac_lt50_median"": 0.06666666666666667, ""n"": 31, ""target_diff_min_count_mean"": 523.0, ""target_diff_min_count_median"": 81.0}"
0111011,31,0.004069309530060384,0,1,1,1,0,1,1,"{""agent-properties"": 5, ""material-dynamics"": 10, ""physical-interactions"": 4, ""quantitative-properties"": 5, ""social-relations"": 5}","{""antonym"": 13, ""material"": 10, ""negation"": 2, ""other"": 2, ""variable swap"": 4}","{""all_content_mean_count_mean"": 1922.5067332309268, ""all_content_mean_count_median"": 1379.0, ""concept_min_count_mean"": 525.4516129032259, ""concept_min_count_median"": 151.0, ""context_diff_min_count_mean"": 513.2962962962963, ""context_diff_min_count_median"": 99.0, ""contrast_term_anywhere_frac"": 0.2903225806451613, ""contrast_term_in_context_diff_frac"": 0.22580645161290322, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.06203763030138742, ""legal40_context_frac_lt50_median"": 0.0, ""n"": 31, ""target_diff_min_count_mean"": 300.11538461538464, ""target_diff_min_count_median"": 31.0}"
1011000,31,0.004069309530060384,1,0,1,1,0,0,0,"{""agent-properties"": 11, ""material-dynamics"": 3, ""physical-relations"": 4, ""social-interactions"": 3, ""social-relations"": 6}","{""antonym"": 16, ""material"": 3, ""other"": 3, ""variable swap"": 9}","{""all_content_mean_count_mean"": 1731.6410510636317, ""all_content_mean_count_median"": 716.2, ""concept_min_count_mean"": 1950.3793103448277, ""concept_min_count_median"": 480.0, ""context_diff_min_count_mean"": 1187.142857142857, ""context_diff_min_count_median"": 1221.0, ""contrast_term_anywhere_frac"": 0.45161290322580644, ""contrast_term_in_context_diff_frac"": 0.25806451612903225, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.07032181396507772, ""legal40_context_frac_lt50_median"": 0.0, ""n"": 31, ""target_diff_min_count_mean"": 422.23809523809524, ""target_diff_min_count_median"": 142.0}"
1011011,31,0.004069309530060384,1,0,1,1,0,1,1,"{""agent-properties"": 4, ""physical-interactions"": 5, ""physical-relations"": 3, ""social-relations"": 7, ""spatial-relations"": 5}","{""antonym"": 22, ""material"": 2, ""other"": 2, ""variable swap"": 5}","{""all_content_mean_count_mean"": 1745.791884280594, ""all_content_mean_count_median"": 1376.5555555555557, ""concept_min_count_mean"": 541.7741935483871, ""concept_min_count_median"": 416.0, ""context_diff_min_count_mean"": 1522.6538461538462, ""context_diff_min_count_median"": 692.0, ""contrast_term_anywhere_frac"": 0.4838709677419355, ""contrast_term_in_context_diff_frac"": 0.25806451612903225, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.06000953630410336, ""legal40_context_frac_lt50_median"": 0.0, ""n"": 31, ""target_diff_min_count_mean"": 299.14285714285717, ""target_diff_min_count_median"": 88.0}"
1100010,31,0.004069309530060384,1,1,0,0,0,1,0,"{""agent-properties"": 11, ""physical-dynamics"": 2, ""physical-relations"": 2, ""social-properties"": 6, ""social-relations"": 8}","{""active-passive"": 2, ""antonym"": 16, ""negation"": 1, ""other"": 2, ""variable swap"": 10}","{""all_content_mean_count_mean"": 1970.360944700461, ""all_content_mean_count_median"": 2035.1666666666667, ""concept_min_count_mean"": 895.7741935483871, ""concept_min_count_median"": 136.0, ""context_diff_min_count_mean"": 746.1111111111111, ""context_diff_min_count_median"": 265.0, ""contrast_term_anywhere_frac"": 0.3548387096774194, ""contrast_term_in_context_diff_frac"": 0.12903225806451613, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.07939585645443031, ""legal40_context_frac_lt50_median"": 0.05263157894736842, ""n"": 31, ""target_diff_min_count_mean"": 243.44, ""target_diff_min_count_median"": 40.0}"
0010010,30,0.0039380414807035965,0,0,1,0,0,1,0,"{""agent-properties"": 8, ""material-properties"": 3, ""social-interactions"": 3, ""social-relations"": 4, ""spatial-relations"": 4}","{""antonym"": 20, ""material"": 4, ""negation"": 1, ""other"": 2, ""variable swap"": 2}","{""all_content_mean_count_mean"": 2138.459148629149, ""all_content_mean_count_median"": 2084.1666666666665, ""concept_min_count_mean"": 798.0333333333333, ""concept_min_count_median"": 320.0, ""context_diff_min_count_mean"": 1731.6153846153845, ""context_diff_min_count_median"": 236.0, ""contrast_term_anywhere_frac"": 0.6333333333333333, ""contrast_term_in_context_diff_frac"": 0.26666666666666666, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.06891376167691957, ""legal40_context_frac_lt50_median"": 0.05555555555555555, ""n"": 30, ""target_diff_min_count_mean"": 600.6, ""target_diff_min_count_median"": 40.0}"
0110101,30,0.0039380414807035965,0,1,1,0,1,0,1,"{""agent-properties"": 10, ""material-dynamics"": 8, ""physical-relations"": 2, ""social-properties"": 2, ""social-relations"": 6}","{""antonym"": 16, ""material"": 8, ""other"": 2, ""variable swap"": 4}","{""all_content_mean_count_mean"": 1003.0082407407407, ""all_content_mean_count_median"": 468.0, ""concept_min_count_mean"": 203.67857142857142, ""concept_min_count_median"": 133.0, ""context_diff_min_count_mean"": 168.375, ""context_diff_min_count_median"": 31.0, ""contrast_term_anywhere_frac"": 0.13333333333333333, ""contrast_term_in_context_diff_frac"": 0.1, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.07083721819402934, ""legal40_context_frac_lt50_median"": 0.05, ""n"": 30, ""target_diff_min_count_mean"": 72.23076923076923, ""target_diff_min_count_median"": 40.0}"
