model,arm,seed,data_arm,checkpoint,words,uid,domain,index,official_margin,target2_context_margin,interaction,correct,saved_pred_match
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_71,physical-dynamics,71,-0.97900390625,-3.11474609375,-4.09375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_74,physical-dynamics,74,-2.82763671875,-0.818359375,-3.64599609375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_75,physical-dynamics,75,-0.818359375,-2.82763671875,-3.64599609375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_78,physical-dynamics,78,-3.284912109375,-1.23046875,-4.515380859375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_92,physical-dynamics,92,-3.8623046875,0.263671875,-3.5986328125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_101,physical-dynamics,101,-3.04296875,2.5126953125,-0.5302734375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-dynamics_112,physical-dynamics,112,1.7802734375,-0.83349609375,0.94677734375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_134,physical-interactions,134,-2.916015625,1.44970703125,-1.46630859375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_146,physical-interactions,146,-0.35546875,-0.740234375,-1.095703125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_263,physical-interactions,263,-9.650146484375,-7.689697265625,-17.33984375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_270,physical-interactions,270,1.140625,-1.12548828125,0.01513671875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_310,physical-interactions,310,1.140625,-1.7926025390625,-0.6519775390625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,physical-interactions_340,physical-interactions,340,3.1151123046875,-0.3251953125,2.7899169921875,True,True
