seed,checkpoint,words,uid,domain,compact_margin,repeat_margin,margin_delta,compact_correct,repeat_correct,binary_delta,interaction_delta
43022,chck_80M,80000000,physical-interactions_263,physical-interactions,-9.650146484375,-21.05633544921875,11.40618896484375,False,False,0,22.17169189453125
43022,chck_80M,80000000,physical-interactions_270,physical-interactions,1.140625,-3.12921142578125,4.26983642578125,True,False,1,0.23809814453125
43022,chck_80M,80000000,physical-interactions_310,physical-interactions,1.140625,-3.12921142578125,4.26983642578125,True,False,1,-0.284759521484375
43022,chck_80M,80000000,physical-interactions_340,physical-interactions,3.1151123046875,-0.7513427734375,3.866455078125,True,False,1,5.8194580078125
43022,chck_80M,80000000,physical-interactions_347,physical-interactions,-7.7391357421875,-21.4744873046875,13.7353515625,False,False,0,32.07159423828125
43022,chck_80M,80000000,physical-interactions_431,physical-interactions,-0.0072021484375,-0.12652587890625,0.11932373046875,False,False,0,0.1993408203125
43022,chck_80M,80000000,physical-interactions_462,physical-interactions,-2.5010986328125,-5.4140625,2.9129638671875,False,False,0,1.455322265625
43022,chck_80M,80000000,physical-interactions_465,physical-interactions,3.44287109375,2.41015625,1.03271484375,True,True,0,5.2880859375
43022,chck_80M,80000000,physical-relations_125,physical-relations,0.190673828125,0.7489013671875,-0.5582275390625,True,True,0,-0.8238525390625
43022,chck_80M,80000000,physical-relations_263,physical-relations,-2.17626953125,1.3212890625,-3.49755859375,False,True,-1,-2.34326171875
43022,chck_80M,80000000,physical-relations_268,physical-relations,1.0638427734375,-0.4169921875,1.4808349609375,True,False,1,0.53216552734375
43022,chck_80M,80000000,physical-relations_383,physical-relations,-2.10791015625,-0.94427490234375,-1.16363525390625,False,False,0,0.10213470458984375
43022,chck_80M,80000000,physical-relations_527,physical-relations,1.48095703125,3.437255859375,-1.956298828125,True,True,0,-9.83349609375
43022,chck_80M,80000000,physical-relations_615,physical-relations,7.00836181640625,3.37689208984375,3.6314697265625,True,True,0,-2.76995849609375
43022,chck_80M,80000000,physical-relations_665,physical-relations,-0.3140869140625,0.1300048828125,-0.444091796875,False,True,-1,0.384765625
43022,chck_80M,80000000,physical-relations_686,physical-relations,0.796112060546875,-0.180328369140625,0.9764404296875,True,False,1,0.3568115234375
43022,chck_80M,80000000,physical-relations_693,physical-relations,0.3443603515625,2.3604736328125,-2.01611328125,True,True,0,-2.2244873046875
43022,chck_80M,80000000,physical-relations_87,physical-relations,11.8331298828125,27.4970703125,-15.6639404296875,True,True,0,-27.267410278320312
43022,chck_80M,80000000,quantitative-properties_103,quantitative-properties,1.46728515625,-0.3408203125,1.80810546875,True,False,1,1.7724609375
43022,chck_80M,80000000,quantitative-properties_106,quantitative-properties,4.3865966796875,4.5723876953125,-0.185791015625,True,True,0,1.7655029296875
43022,chck_80M,80000000,quantitative-properties_12,quantitative-properties,0.222381591796875,0.24475860595703125,-0.02237701416015625,True,True,0,2.9727401733398438
43022,chck_80M,80000000,quantitative-properties_122,quantitative-properties,-1.9296875,-0.6611328125,-1.2685546875,False,False,0,-4.2666015625
43022,chck_80M,80000000,quantitative-properties_192,quantitative-properties,0.15496826171875,-0.152618408203125,0.307586669921875,True,False,1,-4.292816162109375
43022,chck_80M,80000000,quantitative-properties_253,quantitative-properties,2.144775390625,0.8583984375,1.286376953125,True,True,0,1.129150390625
43022,chck_80M,80000000,quantitative-properties_31,quantitative-properties,-1.2353515625,1.255859375,-2.4912109375,False,True,-1,-1.7132568359375
43022,chck_80M,80000000,quantitative-properties_35,quantitative-properties,-1.290924072265625,-0.01568603515625,-1.275238037109375,False,False,0,0.8517303466796875
43022,chck_80M,80000000,quantitative-properties_49,quantitative-properties,1.4658203125,3.4296875,-1.9638671875,True,True,0,-0.220458984375
43022,chck_80M,80000000,quantitative-properties_64,quantitative-properties,5.8583984375,0.12890625,5.7294921875,True,True,0,5.37744140625
43022,chck_80M,80000000,social-interactions_101,social-interactions,0.68017578125,-0.873046875,1.55322265625,True,False,1,3.781982421875
43022,chck_80M,80000000,social-interactions_108,social-interactions,3.076171875,1.95013427734375,1.12603759765625,True,True,0,1.40606689453125
43022,chck_80M,80000000,social-interactions_12,social-interactions,3.03955078125,5.6171875,-2.57763671875,True,True,0,4.87158203125
