role,arm,n_min,mean_loss,mean_masked
C,D_C_43022,6992,2.510208440272478,34.54977116704806
R,D_R_43022,6992,2.617623100743127,34.54977116704806
RS,D_RS_43022,6992,2.596644537987807,34.54977116704806
V,D_V_43022,6992,2.609613418476872,34.54977116704806
VS,D_VS_43022,6992,2.589357202874099,34.54977116704806
