role,arm,checkpoint,n,mean_loss,sd_loss,mean_masked
C,D_C_43022,chck_100M,6992,2.495633208452888,1.0802051615021135,34.54977116704806
C,D_C_43022,chck_80M,6992,2.5337353151982107,1.0887683018568044,34.54977116704806
C,D_C_43022,chck_90M,6992,2.5012567971663358,1.0817672033508814,34.54977116704806
R,D_R_43022,chck_100M,6992,2.603122726748394,1.1135077672166223,34.54977116704806
R,D_R_43022,chck_80M,6992,2.6411389705197683,1.1226167390258097,34.54977116704806
R,D_R_43022,chck_90M,6992,2.6086076049612186,1.1141674796224377,34.54977116704806
RS,D_RS_43022,chck_100M,6992,2.585142991813651,1.0978652394527129,34.54977116704806
RS,D_RS_43022,chck_80M,6992,2.6166631551918966,1.1043626767602237,34.54977116704806
RS,D_RS_43022,chck_90M,6992,2.5881274669578733,1.0966151140292735,34.54977116704806
V,D_V_43022,chck_100M,6992,2.595850926744328,1.106526874026755,34.54977116704806
V,D_V_43022,chck_80M,6992,2.6313917693965463,1.1156035360921066,34.54977116704806
V,D_V_43022,chck_90M,6992,2.6015975592897416,1.1074191638423694,34.54977116704806
VS,D_VS_43022,chck_100M,6992,2.574662697020235,1.0913642528192566,34.54977116704806
VS,D_VS_43022,chck_80M,6992,2.613578455899208,1.1013896382712007,34.54977116704806
VS,D_VS_43022,chck_90M,6992,2.5798304557028544,1.0913035228834878,34.54977116704806
