arm,role,checkpoint,n,elapsed_sec,device
D_C_43022,C,chck_80M,6992,17.18,cuda:0
D_C_43022,C,chck_90M,6992,15.38,cuda:0
D_C_43022,C,chck_100M,6992,16.06,cuda:0
D_R_43022,R,chck_80M,6992,15.65,cuda:0
D_R_43022,R,chck_90M,6992,16.24,cuda:0
D_R_43022,R,chck_100M,6992,15.09,cuda:0
D_V_43022,V,chck_80M,6992,15.26,cuda:0
D_V_43022,V,chck_90M,6992,15.44,cuda:0
D_V_43022,V,chck_100M,6992,15.71,cuda:0
D_RS_43022,RS,chck_80M,6992,15.44,cuda:0
D_RS_43022,RS,chck_90M,6992,17.61,cuda:0
D_RS_43022,RS,chck_100M,6992,15.56,cuda:0
D_VS_43022,VS,chck_80M,6992,15.34,cuda:0
D_VS_43022,VS,chck_90M,6992,15.69,cuda:0
D_VS_43022,VS,chck_100M,6992,14.89,cuda:0
