contrast,n_min,delta_loss,loss_a,loss_b
RminusRS,6992,0.020978562755320063,2.617623100743127,2.596644537987807
VminusVS,6992,0.020256215602772798,2.609613418476872,2.589357202874099
RminusC,6992,0.10741466047064918,2.617623100743127,2.510208440272478
RSminusC,6992,0.08643609771532912,2.596644537987807,2.510208440272478
VminusC,6992,0.09940497820439376,2.609613418476872,2.510208440272478
VSminusC,6992,0.07914876260162096,2.589357202874099,2.510208440272478
VminusR,6992,-0.008009682266255425,2.609613418476872,2.617623100743127
VSminusRS,6992,-0.00728733511370816,2.589357202874099,2.596644537987807
