contrast,n_rows,mean_delta_loss,median_delta_loss,se_delta_loss
RminusRS,6992,0.02097856275531983,0.01996442675590515,0.002034780652055383
VminusVS,6992,0.020256215602772746,0.017982085545857784,0.0019540479447683642
RminusC,6992,0.10741466047064864,0.0967401762803396,0.0019946917921662356
RSminusC,6992,0.08643609771532881,0.07508875926335645,0.0020376683524489397
VminusC,6992,0.09940497820439372,0.09015964468320203,0.001982445353292923
VSminusC,6992,0.07914876260162096,0.07336828112602234,0.0020206690342491882
VminusR,6992,-0.00800968226625493,-0.006171464920043945,0.0017417680818749414
VSminusRS,6992,-0.00728733511370785,-0.00414774815241481,0.0017566553128315248
