arm,blimp,supplement,ewok,entity,comps,globalpiqa,reading,equal7_reported
full_compact,66.87,63.28,53.54,27.75,51.97,35.62,8.24,43.896
drop_abs,65.64,63.73,51.51,26.72,51.6,36.665,8.195,43.437
drop_copied_word,67.32,59.84,51.93,25.67,51.58,35.09,8.115,42.792
