training_seed,relation,window,token_class,delta_true_source_advantage_nats,delta_unrelated_source_advantage_nats,targets_per_checkpoint,checkpoint_words,aggregation,source_file
43022,exact_repetition,same_window,nonoverlap,-0.6828344001320202,0.06887416943615476,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/neutral_anchor_rewrite_probe/rewrite_TUN_late_contrasts.csv
43022,exact_repetition,split_window,nonoverlap,0.009380781227595891,0.040653187776572564,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/neutral_anchor_rewrite_probe/rewrite_TUN_late_contrasts.csv
43022,aligned_restatement,same_window,nonoverlap,0.7115230445294167,0.027834018330628818,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/neutral_anchor_rewrite_probe/rewrite_TUN_late_contrasts.csv
43022,aligned_restatement,split_window,nonoverlap,0.11574156393522927,0.08593372175692254,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/neutral_anchor_rewrite_probe/rewrite_TUN_late_contrasts.csv
43122,exact_repetition,same_window,nonoverlap,-1.009779637888255,0.03353140320130721,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/split_seed43122_neutral_anchor/rewrite_TUN_late_contrasts.csv
43122,exact_repetition,split_window,nonoverlap,-0.13425399259261384,0.055521153180092764,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/split_seed43122_neutral_anchor/rewrite_TUN_late_contrasts.csv
43122,aligned_restatement,same_window,nonoverlap,0.8236423937551904,-0.07014635928265392,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/split_seed43122_neutral_anchor/rewrite_TUN_late_contrasts.csv
43122,aligned_restatement,split_window,nonoverlap,0.028403171420694262,0.0638789259446258,2732,80000000|90000000|100000000,mean_across_three_checkpoints,experiments/archive/relation_learning/data/split_seed43122_neutral_anchor/rewrite_TUN_late_contrasts.csv
