training_relation,training_seeds,delta_true_source_advantage_nats,training_seed_sd,delta_unrelated_source_advantage_nats,unrelated_training_seed_sd
verbatim_recurrence,3,-0.813834283780992,0.17287779707833165,0.06794402789101159,0.03395710955642631
aligned_reformulation,3,0.7970403970077117,0.07580205454583162,-0.008535135383718482,0.05364615717563677
