quantity,value
core_passage_pairs,10094
additional_passage_pairs,2061
passage_pairs,12155
source_documents,4529
source_words,261803
compact_view_words,161708
neutral_top_up_words,9
total_block_words,423520
released_words_from_near_length_core,69575
