experiment_id,finetuning_seed,SuperGLUE,boolq,multirc,rte,wsc,mrpc,qqp,mnli,source_file
FRONTIER_REFERENCE,42,68.94571192183594,67.2782874617737,68.27557755775578,64.02877697841727,63.46153846153846,87.58620689655173,71.55764825655383,60.4319478402608,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
SPARSE_TARGET_ACQUISITION_S64,42,68.88784158902877,67.95107033639144,67.9042904290429,63.30935251798561,63.46153846153846,87.88927335640139,71.43041736658483,60.26894865525672,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
PRINCIPLE_GUIDED_S64,42,69.047710989885,67.95107033639144,68.15181518151815,63.30935251798561,63.46153846153846,88.27586206896552,71.58939133753101,60.59494702526487,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
FRONTIER_REFERENCE,44,69.31798722319077,67.88990825688074,68.02805280528052,66.18705035971223,61.53846153846154,88.73239436619718,72.05134722928317,60.79869600651997,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
SPARSE_TARGET_ACQUISITION_S64,44,69.34605281040608,67.70642201834862,67.16171617161716,66.90647482014388,61.53846153846154,88.50174216027874,72.31985940246047,61.287693561532194,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
PRINCIPLE_GUIDED_S64,44,69.62659512687073,67.70642201834862,67.9042904290429,69.06474820143885,61.53846153846154,87.88927335640139,72.28052535662665,61.002444987775064,experiments/archive/functional_learning/data/ftseed_comparison_hardened_after_ms/ftseed_comparison_hardened.json
